"gene","n","cutoff_median","n_low","n_high","logrank_p","HR_high_vs_low","CI95_lower","CI95_upper","p_value","p_value_fmt"
"AURKA",452,7.4781323137905,226,226,0.000738660795674861,2.18430886986642,1.37160093160373,3.47856663628716,0.000738660795674861,0.000739
"ACP3",452,17.5247933820886,226,226,0.0148391448446434,0.576700234716539,0.368342766872564,0.902917582842548,0.0148391448446434,0.0148
"KLK3",452,19.8737599797106,226,226,0.0152115759676811,0.578923937469916,0.370306290975066,0.905069488539253,0.0152115759676811,0.0152
"CDH1",452,14.7695743054262,226,226,0.0170976106600087,0.584488018186,0.373937642984817,0.913591476579075,0.0170976106600087,0.0171
"MKI67",452,9.50129258951013,226,226,0.0171886921089006,1.70974013203685,1.09399540975778,2.67205080846234,0.0171886921089006,0.0172
"NCAM1",452,8.33083588776924,226,226,0.021966219947854,0.595361572652123,0.380155174875248,0.932396625423099,0.021966219947854,0.022
"PTEN",452,12.1060796557884,226,226,0.0649723656019093,0.662927176022399,0.427086375135561,1.0290013128364,0.0649723656019093,0.065
"NKX3-1",452,15.9485669684758,226,226,0.0657808397775675,0.664759376130259,0.428987909799799,1.03011068157916,0.0657808397775675,0.0658
"SYP",452,7.85850822895869,226,226,0.0753460044451489,1.48614102163688,0.957599402232349,2.3064082235674,0.0753460044451489,0.0753
"BRCA1",452,8.20959736683857,226,226,0.100251745524922,1.44295770488099,0.929573090182914,2.23987436820672,0.100251745524922,0.1
"SCG2",452,7.65453479837567,226,226,0.105344930617509,1.43270787377137,0.9250706930999,2.21891350237037,0.105344930617509,0.105
"BRCA2",452,6.59742203412812,226,226,0.115940562582028,1.41857192095778,0.915302415148692,2.19855892612601,0.115940562582028,0.116
"RB1",452,11.0990877330042,226,226,0.139236732292031,0.717150847127052,0.46064277055872,1.11649497269053,0.139236732292031,0.139
"TP53",452,11.6906004472911,226,226,0.186842720201733,0.744298984974363,0.479312222602778,1.15578312613357,0.186842720201733,0.187
"CHGB",452,7.48786434912048,226,226,0.257734366279852,0.777623474338734,0.502522736512716,1.20332519089381,0.257734366279852,0.258
"NKX2-1",452,4.40007131288627,226,226,0.278473356949584,0.786464262166185,0.508874282821782,1.21547906141923,0.278473356949584,0.278
"AR",452,13.2673231062047,226,226,0.326535492295076,1.24555710406236,0.802470006595148,1.93329655529782,0.326535492295076,0.327
"TMPRSS2",452,16.1745617865577,226,226,0.340568295156362,0.808441969302236,0.521630789513075,1.25295214712953,0.340568295156362,0.341
"TFRC",452,10.5838295111119,226,226,0.362709273609118,1.2231281109579,0.792132071999539,1.88862745077227,0.362709273609118,0.363
"TTF1",452,9.79526616221092,226,226,0.386567925088688,1.21092250809988,0.784665948512622,1.86873576380167,0.386567925088688,0.387
"INSM1",452,7.68524755361785,226,226,0.531344695390531,0.870565326266574,0.563833352715309,1.34416310005041,0.531344695390531,0.531
"MYC",452,12.087072878543,226,226,0.687529111643887,0.914883936106898,0.593179040303479,1.41106236005612,0.687529111643887,0.688
"ERG",452,9.73486292564403,226,226,0.688542751198629,0.915197025447983,0.593488977155535,1.41129090451385,0.688542751198629,0.689
"FOLH1",452,14.4989785128968,226,226,0.739512476513699,1.07661434433319,0.696651070586788,1.66381492164748,0.739512476513699,0.74
"VIM",452,12.8803092250452,226,226,0.863234177739576,1.03881874171834,0.673507471021386,1.6022752895506,0.863234177739576,0.863
"AMACR",452,9.99413714313445,226,226,0.964976845073314,1.00975735763573,0.654626806699693,1.55754379573892,0.964976845073314,0.965
"CHGA",452,9.51358133746923,226,226,0.988655575962036,0.996859360796682,0.646141452232775,1.53794278601704,0.988655575962036,0.989
