"gene","method","cor","p.value","p.adj"
"FOLH1","spearman",1,0,0
"KLK3","spearman",0.302852484425975,3.7804902282862e-11,3.40244120545758e-10
"CDH1","spearman",0.279126707962706,1.26484699917998e-09,8.53771724446483e-09
"AR","spearman",0.23439152547743,4.02518016118959e-07,2.17359728704238e-06
"SYP","spearman",0.211445896136958,5.12826892689286e-06,1.97804658608725e-05
"ACP3","spearman",0.190661167457165,4.08886442352451e-05,0.000137999174293952
"TMPRSS2","spearman",0.172813966154816,0.000205474189119799,0.000616422567359396
"RB1","spearman",0.137359705533123,0.00325750817448573,0.00799570188282862
"NKX3-1","spearman",0.13028532387987,0.00527971685250699,0.0118793629181407
"AMACR","spearman",0.122251254396107,0.0088941717715164,0.0184725106023802
"MKI67","spearman",0.113685352143701,0.0150344889433572,0.0289950858193317
"AURKA","spearman",0.0881517214534047,0.0597038062099716,0.090799249511097
"INSM1","spearman",0.087868088357677,0.060532833007398,0.090799249511097
"ERG","spearman",0.0521705314857572,0.265716053051534,0.311927540538758
"BRCA1","spearman",0.0294665528737326,0.52978500081127,0.550161346996319
"TTF1","spearman",0.0223692885812613,0.63339714434605,0.63339714434605
"NKX2-1","spearman",-0.0356624484660182,0.446937774992536,0.482692796991939
"SCG2","spearman",-0.044460842272231,0.342961357885376,0.385831527621047
"CHGA","spearman",-0.0711558297672458,0.128788224099973,0.158058275031785
"TP53","spearman",-0.0754258308283968,0.107332663136371,0.137999138318192
"MYC","spearman",-0.0792620675746967,0.0905597204812641,0.122255622649706
"CHGB","spearman",-0.0828702349063294,0.0767676892751162,0.109090926864639
"TFRC","spearman",-0.0895417789215186,0.0557754510837744,0.090799249511097
"BRCA2","spearman",-0.110913032392262,0.0176979095084014,0.0318562371151224
"PTEN","spearman",-0.149078382846168,0.00139307836900287,0.00376131159630776
"VIM","spearman",-0.211787124064641,4.94753729752704e-06,1.97804658608725e-05
"NCAM1","spearman",-0.358245696177895,2.76219750693959e-15,3.72896663436845e-14
