"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000254567.2",0.636967484962382,2.27350519171665e-58,1.29546599329206e-53,"UBTFL9"
"ENSG00000233516.1",0.577345480562283,7.17214660846557e-46,2.04338042948488e-41,"AL445644.1"
"ENSG00000134612.12",0.553822796135526,1.30054581995975e-41,2.47021337890422e-37,"FOLH1B"
"ENSG00000198722.14",0.551325430019839,3.52026858174456e-41,5.01471060140967e-37,"UNC13B"
"ENSG00000073969.18",0.542458491847233,1.12960131533309e-39,1.2873162509799e-35,"NSF"
"ENSG00000167536.14",0.515440572536828,2.38054384114372e-35,2.2607628102035e-31,"DHRS13"
"ENSG00000084073.10",0.507521859436733,3.73312535894625e-34,3.03881737254452e-30,"ZMPSTE24"
"ENSG00000101079.21",0.502389119498988,2.13963295803814e-33,1.52398031977464e-29,"NDRG3"
"ENSG00000131507.11",0.497388347062925,1.13984379801164e-32,7.21660438383344e-29,"NDFIP1"
"ENSG00000100372.15",0.494582887351357,2.87871064381167e-32,1.64031811195033e-28,"SLC25A17"
"ENSG00000181751.10",0.491248882303171,8.5612238481415e-32,4.43479178264501e-28,"MACIR"
"ENSG00000099246.17",0.486394953350821,4.09660182452047e-31,1.94523723802501e-27,"RAB18"
"ENSG00000112796.10",0.478390528723192,5.12989897688606e-30,2.24851364309188e-26,"ENPP5"
"ENSG00000249599.2",0.478092026945044,5.62971401926293e-30,2.29133381808301e-26,"BMPR1B-DT"
"ENSG00000169032.10",0.472695463495801,2.97615342183513e-29,1.13056132086392e-25,"MAP2K1"
"ENSG00000131941.8",0.471208610932333,4.68437547428078e-29,1.66825249312496e-25,"RHPN2"
"ENSG00000094841.14",0.461809011349601,7.83283905904863e-28,2.34906843380869e-24,"UPRT"
"ENSG00000109118.14",0.460978359371825,1.00047783959866e-27,2.85041138890856e-24,"PHF12"
"ENSG00000148396.18",0.45548860540624,4.95885683466099e-27,1.28436646043554e-23,"SEC16A"
"ENSG00000163624.6",0.455053297306838,5.62299422848162e-27,1.39306014840483e-23,"CDS1"
"ENSG00000286009.2",0.447728242075932,4.53750002675348e-26,1.07729703760183e-22,"AC244213.1"
"ENSG00000203727.4",0.444563050154304,1.10133537661821e-25,2.51020764380328e-22,"SAMD5"
"ENSG00000286451.1",0.443265203266146,1.58001937701448e-25,3.46273400467931e-22,"AL499602.1"
"ENSG00000154305.18",0.442721804538829,1.83691658705246e-25,3.87664237210504e-22,"MIA3"
"ENSG00000138439.12",0.441407127122635,2.64176499143609e-25,5.19070382679379e-22,"FAM117B"
"ENSG00000144597.14",0.44065327343318,3.25140885799956e-25,6.1756176045891e-22,"EAF1"
"ENSG00000029364.12",0.440454231705676,3.43434339126572e-25,6.31265550895844e-22,"SLC39A9"
"ENSG00000100564.9",0.439415534550944,4.56713518696065e-25,8.1324978152564e-22,"PIGH"
"ENSG00000114374.13",0.437739087489485,7.22034120633631e-25,1.24673412811591e-21,"USP9Y"
"ENSG00000170113.16",0.436926108099458,9.00785358211746e-25,1.50963677930187e-21,"NIPA1"
"ENSG00000143653.10",0.436580238151498,9.89490268291139e-25,1.6109184279285e-21,"SCCPDH"
"ENSG00000100991.12",0.434086271889859,1.94157198763651e-24,3.07313092854211e-21,"TRPC4AP"
"ENSG00000165280.17",0.433158214179025,2.49155553364616e-24,3.83706286115383e-21,"VCP"
"ENSG00000115762.16",0.432978931221255,2.61430847078066e-24,3.92015555193561e-21,"PLEKHB2"
"ENSG00000160058.19",0.432411275096952,3.04372893578211e-24,4.44704406384103e-21,"BSDC1"
"ENSG00000164494.12",0.430397248514035,5.20884779617138e-24,7.42013390684103e-21,"PDSS2"
"ENSG00000136044.12",0.428528893942166,8.54682750290908e-24,1.08223728431836e-20,"APPL2"
