"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000188848.16",0.942389651525799,1.97664351564123e-25,1.03356712789364e-20,"BEND4"
"ENSG00000211689.7",0.926477633504683,7.27222259241842e-23,1.90128623567483e-18,"TRGC1"
"ENSG00000159182.5",0.908308038313238,1.46146967890564e-20,2.06903223435281e-16,"PRAC1"
"ENSG00000135052.16",0.907717978382475,1.7035203679218e-20,2.06903223435281e-16,"GOLM1"
"ENSG00000285454.1",0.907138065070444,1.97845840841555e-20,2.06903223435281e-16,"AC111006.1"
"ENSG00000158715.6",0.903745253432396,4.65755048726236e-20,3.97812553370006e-16,"SLC45A3"
"ENSG00000189060.5",0.903202444215373,5.3255711021248e-20,3.97812553370006e-16,"H1-0"
"ENSG00000229637.4",0.902098885380212,6.97680085719328e-20,4.56012425027224e-16,"PRAC2"
"ENSG00000164647.9",0.89986269578897,1.19431475810281e-19,6.93883604293756e-16,"STEAP1"
"ENSG00000159184.8",0.897879230709931,1.90390803646577e-19,9.95534473187588e-16,"HOXB13"
"ENSG00000157214.14",0.89675337480825,2.47040063259826e-19,1.17431616979937e-15,"STEAP2"
"ENSG00000167749.11",0.895495063949382,3.29357022341006e-19,1.43514577843241e-15,"KLK4"
"ENSG00000164181.14",0.894900385535681,3.76827876512229e-19,1.51568867961138e-15,"ELOVL7"
"ENSG00000167751.13",0.89099995826855,8.93752990851455e-19,3.33810358133084e-15,"KLK2"
"ENSG00000142515.15",0.89056221961747,9.82703507730215e-19,3.42563891438035e-15,"KLK3"
"ENSG00000144481.17",0.890077492914347,1.09105681344458e-18,3.56564185738773e-15,"TRPM8"
"ENSG00000123505.19",0.888916788189987,1.39882263612253e-18,4.30253157765946e-15,"AMD1"
"ENSG00000129514.8",0.887062575574393,2.06870936011783e-18,5.69319703848427e-15,"FOXA1"
"ENSG00000127324.9",0.88303778986475,4.72705195325181e-18,1.23586409791792e-14,"TSPAN8"
"ENSG00000168243.11",0.882687829136244,5.07193711375838e-18,1.26288818924434e-14,"GNG4"
"ENSG00000152503.10",0.88193315702426,5.89924441634476e-18,1.34115474472283e-14,"TRIM36"
"ENSG00000167034.10",0.881103166167501,6.95752156011208e-18,1.46491675902798e-14,"NKX3-1"
"ENSG00000184678.10",0.881069584812751,7.00394327214127e-18,1.46491675902798e-14,"H2BC21"
"ENSG00000109472.14",0.880644603470273,7.61757823648737e-18,1.53198287849111e-14,"CPE"
"ENSG00000124215.17",0.879575942671675,9.39565961014443e-18,1.75460587626729e-14,"CDH26"
"ENSG00000116299.17",0.879038998560788,1.04323100141959e-17,1.88101744252514e-14,"ELAPOR1"
"ENSG00000103316.12",0.878818307460456,1.08893006953989e-17,1.89796881353904e-14,"CRYM"
"ENSG00000285973.2",0.877992662333677,1.27743699455788e-17,2.15470654865926e-14,"AC063960.2"
"ENSG00000104808.8",0.87687657309453,1.58226495781203e-17,2.55892417479957e-14,"DHDH"
"ENSG00000124664.11",0.876612641329475,1.66389531150309e-17,2.55892417479957e-14,"SPDEF"
"ENSG00000242407.1",0.875308351145463,2.12990323211924e-17,3.18201457440809e-14,"AC091179.1"
"ENSG00000245750.10",0.873094646606128,3.21844453803368e-17,4.54835801214171e-14,"DRAIC"
"ENSG00000184388.6",0.87080283685562,4.89513510297345e-17,6.56312101024048e-14,"PABPC1L2B"
"ENSG00000116133.13",0.870617303134404,5.0623991949776e-17,6.61769478765459e-14,"DHCR24"
"ENSG00000258414.1",0.870436887305542,5.23026975709734e-17,6.67037988606983e-14,"AL121790.1"
"ENSG00000273906.1",0.868919502858359,6.86831955266461e-17,8.55089431164952e-14,"AC011297.1"
"ENSG00000134240.12",0.867347402600886,9.07617953986058e-17,1.05463189324393e-13,"HMGCS2"
"ENSG00000203995.10",0.865945537921955,1.16025809494398e-16,1.29082416013885e-13,"ZYG11A"
"ENSG00000143158.11",0.865457224028519,1.26305831189784e-16,1.37591783480888e-13,"MPC2"
"ENSG00000106789.13",0.864938936108563,1.38165044266487e-16,1.42890550514676e-13,"CORO2A"
"ENSG00000242899.1",0.864934430468531,1.38272652693829e-16,1.42890550514676e-13,"RPL7P16"
"ENSG00000064651.14",0.864702289315205,1.43926355440375e-16,1.4472625383888e-13,"SLC12A2"
"ENSG00000182795.13",0.863741207951526,1.69767252643752e-16,1.67489808933757e-13,"C1orf116"
"ENSG00000263639.7",0.861897267781276,2.32237116395257e-16,2.23734764934202e-13,"MSMB"
"ENSG00000067113.17",0.86120772112158,2.6080500941472e-16,2.39249704162917e-13,"PLPP1"
"ENSG00000103942.13",0.860461747336267,2.95474611899562e-16,2.6134703194678e-13,"HOMER2"
"ENSG00000011347.10",0.860073023488435,3.15240499284487e-16,2.70223122411254e-13,"SYT7"
