"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000254567.2",0.637497229193444,1.71067273847644e-58,9.732530411014e-54,"UBTFL9"
"ENSG00000233516.1",0.577826635918609,5.81989422287148e-46,1.65555621010914e-41,"AL445644.1"
"ENSG00000134612.12",0.554434865265342,1.01760749364486e-41,1.9298247711979e-37,"FOLH1B"
"ENSG00000198722.14",0.551560481278692,3.20648362474506e-41,4.56066182156552e-37,"UNC13B"
"ENSG00000073969.18",0.542616966064593,1.06266223357469e-39,1.20916084909529e-35,"NSF"
"ENSG00000167536.14",0.515710942234914,2.16423973895103e-35,2.05216819113568e-31,"DHRS13"
"ENSG00000084073.10",0.507742907125847,3.4604052633336e-34,2.81246909495483e-30,"ZMPSTE24"
"ENSG00000101079.21",0.502641115865269,1.96521930530181e-33,1.3975902742067e-29,"NDRG3"
"ENSG00000131507.11",0.497653737455103,1.04373542441634e-32,6.59791550014654e-29,"NDFIP1"
"ENSG00000100372.15",0.494990799222093,2.51725600792863e-32,1.43214246059084e-28,"SLC25A17"
"ENSG00000181751.10",0.491300539919818,8.41863168221663e-32,4.35419283905773e-28,"MACIR"
"ENSG00000099246.17",0.486608064527015,3.8264951510579e-31,1.81417323857614e-27,"RAB18"
"ENSG00000112796.10",0.478642290449419,4.74266879630363e-30,2.07557427560079e-26,"ENPP5"
"ENSG00000249599.2",0.478302624653415,5.27234089972733e-30,2.14256636291562e-26,"BMPR1B-DT"
"ENSG00000169032.10",0.472892879096494,2.80173206212438e-29,1.06265961473628e-25,"MAP2K1"
"ENSG00000131941.8",0.471502006031672,4.28406018882534e-29,1.52333147701775e-25,"RHPN2"
"ENSG00000094841.14",0.46203887900086,7.3190441775889e-28,2.20841474431225e-24,"UPRT"
"ENSG00000109118.14",0.461272056406782,9.17613911616469e-28,2.61029041367979e-24,"PHF12"
"ENSG00000148396.18",0.455858852019913,4.45545590737778e-27,1.1522011497202e-23,"SEC16A"
"ENSG00000163624.6",0.455368378945153,5.13411253886924e-27,1.26997854206038e-23,"CDS1"
"ENSG00000286009.2",0.447765490683353,4.49014739862038e-26,1.06440814979046e-22,"AC244213.1"
"ENSG00000203727.4",0.444765836431067,1.04080133921231e-25,2.36857242367223e-22,"SAMD5"
"ENSG00000286451.1",0.443567466407543,1.45284027745937e-25,3.17909391944216e-22,"AL499602.1"
"ENSG00000154305.18",0.443047042148252,1.67858718777357e-25,3.53703188422228e-22,"MIA3"
"ENSG00000138439.12",0.441680495631744,2.44983910928075e-25,4.80616194635551e-22,"FAM117B"
"ENSG00000144597.14",0.440927546769506,3.01500883045638e-25,5.71776324637182e-22,"EAF1"
"ENSG00000029364.12",0.440716333973263,3.19548516089824e-25,5.86453991158012e-22,"SLC39A9"
"ENSG00000100564.9",0.439748277498862,4.16899507281211e-25,7.41208239617186e-22,"PIGH"
"ENSG00000114374.13",0.438028244384401,6.67310028745874e-25,1.15046271107391e-21,"USP9Y"
"ENSG00000170113.16",0.437269490408091,8.20499062428511e-25,1.37296038702192e-21,"NIPA1"
"ENSG00000143653.10",0.436978107720316,8.88146651244224e-25,1.44369506940679e-21,"SCCPDH"
"ENSG00000100991.12",0.434502178011173,1.73581293027742e-24,2.74321125117426e-21,"TRPC4AP"
"ENSG00000165280.17",0.433415630711564,2.32519854162237e-24,3.57533839536545e-21,"VCP"
"ENSG00000115762.16",0.433295763452993,2.40125227332954e-24,3.59511698911941e-21,"PLEKHB2"
"ENSG00000160058.19",0.432743168761534,2.78486356077491e-24,4.06254468110685e-21,"BSDC1"
"ENSG00000164494.12",0.430751540500068,4.74032840120721e-24,6.74228759324704e-21,"PDSS2"
"ENSG00000136044.12",0.428848999888354,7.8533162376612e-24,9.92886046020575e-21,"APPL2"
"ENSG00000140157.15",0.427570236234425,1.10061513935906e-23,1.3612455896425e-20,"NIPA2"
"ENSG00000179218.14",0.427363549961869,1.16216801401843e-23,1.4067920174798e-20,"CALR"
"ENSG00000141367.12",0.423679929922628,3.04611850769096e-23,3.61047542204296e-20,"CLTC"
"ENSG00000116209.12",0.4225093136282,4.12724103679739e-23,4.79206376135742e-20,"TMEM59"
"ENSG00000166598.15",0.422176319896398,4.49872650670995e-23,5.11892094292498e-20,"HSP90B1"
"ENSG00000129083.13",0.42209247078215,4.59735436742277e-23,5.12857415736831e-20,"COPB1"
"ENSG00000149084.13",0.421058435858166,6.00398287267758e-23,6.56893456875472e-20,"HSD17B12"
"ENSG00000185090.14",0.420862021650429,6.31560903784566e-23,6.77950839604063e-20,"MANEAL"
"ENSG00000179222.18",0.420786298423345,6.43996738916823e-23,6.78498267911015e-20,"MAGED1"
"ENSG00000165105.10",0.418906657756146,1.04328889204135e-22,1.05992562383765e-19,"RASEF"
"ENSG00000101384.12",0.418349402324204,1.20300630229106e-22,1.20074802730255e-19,"JAG1"
"ENSG00000153982.11",0.418024344874751,1.30707526288964e-22,1.28212815399276e-19,"GDPD1"
"ENSG00000140564.12",0.417448341567679,1.51375055228685e-22,1.4596916978179e-19,"FURIN"
"ENSG00000173041.12",0.41736974525544,1.54434397257178e-22,1.46437269385877e-19,"ZNF680"
"ENSG00000120805.14",0.417059943948927,1.67098987063685e-22,1.50900994778004e-19,"ARL1"
"ENSG00000044574.8",0.416931947692083,1.72625787469414e-22,1.53456233226521e-19,"HSPA5"
"ENSG00000188848.16",0.416398357399877,1.97675638316469e-22,1.70399395314225e-19,"BEND4"
"ENSG00000152377.14",0.416032782702037,2.16875298015292e-22,1.84159497462447e-19,"SPOCK1"
"ENSG00000105520.10",0.415094706327773,2.74969742413974e-22,2.30056669928797e-19,"PLPPR2"
"ENSG00000198855.7",0.414512693365305,3.1847314020198e-22,2.62592642978424e-19,"FICD"
"ENSG00000198954.9",0.413950790068879,3.66892203673384e-22,2.9819425919414e-19,"KIFBP"
"ENSG00000165533.19",0.41368812981559,3.91949997986721e-22,3.14073397682515e-19,"TTC8"
"ENSG00000143753.13",0.412562586522502,5.1987024346982e-22,4.10791357801784e-19,"DEGS1"
"ENSG00000198843.13",0.410084360730914,9.64596542176398e-22,7.51764261288244e-19,"SELENOT"
"ENSG00000141424.13",0.408892739713879,1.29607741024425e-21,9.96455839203056e-19,"SLC39A6"
"ENSG00000152700.14",0.406735080233074,2.2060137426274e-21,1.6514044718329e-18,"SAR1B"
"ENSG00000241956.10",0.406656881451996,2.24878451244142e-21,1.66155970475753e-18,"AC109466.1"
"ENSG00000065000.19",0.406199948360254,2.51555696594301e-21,1.83484080081277e-18,"AP3D1"
"ENSG00000168280.18",0.405065673761597,3.32022095408719e-21,2.39110545241624e-18,"KIF5C"
"ENSG00000109919.10",0.404894718911612,3.46173114915255e-21,2.4618533783592e-18,"MTCH2"
"ENSG00000072756.17",0.403795827680438,4.52437895267995e-21,3.13909136286366e-18,"TRNT1"
"ENSG00000148219.17",0.403625870307225,4.71522430607104e-21,3.19361019577738e-18,"ASTN2"
"ENSG00000099250.18",0.403452116809335,4.91853600118596e-21,3.29212080841733e-18,"NRP1"
"ENSG00000103978.16",0.403263719049215,5.14875650473223e-21,3.4061419049271e-18,"TMEM87A"
"ENSG00000101310.17",0.402471693557333,6.2385374407839e-21,4.03328534793771e-18,"SEC23B"
"ENSG00000115677.17",0.401929278285221,7.11306246158772e-21,4.54700519805742e-18,"HDLBP"
"ENSG00000126945.9",0.399230783376074,1.36127983815616e-20,8.60525487024646e-18,"HNRNPH2"
"ENSG00000171155.8",0.398480113263866,1.62894443871532e-20,1.00734278208512e-17,"C1GALT1C1"
"ENSG00000068912.14",0.398131291611915,1.77037241390241e-20,1.07150848663989e-17,"ERLEC1"
"ENSG00000107651.13",0.397398088552445,2.10827786628121e-20,1.24944013173267e-17,"SEC23IP"
"ENSG00000174238.15",0.397240427365053,2.18885043244216e-20,1.28381719229827e-17,"PITPNA"
"ENSG00000103316.12",0.395130386124841,3.60885277125606e-20,2.07392384560678e-17,"CRYM"
"ENSG00000108788.12",0.394579931682933,4.10925061355521e-20,2.33787595156997e-17,"MLX"
"ENSG00000135052.16",0.39353109718434,5.25923076038894e-20,2.96250906584958e-17,"GOLM1"
"ENSG00000065923.10",0.392371144066301,6.90222851879096e-20,3.84988712862327e-17,"SLC9A7"
"ENSG00000159184.8",0.391368849923877,8.72234290691459e-20,4.77154091349127e-17,"HOXB13"
"ENSG00000129514.8",0.391118185700809,9.24695964353883e-20,5.01035499999862e-17,"FOXA1"
"ENSG00000151692.15",0.390488815756393,1.07051305158734e-19,5.74572632490177e-17,"RNF144A"
"ENSG00000121653.11",0.390401663537828,1.09241398273128e-19,5.80412697917741e-17,"MAPK8IP1"
"ENSG00000165487.14",0.390364848116049,1.10179760911037e-19,5.80412697917741e-17,"MICU2"
"ENSG00000072042.13",0.3901154591236,1.16748734899764e-19,6.09374841711218e-17,"RDH11"
"ENSG00000196449.4",0.390004784139153,1.19786163029475e-19,6.19544924839628e-17,"YRDC"
"ENSG00000198586.14",0.389947379378824,1.21392142870809e-19,6.22194881472876e-17,"TLK1"
"ENSG00000133640.20",0.388926009451152,1.53783922230874e-19,7.81181132810815e-17,"LRRIQ1"
"ENSG00000112379.9",0.38844432864111,1.71881707708833e-19,8.65386371387492e-17,"ARFGEF3"
"ENSG00000104154.7",0.388103211305756,1.85951591815411e-19,9.28012623960891e-17,"SLC30A4"
"ENSG00000146233.8",0.387638951230532,2.06938561215729e-19,1.00626970626038e-16,"CYP39A1"
"ENSG00000112357.14",0.386748120201296,2.53949650646243e-19,1.22440317578108e-16,"PEX7"
"ENSG00000159346.13",0.386035800951493,2.98980532080838e-19,1.42940331190547e-16,"ADIPOR1"
"ENSG00000078369.18",0.385830215640474,3.13380580654466e-19,1.4816772663714e-16,"GNB1"
"ENSG00000116525.14",0.385805972877816,3.15123036631817e-19,1.4816772663714e-16,"TRIM62"
"ENSG00000127418.15",0.385287590733652,3.54751251984063e-19,1.65433303107617e-16,"FGFRL1"
"ENSG00000180723.6",0.385116018113786,3.68918548487389e-19,1.70641325033276e-16,"OR51A9P"
"ENSG00000074319.13",0.384123520210328,4.6250028293896e-19,2.08746031098932e-16,"TSG101"
"ENSG00000198863.7",0.384090597387829,4.65975532131622e-19,2.08746031098932e-16,"RUNDC1"
"ENSG00000090402.8",0.383921350356614,4.84250808914342e-19,2.15238134934091e-16,"SI"
"ENSG00000167004.13",0.383433379228158,5.40986077082363e-19,2.38591634755402e-16,"PDIA3"
"ENSG00000127526.15",0.382553082842228,6.6036262159123e-19,2.86793974276258e-16,"SLC35E1"
"ENSG00000139970.17",0.381939333797868,7.58582889846115e-19,3.18644599086752e-16,"RTN1"
"ENSG00000170035.16",0.381921136188157,7.61704699625582e-19,3.18644599086752e-16,"UBE2E3"
"ENSG00000103642.12",0.381690655908,8.02355619987301e-19,3.33200133488595e-16,"LACTB"
"ENSG00000001561.7",0.381129525643173,9.10471129153208e-19,3.7265779820801e-16,"ENPP4"
"ENSG00000102910.14",0.380885789409873,9.61788393104206e-19,3.90091287754631e-16,"LONP2"
"ENSG00000077235.18",0.38086278019714,9.66777487096884e-19,3.90091287754631e-16,"GTF3C1"
"ENSG00000013561.18",0.380749918902044,9.91620679685501e-19,3.97297713586952e-16,"RNF14"
