"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000182492.16",0.66135693641656,2.55451882769224e-64,1.45559037320731e-59,"FAM153B"
"ENSG00000138964.17",0.642105074818374,1.40728397144805e-59,4.00942239885406e-55,"CENPE"
"ENSG00000101194.18",0.638276171100276,1.12483269077941e-58,2.13646971844338e-54,"TCFL5"
"ENSG00000143110.12",0.636214358271026,3.40328729320633e-58,4.84806783135474e-54,"CCN1"
"ENSG00000111341.10",0.631433325397915,4.29390831737877e-57,4.89342379665119e-53,"SCNN1A"
"ENSG00000132000.13",0.621660578516045,6.67146638568171e-55,6.3357804353755e-51,"ZNF132"
"ENSG00000171840.12",0.616971085738982,7.05496145581271e-54,5.61953830365615e-50,"NMRAL2P"
"ENSG00000108387.15",0.616746753527079,7.88970120377832e-54,5.61953830365615e-50,"CASC3"
"ENSG00000140368.13",0.614358706041262,2.58007886510678e-53,1.58477635316414e-49,"MFAP1"
"ENSG00000142552.8",0.614186292749745,2.80940234430114e-53,1.58477635316414e-49,"NLRP12"
"ENSG00000100365.16",0.614013606263462,3.05936011737343e-53,1.58477635316414e-49,"IFT27"
"ENSG00000162576.17",0.612980604206287,5.08844377436697e-53,2.3587961274872e-49,"JAK1"
"ENSG00000112799.9",0.612866676098706,5.38150430096586e-53,2.3587961274872e-49,"SLC29A1"
"ENSG00000172965.17",0.610359118843815,1.83509496645698e-52,7.0504868164463e-49,"CFL1"
"ENSG00000247774.7",0.610335848285801,1.85600993746502e-52,7.0504868164463e-49,"AC093789.1"
"ENSG00000161381.14",0.607877566408926,6.11249195327404e-52,2.17684939993443e-48,"RPL8"
"ENSG00000166928.11",0.607281329761699,8.14866391693561e-52,2.73128834500534e-48,"DCTN5"
"ENSG00000105329.11",0.606772175500342,1.04113699961788e-51,3.29583485417924e-48,"CACTIN"
"ENSG00000143387.14",0.605884349532398,1.59447698851616e-51,4.78183648855997e-48,"CASQ1"
"ENSG00000222041.11",0.60518771204606,2.22565802623483e-51,6.34101099964434e-48,"AL021407.2"
"ENSG00000137101.13",0.604563908342719,2.99814291001283e-51,8.13510386454481e-48,"DERL1"
"ENSG00000011600.12",0.599544536357207,3.21872742118917e-50,8.33665032667181e-47,"MAP4K3"
"ENSG00000204472.13",0.59651235564833,1.32320490310679e-49,3.27815385147514e-46,"AC022080.1"
"ENSG00000204482.11",0.59455351352211,3.27177713399126e-49,7.76788053633149e-46,"INF2"
"ENSG00000086991.13",0.59173875040726,1.18858550312073e-48,2.70907162213288e-45,"ALG9"
"ENSG00000129038.16",0.591075429848386,1.60789024227097e-48,3.52381514980161e-45,"DLL4"
"ENSG00000167261.14",0.589023958582439,4.07555348187974e-48,8.60107825744406e-45,"COQ4"
"ENSG00000140678.17",0.585870417831472,1.68079045216326e-47,3.42046859838267e-44,"RLBP1"
"ENSG00000137868.19",0.584637313057363,2.91268096391427e-47,5.72301634499307e-44,"KIF23"
"ENSG00000015285.11",0.584399283991451,3.23793084385717e-47,6.15001791379417e-44,"YAF2"
"ENSG00000180353.11",0.582915302312719,6.25231609124517e-47,1.14923620385562e-43,"NKX2-6"
"ENSG00000150782.12",0.582757408227584,6.70440987006272e-47,1.19382493376889e-43,"HNMT"
"ENSG00000205403.13",0.582566743332405,7.29375093351039e-47,1.25940976346168e-43,"LY6G5C"
"ENSG00000167613.16",0.581756892749874,1.04255769715283e-46,1.74723471004311e-43,"MVD"
"ENSG00000089820.16",0.580820497747732,1.57380744494112e-46,2.56220348629114e-43,"ZBTB25"
"ENSG00000166448.15",0.580518824378299,1.79658630391992e-46,2.84364678287948e-43,"MSS51"
"ENSG00000123329.20",0.579711671771523,2.55853053317564e-46,3.94020617056436e-43,"GUCY1B2"
"ENSG00000168961.17",0.579484660070466,2.82551373032815e-46,4.23685783862707e-43,"FSTL5"
"ENSG00000110852.4",0.579344153048382,3.00442328605193e-46,4.3896164939109e-43,"VWF"
"ENSG00000110077.14",0.579231873753227,3.1554319312402e-46,4.49499167184995e-43,"UNC93B1"
"ENSG00000066336.12",0.577887768659107,5.66729981423634e-46,7.87630270036587e-43,"CD84"
"ENSG00000106624.11",0.576943769510258,8.53663883122666e-46,1.14703290602869e-42,"COA1"
"ENSG00000084636.18",0.576911734379335,8.65594056952912e-46,1.14703290602869e-42,"EIF3I"
"ENSG00000198223.17",0.576418766341382,1.07147404684949e-45,1.38758324235297e-42,"AKAP17A"
"ENSG00000126860.12",0.575396213131319,1.66609320968396e-45,2.10968127068892e-42,"KTN1"
"ENSG00000089327.15",0.575343604539253,1.70429438398597e-45,2.11113909334575e-42,"FUS"
"ENSG00000163453.11",0.574486764047603,2.46402884358512e-45,2.9872942029005e-42,"HIPK1"
"ENSG00000214787.10",0.572955658522346,4.74857516616833e-45,5.63705336548829e-42,"YBX2P1"
"ENSG00000099998.18",0.571376110720683,9.30960442718029e-45,1.08259299972482e-41,"SUSD2"
"ENSG00000223865.11",0.571041367102555,1.07321797823581e-44,1.22306067235709e-41,"RNU6-1050P"
"ENSG00000137809.17",0.570702856516125,1.23898959054197e-44,1.36456333844261e-41,"FDX1"
"ENSG00000137841.12",0.570690914503382,1.24527989328049e-44,1.36456333844261e-41,"CTDSPL2"
"ENSG00000106483.12",0.57052067994363,1.33847017202157e-44,1.43900695984832e-41,"PHF14"
"ENSG00000171476.22",0.569906329470666,1.73605873152607e-44,1.83189560335346e-41,"KCNK3"
"ENSG00000092929.12",0.56962507670356,1.95522583248517e-44,2.02564951201522e-41,"CLSPN"
"ENSG00000130755.13",0.569541349858275,2.02561985854009e-44,2.06110437784773e-41,"PRDM12"
"ENSG00000129009.13",0.569356519955393,2.19004155988636e-44,2.18931154603307e-41,"INO80"
"ENSG00000169413.3",0.568869092319813,2.68989269221297e-44,2.6426340602584e-41,"SH3TC2"
"ENSG00000158869.11",0.567765505904357,4.27889020812241e-44,4.13246513472921e-41,"TAGLN2"
"ENSG00000105122.13",0.567411099860995,4.9649025489486e-44,4.71508520236067e-41,"FAM32A"
"ENSG00000154589.7",0.566495365846264,7.28473401843242e-44,6.80477752629996e-41,"DISP1"
