"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000013725.14",0.652379360280679,1.60517488346375e-07,0.00721596581093518,"GPRC5A"
"ENSG00000104814.13",0.635213670498492,4.22756199029746e-07,0.00721596581093518,"KCNN4"
"ENSG00000005844.19",0.626240168182934,6.85247415687791e-07,0.00721596581093518,"FBXL3"
"ENSG00000159496.14",0.622172128854427,8.4873555785592e-07,0.00721596581093518,"HLCS"
"ENSG00000227039.6",0.611739634052437,1.44924489844341e-06,0.00721596581093518,"FRG2B"
"ENSG00000141480.18",0.609995311085891,1.58191351178469e-06,0.00721596581093518,"TAF4B"
"ENSG00000128262.8",0.609403128538202,1.62946692799974e-06,0.00721596581093518,"PPAT"
"ENSG00000167077.13",0.607410248869016,1.79945742514767e-06,0.00721596581093518,"TSC22D4"
"ENSG00000124256.15",0.605670923071087,1.96116904277658e-06,0.00721596581093518,"ANKRD60"
"ENSG00000160593.19",0.604693364317563,2.05789357917824e-06,0.00721596581093518,"CACFD1"
"ENSG00000110934.13",0.601662597947405,2.38673275410961e-06,0.00721596581093518,"TSPAN11"
"ENSG00000138134.12",0.601633793531558,2.39008030242537e-06,0.00721596581093518,"RAB1A"
"ENSG00000211772.11",0.60064719693454,2.5074110341085e-06,0.00721596581093518,"RNU6-997P"
"ENSG00000276231.5",0.600529533074248,2.52175621790276e-06,0.00721596581093518,"YWHAQP7"
"ENSG00000138964.17",0.599670420258906,2.62883268381046e-06,0.00721596581093518,"CENPE"
"ENSG00000105383.15",0.598289834099777,2.80979834940795e-06,0.00721596581093518,"ICAM4"
"ENSG00000287430.1",0.597155073381842,2.96714298102246e-06,0.00721596581093518,"AC244517.12"
"ENSG00000147168.13",0.594555113225586,3.35904306344863e-06,0.00721596581093518,"CASK"
"ENSG00000147443.13",0.593419363159327,3.54489486672654e-06,0.00721596581093518,"PRPS1"
"ENSG00000137496.18",0.592593938077069,3.68591167922539e-06,0.00721596581093518,"RNF144B"
"ENSG00000123329.20",0.592040011500829,3.78344823775136e-06,0.00721596581093518,"GUCY1B2"
"ENSG00000204482.11",0.591320955961946,3.91363814259521e-06,0.00721596581093518,"INF2"
"ENSG00000146094.15",0.590516742407749,4.06416898026217e-06,0.00721596581093518,"KCNMB1"
"ENSG00000277734.8",0.59030066380912,4.10552074888181e-06,0.00721596581093518,"AL606537.1"
"ENSG00000247774.7",0.589727598535689,4.21709014142833e-06,0.00721596581093518,"AC093789.1"
"ENSG00000245164.8",0.589411902003111,4.27974885868779e-06,0.00721596581093518,"AC079953.1"
"ENSG00000027869.12",0.588804629027091,4.40271642959019e-06,0.00721596581093518,"IFNGR1"
"ENSG00000143851.15",0.588620633589423,4.44061642266699e-06,0.00721596581093518,"SRP9"
"ENSG00000213654.10",0.588078510412131,4.55405289374172e-06,0.00721596581093518,"RNU6-1300P"
"ENSG00000173372.17",0.587257611077315,4.73095168911408e-06,0.00727578626094371,"RHOD"
"ENSG00000211751.9",0.586421712317797,4.91761929816884e-06,0.00734678272805573,"RNU6-417P"
"ENSG00000198851.10",0.585767889929885,5.06836575855622e-06,0.00735071736186156,"PAPSS2"
"ENSG00000115085.14",0.585205665951417,5.20141028493331e-06,0.00735071736186156,"IL1A"
"ENSG00000103522.16",0.581905629608653,6.04993814299653e-06,0.00832487409366173,"STX4"
"ENSG00000130755.13",0.580126259130943,6.55906169346347e-06,0.00857416942223778,"PRDM12"
"ENSG00000100079.7",0.579214901818177,6.83494044838331e-06,0.00865244703560047,"GRK3"
"ENSG00000167851.15",0.578661040706218,7.00781499200979e-06,0.00865244703560047,"KLK1"
"ENSG00000142347.19",0.576599875923624,7.68739008130734e-06,0.00865244703560047,"COL6A2"
"ENSG00000197253.13",0.576379547668423,7.76353621457841e-06,0.00865244703560047,"FAM163B"
"ENSG00000211899.10",0.575128415785386,8.2093461060034e-06,0.00865244703560047,"MIR510"
"ENSG00000204472.13",0.574979095507155,8.26410796430132e-06,0.00865244703560047,"AC022080.1"
"ENSG00000102879.16",0.574583987998238,8.41064641426403e-06,0.00865244703560047,"MGRN1"
"ENSG00000137265.15",0.574547301371061,8.42437423059107e-06,0.00865244703560047,"CNPY3"
"ENSG00000140931.20",0.573302251622001,8.90275075222502e-06,0.00865244703560047,"PARN"
"ENSG00000163803.13",0.573103147964322,8.98154352707334e-06,0.00865244703560047,"IL17RC"
"ENSG00000155307.19",0.572956525649904,9.03997974628145e-06,0.00865244703560047,"DKK2"
"ENSG00000105122.13",0.572645739866078,9.16500890184008e-06,0.00865244703560047,"FAM32A"
"ENSG00000180353.11",0.572532593292447,9.21092392703294e-06,0.00865244703560047,"NKX2-6"
"ENSG00000077984.6",0.572396288370551,9.26651942078881e-06,0.00865244703560047,"FBLN1"
"ENSG00000132514.14",0.570348443283294,1.01400712673891e-05,0.00893095703111316,"POPDC3"
"ENSG00000140678.17",0.569648420463064,1.04557471857792e-05,0.00893095703111316,"RLBP1"
"ENSG00000271503.6",0.569573296271672,1.0490159422967e-05,0.00893095703111316,"AC008088.1"
"ENSG00000223865.11",0.56935749616314,1.05895950568765e-05,0.00893095703111316,"RNU6-1050P"
"ENSG00000128340.15",0.56873141716396,1.08830346731957e-05,0.00903274603217031,"A4GALT"
"ENSG00000158869.11",0.567466556926594,1.14989541323484e-05,0.00910908572185408,"TAGLN2"
"ENSG00000135439.11",0.566793450062632,1.18397152783361e-05,0.00910908572185408,"PHF21A"
"ENSG00000184922.14",0.566110619731873,1.21949218443297e-05,0.00910908572185408,"SNN"
"ENSG00000167286.10",0.565172315569217,1.26991147520999e-05,0.00910908572185408,"CCDC103"
"ENSG00000140853.16",0.56516079098976,1.27054255292142e-05,0.00910908572185408,"PMM2"
"ENSG00000197540.8",0.564889343624126,1.2854909272999e-05,0.00910908572185408,"KANK2"
"ENSG00000167613.16",0.564750084114246,1.29322278120131e-05,0.00910908572185408,"MVD"
"ENSG00000261644.2",0.564604135002945,1.30137217577736e-05,0.00910908572185408,"AC025574.1"
"ENSG00000116824.5",0.564337410935368,1.3163880979898e-05,0.00910908572185408,"TNNI3K"
"ENSG00000110448.11",0.56413186267118,1.32806907548665e-05,0.00910908572185408,"HIPK3"
"ENSG00000267369.1",0.563538760839044,1.3623133982845e-05,0.00910908572185408,"AL022341.2"
"ENSG00000169508.7",0.563301631581017,1.37623165871689e-05,0.00910908572185408,"OR5AU1"
