"cell_population","rho","p.value","adj.P.Val"
"T cells",-0.242607152229406,4.22054040697726e-08,4.22054040697726e-07
"CD8 T cells",-0.0798016079394995,0.0743354514113568,0.106193502016224
"Cytotoxic lymphocytes",-0.0996302216284562,0.0257825333404872,0.0515650666809743
"B lineage",-0.142348927642723,0.00141411599933374,0.00353528999833435
"NK cells",-0.083891977002171,0.0606205676843218,0.10103427947387
"Monocytic lineage",-0.0196823245938402,0.660198190157219,0.733553544619132
"Myeloid dendritic cells",-0.194533769115156,1.20409182828162e-05,4.01363942760541e-05
"Neutrophils",-0.0733293890307035,0.10110922873004,0.12638653591255
"Endothelial cells",0.0081113629315075,0.856234167523575,0.856234167523575
"Fibroblasts",-0.195881193787723,1.04513395069932e-05,4.01363942760541e-05
