"cancer_type","median_fpkm","sd_fpkm","median_log2_fpkm","n_samples"
"Prostate Adenocarcinoma",6.6095555260519,1.41035159990139,6.6095555260519,501
"Kidney Renal Clear Cell Carcinoma",2.76260394917006,0.971002389415673,2.76260394917006,541
"Uterine Corpus Endometrial Carcinoma",2.00561556740691,1.00646133094513,2.00561556740691,553
"Liver Hepatocellular Carcinoma",1.78755783812825,0.982660218433598,1.78755783812825,371
"Brain Lower Grade Glioma",1.36325080209959,1.01476511424434,1.36325080209959,516
"Glioblastoma Multiforme",1.32636474828748,0.757039010934951,1.32636474828748,372
"Uterine Carcinosarcoma",1.19591448498358,0.668802536683279,1.19591448498358,57
"Lung Squamous Cell Carcinoma",1.06887714085031,0.906783097682871,1.06887714085031,511
"Adrenocortical Carcinoma",1.06564123947595,1.04800679702933,1.06564123947595,79
"Ovarian Serous Cystadenocarcinoma",0.874560587566767,0.652546561792681,0.874560587566767,426
"Pheochromocytoma and Paraganglioma",0.792772077518119,0.917197251676801,0.792772077518119,179
"Cholangiocarcinoma",0.777198757149517,0.59238666428491,0.777198757149517,35
"Sarcoma",0.762136169901112,0.791724058116682,0.762136169901112,259
"Kidney Chromophobe",0.742735391163521,0.454854023255081,0.742735391163521,66
"Thyroid Carcinoma",0.715190516850791,0.456585712354852,0.715190516850791,505
"Breast Invasive Carcinoma",0.657182660128423,0.645094485011209,0.657182660128423,1111
"Lung Adenocarcinoma",0.615180850546627,0.499940414928962,0.615180850546627,540
"Esophageal Carcinoma",0.592394086667297,0.678378261202505,0.592394086667297,184
"Pancreatic Adenocarcinoma",0.583326438778315,0.811382186385451,0.583326438778315,178
"Head and Neck Squamous Cell Carcinoma",0.542059794860718,0.618246832360113,0.542059794860718,520
"Stomach Adenocarcinoma",0.514955393091965,0.707239784643271,0.514955393091965,412
"Bladder Urothelial Carcinoma",0.480265107227366,0.503848336491416,0.480265107227366,412
"Mesothelioma",0.407407140125773,0.406689221648148,0.407407140125773,87
"Testicular Germ Cell Tumors",0.376287262122476,0.580044170291822,0.376287262122476,150
"Colon Adenocarcinoma",0.364236231173997,0.390426873181993,0.364236231173997,481
"Rectal Adenocarcinoma",0.351286952272166,0.27741574485716,0.351286952272166,166
"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma",0.31678078740303,0.5014620702382,0.31678078740303,304
"Skin Cutaneous Melanoma",0.303459301828336,0.77420876117217,0.303459301828336,103
"Uveal Melanoma",0.29848222214951,0.174321003899478,0.29848222214951,80
"Kidney Renal Papillary Cell Carcinoma",0.242267122113857,0.520023198594078,0.242267122113857,290
"Lymphoid Neoplasm Diffuse Large B-cell Lymphoma",0.145604176988501,0.196051431955127,0.145604176988501,48
"Thymoma",0.127633279725874,0.339992142653302,0.127633279725874,120
