"sample_id","project_id","folh1_fpkm","sample_type_code","cancer_code","cancer_type","folh1_log2_fpkm"
"d2775f99-cc96-4c72-94ff-e3ba985dc151","TCGA-LGG",1.3114,"Primary","LGG","Brain Lower Grade Glioma",1.20876694742141
"5fbc6fe2-e12c-4d01-b80e-046b29a68153","TCGA-LGG",0.1019,"Primary","LGG","Brain Lower Grade Glioma",0.139993301903365
"7f6b5679-49e1-498d-bd1f-a757cd7db4cc","TCGA-LGG",6.574,"Primary","LGG","Brain Lower Grade Glioma",2.92105542122233
"33752dc3-5b99-4922-85f9-00f7a58c005f","TCGA-LGG",3.304,"Primary","LGG","Brain Lower Grade Glioma",2.10567807789454
"661f567e-3e63-4692-8ef8-b80a83e6c8de","TCGA-LGG",1.2932,"Primary","LGG","Brain Lower Grade Glioma",1.19736218414916
"8bf3b3f3-1735-49d5-b6b9-b1fddacd6a02","TCGA-LGG",0.9033,"Primary","LGG","Brain Lower Grade Glioma",0.928502978532915
"cc207e89-0a9c-4756-bdf1-5fab8b444022","TCGA-LGG",5.4311,"Primary","LGG","Brain Lower Grade Glioma",2.68506552275027
"b16c0429-9b18-4852-abb4-1ef16d5e310f","TCGA-LGG",13.0977,"Primary","LGG","Brain Lower Grade Glioma",3.81738790508188
"531e3db6-1dfb-4c36-a51c-b8a9c913196a","TCGA-LGG",0.5606,"Primary","LGG","Brain Lower Grade Glioma",0.642100805114698
"8e6663ee-8c6a-412e-b5d1-6d855916367a","TCGA-LGG",0.0084,"Primary","LGG","Brain Lower Grade Glioma",0.0120680233090903
"ded0f767-9cee-4f1d-8e91-cb242d30b57e","TCGA-LGG",0.73,"Primary","LGG","Brain Lower Grade Glioma",0.790772037862
"bc5744f2-1fba-4d80-98af-24aa89f5a597","TCGA-LGG",3.258,"Primary","LGG","Brain Lower Grade Glioma",2.09017594979021
"0767dafb-fdd8-4654-9677-16b79bc78f9d","TCGA-LGG",1.3737,"Primary","LGG","Brain Lower Grade Glioma",1.24713761153359
"d35e7d1e-0e3c-4fc5-8809-d8f879e6adea","TCGA-LGG",0.0713,"Primary","LGG","Brain Lower Grade Glioma",0.0993625397577723
"6d20c10a-68e1-492a-aa7c-9fcaf5bc55a5","TCGA-LGG",0.2149,"Primary","LGG","Brain Lower Grade Glioma",0.280837568611771
"4e5aee62-df39-4a74-917c-c3ab154f8d0e","TCGA-LGG",1.474,"Primary","LGG","Brain Lower Grade Glioma",1.30684550031428
"d24a30af-b43c-4d2d-8161-c37dfc04cbf2","TCGA-LGG",5.2482,"Primary","LGG","Brain Lower Grade Glioma",2.64344063376001
"c3f37b41-abbc-45c6-8ae0-ebc33fbcdba2","TCGA-LGG",0.3812,"Primary","LGG","Brain Lower Grade Glioma",0.465922239303937
"7b8f26ab-aad4-4191-9c1e-188a3a7a220a","TCGA-LGG",0.0959,"Primary","LGG","Brain Lower Grade Glioma",0.132116159533725
"6db4de4f-e0e1-4923-9c69-a7ffa5fc3671","TCGA-LGG",6.7737,"Primary","LGG","Brain Lower Grade Glioma",2.95860143275255
"c6171ccf-9675-47c6-a23e-e33d74014080","TCGA-LGG",7.056,"Primary","LGG","Brain Lower Grade Glioma",3.0100636833447
"bf8e8426-dc44-40b0-8459-ad1dbaf9ba5a","TCGA-LGG",1.3279,"Primary","LGG","Brain Lower Grade Glioma",1.21902908547869
"44727267-0e9b-4793-b3e4-a0541de5a583","TCGA-LGG",0.1797,"Primary","LGG","Brain Lower Grade Glioma",0.23842002607896
"d220c68f-dc22-48c2-b11c-ae86e6e3ff42","TCGA-LGG",3.1949,"Primary","LGG","Brain Lower Grade Glioma",2.06863641943181
"101aaa90-fe0a-42b7-bcc7-4f44e29883ec","TCGA-LGG",1.6141,"Primary","LGG","Brain Lower Grade Glioma",1.38631433116571
"3871600d-1115-4810-bcb3-54ed8370acf9","TCGA-LGG",0.5029,"Primary","LGG","Brain Lower Grade Glioma",0.587749018366928
"0c9258a7-d24d-4804-988b-aea0adfc3fe7","TCGA-LGG",0.2666,"Primary","LGG","Brain Lower Grade Glioma",0.340960984518863
"aeda6b50-3e1a-4347-8704-08c05792578a","TCGA-LGG",0.0463,"Primary","LGG","Brain Lower Grade Glioma",0.065296567127781
"889c2815-6856-4a79-ab15-c70469f4cd87","TCGA-LGG",8.436,"Primary","LGG","Brain Lower Grade Glioma",3.23817541857738
"f4a1c3af-56a6-4195-9e3f-1e8c89ed7793","TCGA-LGG",7.4738,"Primary","LGG","Brain Lower Grade Glioma",3.08300907838162
"da336b2f-9e6d-44bc-b1b9-04c1e610b676","TCGA-LGG",1.4308,"Primary","LGG","Brain Lower Grade Glioma",1.28143119699561
"83f7706a-1fdf-4ed5-99cf-ea8853afc159","TCGA-LGG",3.9769,"Primary","LGG","Brain Lower Grade Glioma",2.31524739948158
"064e3223-313a-4353-a940-d2ce2220e438","TCGA-LGG",0.1184,"Primary","LGG","Brain Lower Grade Glioma",0.161436265825987
"9e8a3c17-abc3-42b8-a786-186885a52bc9","TCGA-LGG",3.6126,"Primary","LGG","Brain Lower Grade Glioma",2.20558018877525
"5e5b4d2a-c00b-441b-802a-0f546bd7566b","TCGA-LGG",0.9352,"Primary","LGG","Brain Lower Grade Glioma",0.952482674430476
"45e06e12-1003-4924-906a-eee733fa485a","TCGA-LGG",1.4752,"Primary","LGG","Brain Lower Grade Glioma",1.30754510189959
"664226b3-6c8b-4e0a-a75b-955d65e62da9","TCGA-LGG",8.1952,"Primary","LGG","Brain Lower Grade Glioma",3.20088095428596
