cancer_type,mean count,median count,sd count,n samples
Prostate Adenocarcinoma,8.629697432,8.863196565,1.467995046,501
Kidney Renal Clear Cell Carcinoma,4.650024384,4.874015318,1.222779034,541
Uterine Corpus Endometrial Carcinoma,3.888355962,3.939325765,1.327678516,553
Liver Hepatocellular Carcinoma,3.233556393,3.278925071,1.224903289,371
Brain Lower Grade Glioma,3.128531222,3.151962071,1.498206743,516
Brain Glioblastoma,3.045580079,3.062148374,1.118897978,372
Uterine Carcinosarcoma,2.873550385,2.873856361,1.055882869,57
Lung Squamous Cell Carcinoma,2.812927202,2.671026127,1.379539828,511
Adrenocortical Carcinoma,2.587239677,2.592032402,1.45371657,78
Ovarian Serous Cystadenocarcinoma,2.325284239,2.241145167,1.036699341,426
Cholangiocarcinoma,2.319912323,2.20575073,0.941862304,35
Pheochromocytoma,2.308287756,2.108956399,1.397463414,179
Breast Invasive Carcinoma,2.200967234,1.998452109,1.038848677,1111
Sarcoma,2.19140946,2.083418466,1.265246321,257
Thyroid Carcinoma,2.056028317,2.025067212,0.830851313,505
Kidney Chromophobe,1.979216912,1.95033535,0.830156194,66
Pancreatic Adenocarcinoma,1.961413441,1.771622263,1.13908034,178
Esophageal Carcinoma,1.958612927,1.743669797,1.101464024,184
Lung Adenocarcinoma,1.934801258,1.832244027,0.928701296,540
Stomach Adenocarcinoma,1.820368671,1.559572151,1.119617009,412
Head and Neck Squamous Cell Carcinoma,1.814945282,1.597906094,1.104388976,520
Bladder Urothelial Carcinoma,1.688495437,1.544933611,0.90235841,412
Testicular Germ Cell Tumors,1.569917755,1.225711389,1.098599692,150
Skin Cutaneous Melanoma,1.481270543,1.093571483,1.32435518,103
Mesothelioma,1.461495424,1.285903588,0.824829902,87
Colon Adenocarcinoma,1.409010866,1.335102645,0.745293098,478
Cervical Squamous Cell Carcinoma,1.398421046,1.167083376,0.966619996,304
Rectal Adenocarcinoma,1.353942842,1.249736669,0.642655996,166
Kidney Renal Papillary Cell Carcinoma,1.229516566,0.945585973,1.030940505,289
Uveal Melanoma,0.958713993,0.900624608,0.46337736,80
Thymoma,0.935047531,0.613783741,0.839695426,116
Diffuse Large B-cell Lymphoma,0.624575615,0.551310059,0.424715745,48
