"cancer_type_1","cancer_type_2","p_adj_bh"
"Kidney Renal Clear Cell Carcinoma","Adrenocortical Carcinoma",0
"Prostate Adenocarcinoma","Adrenocortical Carcinoma",0
"Brain Glioblastoma","Bladder Urothelial Carcinoma",0
"Brain Lower Grade Glioma","Bladder Urothelial Carcinoma",0
"Kidney Renal Clear Cell Carcinoma","Bladder Urothelial Carcinoma",0
"Liver Hepatocellular Carcinoma","Bladder Urothelial Carcinoma",0
"Lung Squamous Cell Carcinoma","Bladder Urothelial Carcinoma",0
"Ovarian Serous Cystadenocarcinoma","Bladder Urothelial Carcinoma",0
"Prostate Adenocarcinoma","Bladder Urothelial Carcinoma",0
"Uterine Corpus Endometrial Carcinoma","Bladder Urothelial Carcinoma",0
"Kidney Renal Clear Cell Carcinoma","Brain Glioblastoma",0
"Prostate Adenocarcinoma","Brain Glioblastoma",0
"Uterine Corpus Endometrial Carcinoma","Brain Glioblastoma",0
"Kidney Renal Clear Cell Carcinoma","Brain Lower Grade Glioma",0
"Prostate Adenocarcinoma","Brain Lower Grade Glioma",0
"Uterine Corpus Endometrial Carcinoma","Brain Lower Grade Glioma",0
"Kidney Renal Clear Cell Carcinoma","Breast Invasive Carcinoma",0
"Liver Hepatocellular Carcinoma","Breast Invasive Carcinoma",0
"Lung Squamous Cell Carcinoma","Breast Invasive Carcinoma",0
"Prostate Adenocarcinoma","Breast Invasive Carcinoma",0
"Uterine Corpus Endometrial Carcinoma","Breast Invasive Carcinoma",0
"Kidney Renal Clear Cell Carcinoma","Cervical Squamous Cell Carcinoma",0
"Liver Hepatocellular Carcinoma","Cervical Squamous Cell Carcinoma",0
"Lung Adenocarcinoma","Cervical Squamous Cell Carcinoma",0
"Lung Squamous Cell Carcinoma","Cervical Squamous Cell Carcinoma",0
"Ovarian Serous Cystadenocarcinoma","Cervical Squamous Cell Carcinoma",0
"Pheochromocytoma","Cervical Squamous Cell Carcinoma",0
"Prostate Adenocarcinoma","Cervical Squamous Cell Carcinoma",0
"Sarcoma","Cervical Squamous Cell Carcinoma",0
