"cancer_type","n_samples","mean_fpkm_uq","median_fpkm_uq","sd_fpkm_uq","iqr_fpkm_uq","median_log2","kruskal_p_overall"
"Prostate Adenocarcinoma",501,122.625138922156,96.6505,104.822094362118,129.3989,6.6095555260519,0
"Kidney Renal Clear Cell Carcinoma",541,6.99631903881701,5.7862,5.69116073347177,5.4334,2.76260394917006,0
"Uterine Corpus Endometrial Carcinoma",553,4.4001095840868,3.0156,4.94380354639632,4.0662,2.00561556740691,0
"Liver Hepatocellular Carcinoma",371,3.69629056603774,2.4523,3.68244555227247,3.80765,1.78755783812825,0
"Brain Lower Grade Glioma",516,2.74254166666667,1.57265,3.25983024711237,2.9133,1.36325080209959,0
"Brain Glioblastoma",372,2.03852069892473,1.5077,2.0645879290145,1.852625,1.32636474828748,0
"Uterine Carcinosarcoma",57,1.69910526315789,1.2909,1.52526999558638,1.4568,1.19591448498358,0
"Lung Squamous Cell Carcinoma",511,2.10364598825832,1.0978,2.82553695234676,2.1112,1.06887714085031,0
"Adrenocortical Carcinoma",79,4.04654556962025,1.0931,21.5378253461909,1.48895,1.06564123947595,0
"Ovarian Serous Cystadenocarcinoma",426,1.27163591549296,0.83345,1.56751360290598,0.9944,0.874560587566767,0
"Pheochromocytoma",179,1.73214860335196,0.7324,2.73679423223426,1.5768,0.792772077518119,0
"Cholangiocarcinoma",35,1.12364571428571,0.7138,1.49556348289805,0.6519,0.777198757149517,0
"Sarcoma",259,1.34923436293436,0.696,2.19393168705364,1.06315,0.762136169901112,0
"Kidney Chromophobe",66,0.875160606060606,0.6734,0.741100594413219,0.69205,0.742735391163521,0
"Thyroid Carcinoma",505,0.835547128712871,0.6417,0.722702167242068,0.6698,0.715190516850791,0
"Breast Invasive Carcinoma",1111,1.10495706570657,0.577,2.17774473989216,0.7981,0.657182660128423,0
"Lung Adenocarcinoma",540,0.772864259259259,0.53175,0.802195197122304,0.67285,0.615180850546627,0
"Esophageal Carcinoma",184,1.1746972826087,0.50775,4.54478342028693,0.839725,0.592394086667297,0
"Pancreatic Adenocarcinoma",178,1.62645674157303,0.4983,6.93545393801373,0.5227,0.583326438778315,0
"Head and Neck Squamous Cell Carcinoma",520,0.864171923076923,0.45605,1.16002686078634,0.792475,0.542059794860718,0
"Stomach Adenocarcinoma",412,1.02756917475728,0.42895,2.4126670059606,0.573875,0.514955393091965,0
"Bladder Urothelial Carcinoma",412,0.669830339805825,0.395,1.10322189429659,0.4738,0.480265107227366,0
"Mesothelioma",87,0.504413793103448,0.3263,0.516428529955234,0.44645,0.407407140125773,0
"Testicular Germ Cell Tumors",150,0.667771333333333,0.298,0.930953414757084,0.543325,0.376287262122476,0
"Colon Adenocarcinoma",481,0.453224116424116,0.2872,1.1177470236487,0.2775,0.364236231173997,0
"Rectal Adenocarcinoma",166,0.363834337349398,0.2757,0.330852429562084,0.25875,0.351286952272166,0
"Cervical Squamous Cell Carcinoma",304,0.523856578947368,0.24555,1.04103800605722,0.383825,0.31678078740303,0
"Skin Cutaneous Melanoma",103,0.907272815533981,0.2341,2.23078583798177,0.5729,0.303459301828336,0
"Uveal Melanoma",80,0.2552725,0.22985,0.15743857389672,0.22585,0.29848222214951,0
"Kidney Renal Papillary Cell Carcinoma",290,0.487344482758621,0.18285,0.906007427645432,0.4212,0.242267122113857,0
"Diffuse Large B-cell Lymphoma",48,0.14919375,0.1062,0.214866536909568,0.0965,0.145604176988501,0
"Thymoma",120,0.2563575,0.0925,0.362424029167586,0.248775,0.127633279725874,0
