"sample_id","project_id","cancer_code","cancer_type","sample_type","tumor_descriptor","folh1_fpkm_uq","folh1_log2"
"TCGA-HT-7468-01A-11R-2027-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",1.3114,1.20876694742141
"TCGA-DU-7015-01A-11R-2027-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.1019,0.139993301903365
"TCGA-HT-7601-01A-11R-2090-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",6.574,2.92105542122233
"TCGA-DU-A6S7-01A-21R-A32Q-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",3.304,2.10567807789454
"TCGA-IK-7675-01A-11R-2090-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",1.2932,1.19736218414916
"TCGA-E1-A7YE-01A-11R-A34F-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.9033,0.928502978532915
"TCGA-HT-8107-01A-13R-2404-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",5.4311,2.68506552275027
"TCGA-HT-7467-01A-11R-2027-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",13.0977,3.81738790508188
"TCGA-DU-8164-01A-11R-2256-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.5606,0.642100805114698
"TCGA-TQ-A7RF-01A-11R-A33Z-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.0084,0.0120680233090903
"TCGA-E1-5307-01A-01R-1896-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.73,0.790772037862
"TCGA-HT-8564-01A-11R-2404-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",3.258,2.09017594979021
"TCGA-DB-A4XB-01A-11R-A26U-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",1.3737,1.24713761153359
"TCGA-WY-A85C-01A-11R-A36H-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.0713,0.0993625397577723
"TCGA-S9-A6WM-01A-12R-A33Z-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.2149,0.280837568611771
"TCGA-CS-4941-01A-01R-1470-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",1.474,1.30684550031428
"TCGA-E1-A7YU-01A-11R-A34R-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",5.2482,2.64344063376001
"TCGA-QH-A6CW-01A-11R-A32Q-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.3812,0.465922239303937
"TCGA-HT-7860-01A-11R-2403-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.0959,0.132116159533725
"TCGA-FG-A4MY-01A-11R-A26U-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",6.7737,2.95860143275255
"TCGA-HT-7470-01A-12R-2090-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",7.056,3.0100636833447
"TCGA-RY-A847-01A-11R-A36H-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",1.3279,1.21902908547869
"TCGA-CS-5394-01A-01R-1470-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.1797,0.23842002607896
"TCGA-E1-A7Z2-01A-21R-A34R-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",3.1949,2.06863641943181
"TCGA-DU-5852-01A-11R-1708-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",1.6141,1.38631433116571
"TCGA-QH-A6X9-01A-12R-A32Q-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.5029,0.587749018366928
"TCGA-HT-8563-01A-11R-2404-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.2666,0.340960984518863
"TCGA-DH-A66B-01A-11R-A29R-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.0463,0.065296567127781
"TCGA-DU-7298-01A-11R-2027-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",8.436,3.23817541857738
"TCGA-VM-A8CE-01A-11R-A36H-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",7.4738,3.08300907838162
"TCGA-DU-A7TJ-01A-11R-A34R-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",1.4308,1.28143119699561
"TCGA-DB-A4XH-01A-11R-A27Q-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",3.9769,2.31524739948158
"TCGA-DU-8168-01A-11R-2256-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.1184,0.161436265825987
"TCGA-HT-7603-01A-21R-2090-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",3.6126,2.20558018877525
"TCGA-HT-A74L-01A-11R-A32Q-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.9352,0.952482674430476
"TCGA-S9-A89Z-01A-11R-A36H-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",1.4752,1.30754510189959
"TCGA-DU-6403-01A-11R-1708-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",8.1952,3.20088095428596
"TCGA-S9-A7R3-01A-11R-A34R-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",2.514,1.81311419134629
"TCGA-HT-7608-01A-11R-2090-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",1.3169,1.21219577721203
"TCGA-QH-A6X5-01A-12R-A32Q-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",10.3156,3.50024117918946
"TCGA-DU-A5TW-01A-11R-A28M-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",1.337,1.22465773412074
"TCGA-HT-7602-01A-21R-2090-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",14.9937,3.99943182696124
"TCGA-HT-7481-01A-11R-2027-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",9.4865,3.39046133570007
"TCGA-FG-A6J1-01A-11R-A31N-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.1851,0.245008800403796
"TCGA-FG-A60J-01A-11R-A28M-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",2.55,1.82781902461732
"TCGA-HW-8320-01A-11R-2404-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.0096,0.0137838154330997
"TCGA-DU-8166-01A-11R-2256-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.8942,0.921588666484692
"TCGA-TQ-A7RP-01A-21R-A34F-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",7.5902,3.10269172107843
"TCGA-WY-A85D-01A-11R-A36H-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",1.9582,1.5647195944431
"TCGA-TM-A7C3-01A-11R-A32Q-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.0921,0.127104965139401
"TCGA-DU-7299-01A-21R-2027-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",4.1079,2.35273028093016
"TCGA-DB-A4XA-01A-11R-A26U-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",2.8936,1.96110467972905
"TCGA-HT-A614-01A-11R-A29R-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",9.8966,3.44580614472226
"TCGA-P5-A72Z-01A-11R-A32Q-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.3265,0.407624675566609
"TCGA-P5-A5F1-01A-11R-A28M-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",1.174,1.12035194036522
"TCGA-DH-5144-01A-01R-1470-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.5391,0.622086970988523
"TCGA-IK-8125-01A-11R-2256-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",1.0378,1.02701246506258
"TCGA-DU-A7T8-01A-21R-A34R-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.0667,0.093154487907083
"TCGA-HT-8010-01A-11R-2403-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",2.5676,1.83495386907935
"TCGA-DU-8165-01A-11R-2256-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",1.0033,1.00237848510643
"TCGA-S9-A6WI-01A-21R-A33Z-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",5.8357,2.77308908250125
"TCGA-DU-7292-01A-11R-2027-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",1.2409,1.16407827012316
"TCGA-S9-A6WQ-01A-12R-A34F-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",11.1711,3.6053876567623
"TCGA-FG-7641-01B-11R-2256-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",3.4915,2.16719733386726
"TCGA-DU-6393-01A-11R-1708-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",1.1752,1.12114805647531
"TCGA-S9-A7J2-01A-11R-A34F-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.2354,0.304978235803961
"TCGA-HT-A74J-01A-12R-A32Q-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",1.1522,1.10581215112923
"TCGA-DB-5281-01A-01R-1470-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.7312,0.791772404277366
"TCGA-DB-A64V-01A-11R-A29R-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",13.1203,3.81969883533176
"TCGA-DU-7019-01A-11R-2027-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.5285,0.612116552224883
"TCGA-DU-6400-01A-12R-1708-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",0.2445,0.315566230318949
"TCGA-TM-A7CA-01A-21R-A33Z-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",2.0141,1.59172728259958
"TCGA-HT-7480-01A-11R-2090-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",1.7194,1.44328837481714
"TCGA-P5-A781-01A-11R-A32Q-07","TCGA-LGG","LGG","Brain Lower Grade Glioma","Primary Tumor","Primary",5.2084,2.63422151168511
