"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","94/467","298/9411",0.315436241610738,6.356681948177,21.471414928641,9.64596725958933e-52,3.39538047537544e-49,3.39538047537544e-49,"2919/6368/3604/3581/6354/7293/3553/3586/1436/651/6356/8807/1236/4050/1440/3559/1234/23495/6351/6352/10663/2921/6363/7133/10563/6362/1233/3560/939/3458/6373/3569/6372/3561/3594/2920/608/959/6348/970/8740/3587/3600/6357/284340/5008/944/6347/6361/1439/4049/3575/3579/6366/59067/3627/6375/6846/356/10803/4283/11009/943/958/6355/6364/10148/1230/6374/7124/3606/6369/3592/3558/7852/50615/8600/115650/1237/3593/3603/920/1438/5197/6367/9560/2833/3976/1235/729230/2829/9235/643/10673",94
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","57/467","100/9411",0.57,11.4866595289079,24.0894209835886,8.64696764691079e-49,1.5218663058563e-46,1.5218663058563e-46,"2919/6368/6354/3586/1436/6356/8807/1236/3559/1234/6351/6352/2921/6363/7133/10563/6362/1233/3560/6373/3569/6372/3561/2920/6348/8740/3587/6357/6347/6361/4049/3579/6366/3627/6375/6846/10803/4283/11009/6355/6364/1230/6374/7124/3606/6369/3558/7852/1237/5197/6367/9560/2833/1235/729230/2829/643",57
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","47/467","100/9411",0.47,9.47145610278373,19.4601981537966,3.95266449604307e-35,4.63779300869054e-33,4.63779300869054e-33,"911/3581/3553/3684/1436/926/3120/917/3676/1440/1379/3559/921/915/931/3117/933/3127/914/3119/909/3569/913/3112/925/2322/3108/945/3115/930/916/3575/3118/3111/7124/924/1380/912/3123/1378/951/3122/920/1438/910/3113/2208",47
"Human Diseases","Immune disease","hsa05330","Allograft rejection","28/467","39/9411",0.717948717948718,14.4681271619173,19.2579798733913,1.38452193748814e-28,1.03846217937099e-26,1.03846217937099e-26,"3002/942/3586/3120/3117/3127/3119/3458/3112/959/3108/3134/5551/3115/356/3118/958/3111/7124/941/3592/3123/3558/3105/3122/3593/940/3113",28
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","56/467","193/9411",0.290155440414508,5.84722237631891,15.5467853945555,1.5097986297052e-28,1.03846217937099e-26,1.03846217937099e-26,"2919/6368/6354/7409/6356/1236/1234/3055/6351/6352/10663/2921/6363/10563/1794/6362/5579/1233/6373/6372/5880/2920/6348/146850/3718/6357/6347/653361/6361/3579/6366/3627/6375/6846/10803/4283/5294/6355/6364/1230/6374/6369/5293/7852/1237/5197/6367/9560/3702/2833/1235/729230/2829/643/2793/7454",56
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","31/467","50/9411",0.62,12.49426124197,18.6205412165002,1.77010598756418e-28,1.03846217937099e-26,1.03846217937099e-26,"942/3586/3120/3676/23495/3117/3127/3119/3569/5284/608/3112/959/3108/3600/3115/3695/10803/3118/958/3111/941/3123/3558/7852/3122/115650/940/3113/29851/10673",31
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","51/467","160/9411",0.31875,6.42346092077088,15.8099145530609,3.24421027547838e-28,1.63137430995484e-26,1.63137430995484e-26,"6401/57689/942/3684/926/3120/3676/7412/80380/3117/923/933/3127/6404/914/3119/5788/26050/10666/3112/959/5133/925/3108/3134/3689/3115/79679/3695/10686/6402/9071/120425/3118/1493/958/6614/3111/201633/941/3123/57863/3105/3122/940/920/3113/6693/29851/3385/3683",51
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","27/467","44/9411",0.613636363636364,12.3660210239439,17.2671988297266,9.15517217332496e-25,4.02827575626298e-23,4.02827575626298e-23,"3002/942/3553/3120/3117/3127/3119/3458/3112/3108/3134/5551/3115/4049/356/3118/3111/7124/941/3592/3123/3558/3105/3122/3593/940/3113",27
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","27/467","45/9411",0.6,12.0912205567452,17.0410314720409,2.18523672398686e-24,8.54670363159304e-23,8.54670363159304e-23,"3002/942/3553/3120/3117/3127/3119/3458/3569/3112/3108/3824/3134/5551/3115/356/3118/3111/3821/7124/941/3123/3558/3105/3122/940/3113",27
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","37/467","95/9411",0.389473684210526,7.84868702806266,15.329985344649,3.05989772123349e-24,1.07708399787419e-22,1.07708399787419e-22,"2919/942/3553/3120/4050/3117/6352/2921/3127/3119/3458/3569/6372/2920/3112/6348/3108/3600/3689/6347/7097/3115/3118/1493/3111/6364/6374/7124/941/3606/3123/8600/3122/940/3113/10673/3683",37
