"cell_population","p.value","HR","adj.P.Val"
"T cells",0.840924243676688,1.13608946216295,0.900477186408235
"CD8 T cells",0.900477186408235,1.08265950678722,0.900477186408235
"Cytotoxic lymphocytes",0.827136588458433,0.866036762660205,0.900477186408235
"B lineage",0.405273877306349,0.585663397818975,0.900477186408235
"NK cells",0.744688288110793,0.808606042284432,0.900477186408235
"Monocytic lineage",0.375948131510626,0.536944314860024,0.900477186408235
"Myeloid dendritic cells",0.412331493307272,1.69314128327688,0.900477186408235
"Neutrophils",0.67457594820652,0.762354310535987,0.900477186408235
"Endothelial cells",0.336958562686457,0.505506163550037,0.900477186408235
"Fibroblasts",0.763999333729741,1.21738476570676,0.900477186408235
