"sample_full","sample","PIP5K1A","subtype_code","subtype","median_cutoff","expr_group"
"TCGA-FB-AAPS-01A-12R-A39D-07","TCGA-FB-AAPS",11.2250569737818,1,"Basal-like",11.3199157459477,"Low"
"TCGA-IB-AAUN-01A-12R-A38C-07","TCGA-IB-AAUN",11.1123602501006,1,"Basal-like",11.3199157459477,"Low"
"TCGA-HZ-8002-01A-11R-2204-07","TCGA-HZ-8002",11.1712710410881,1,"Basal-like",11.3199157459477,"Low"
"TCGA-2J-AAB6-01A-11R-A41B-07","TCGA-2J-AAB6",12.2420242344835,1,"Basal-like",11.3199157459477,"High"
"TCGA-RB-AA9M-01A-11R-A39D-07","TCGA-RB-AA9M",11.636432467029,1,"Basal-like",11.3199157459477,"High"
"TCGA-2J-AAB9-01A-11R-A41B-07","TCGA-2J-AAB9",10.9860346067022,1,"Basal-like",11.3199157459477,"Low"
"TCGA-FB-A4P5-01A-11R-A26U-07","TCGA-FB-A4P5",11.0313033404446,1,"Basal-like",11.3199157459477,"Low"
"TCGA-XD-AAUI-01A-42R-A41B-07","TCGA-XD-AAUI",11.2583876080818,1,"Basal-like",11.3199157459477,"Low"
"TCGA-IB-A5SS-01A-11R-A32O-07","TCGA-IB-A5SS",11.3577729766073,1,"Basal-like",11.3199157459477,"High"
"TCGA-IB-7885-01A-11R-2156-07","TCGA-IB-7885",11.2823617780062,1,"Basal-like",11.3199157459477,"Low"
"TCGA-FB-A545-01A-11R-A26U-07","TCGA-FB-A545",11.6456616663483,1,"Basal-like",11.3199157459477,"High"
"TCGA-S4-A8RO-01A-12R-A37L-07","TCGA-S4-A8RO",11.8291643578309,1,"Basal-like",11.3199157459477,"High"
"TCGA-IB-A7LX-01A-12R-A36G-07","TCGA-IB-A7LX",11.9326792361601,1,"Basal-like",11.3199157459477,"High"
"TCGA-IB-A7M4-01A-11R-A36G-07","TCGA-IB-A7M4",10.8422049335568,1,"Basal-like",11.3199157459477,"Low"
"TCGA-3A-A9IU-01A-11R-A39D-07","TCGA-3A-A9IU",11.9672819868902,1,"Basal-like",11.3199157459477,"High"
"TCGA-HV-A5A3-01A-11R-A26U-07","TCGA-HV-A5A3",11.7097010544632,1,"Basal-like",11.3199157459477,"High"
"TCGA-IB-AAUQ-01A-22R-A41I-07","TCGA-IB-AAUQ",10.9352731478067,1,"Basal-like",11.3199157459477,"Low"
"TCGA-3A-A9IZ-01A-12R-A41B-07","TCGA-3A-A9IZ",11.3107450525204,1,"Basal-like",11.3199157459477,"Low"
"TCGA-IB-7897-01A-21R-2204-07","TCGA-IB-7897",11.4686312495716,1,"Basal-like",11.3199157459477,"High"
"TCGA-3A-A9IB-01A-21R-A39D-07","TCGA-3A-A9IB",11.0049366835309,1,"Basal-like",11.3199157459477,"Low"
"TCGA-IB-8127-01A-11R-2404-07","TCGA-IB-8127",11.5368413960034,1,"Basal-like",11.3199157459477,"High"
"TCGA-2J-AABU-01A-11R-A41B-07","TCGA-2J-AABU",11.6913577201501,1,"Basal-like",11.3199157459477,"High"
"TCGA-HV-AA8V-01A-11R-A41B-07","TCGA-HV-AA8V",11.0740313718929,1,"Basal-like",11.3199157459477,"Low"
"TCGA-3A-A9IH-01A-12R-A39D-07","TCGA-3A-A9IH",11.0618735587876,1,"Basal-like",11.3199157459477,"Low"
"TCGA-HZ-A4BH-01A-11R-A26U-07","TCGA-HZ-A4BH",11.3201444550417,1,"Basal-like",11.3199157459477,"High"
"TCGA-IB-A5SQ-01A-11R-A32O-07","TCGA-IB-A5SQ",11.5960829800583,1,"Basal-like",11.3199157459477,"High"
"TCGA-IB-A6UF-01A-23R-A33R-07","TCGA-IB-A6UF",11.8636446222384,1,"Basal-like",11.3199157459477,"High"
"TCGA-F2-A8YN-01A-11R-A37L-07","TCGA-F2-A8YN",10.9705086791562,1,"Basal-like",11.3199157459477,"Low"
"TCGA-H6-8124-01A-11R-2404-07","TCGA-H6-8124",11.5512326055109,1,"Basal-like",11.3199157459477,"High"
"TCGA-3A-A9IX-01A-11R-A41B-07","TCGA-3A-A9IX",11.2664587726995,1,"Basal-like",11.3199157459477,"Low"
"TCGA-XD-AAUH-01A-42R-A41B-07","TCGA-XD-AAUH",11.4133414506837,1,"Basal-like",11.3199157459477,"High"
"TCGA-XN-A8T3-01A-11R-A36G-07","TCGA-XN-A8T3",11.4093669024196,1,"Basal-like",11.3199157459477,"High"
"TCGA-FB-AAQ2-01A-31R-A41B-07","TCGA-FB-AAQ2",11.1120687965581,1,"Basal-like",11.3199157459477,"Low"
"TCGA-FB-AAQ1-01A-12R-A41B-07","TCGA-FB-AAQ1",10.9978993502963,1,"Basal-like",11.3199157459477,"Low"
"TCGA-2J-AABO-01A-21R-A41B-07","TCGA-2J-AABO",11.4197238753728,1,"Basal-like",11.3199157459477,"High"
"TCGA-M8-A5N4-01A-11R-A26U-07","TCGA-M8-A5N4",11.2558234805078,1,"Basal-like",11.3199157459477,"Low"
"TCGA-2J-AABI-01A-12R-A41B-07","TCGA-2J-AABI",11.6928729655468,1,"Basal-like",11.3199157459477,"High"
"TCGA-IB-AAUO-01A-12R-A38C-07","TCGA-IB-AAUO",11.3800364683386,1,"Basal-like",11.3199157459477,"High"
"TCGA-2L-AAQE-01A-11R-A39D-07","TCGA-2L-AAQE",11.0743726748865,1,"Basal-like",11.3199157459477,"Low"
"TCGA-IB-7893-01A-11R-2204-07","TCGA-IB-7893",11.753409304664,1,"Basal-like",11.3199157459477,"High"
"TCGA-LB-A9Q5-01A-11R-A39D-07","TCGA-LB-A9Q5",11.0593768425438,1,"Basal-like",11.3199157459477,"Low"
"TCGA-IB-7889-01A-11R-2156-07","TCGA-IB-7889",10.8287521097666,1,"Basal-like",11.3199157459477,"Low"
"TCGA-FB-A5VM-01A-11R-A32O-07","TCGA-FB-A5VM",11.0943732989642,1,"Basal-like",11.3199157459477,"Low"
"TCGA-YH-A8SY-01A-11R-A37L-07","TCGA-YH-A8SY",11.4510456292454,1,"Basal-like",11.3199157459477,"High"
"TCGA-IB-7890-01A-12R-2204-07","TCGA-IB-7890",11.5245943179052,1,"Basal-like",11.3199157459477,"High"
"TCGA-HZ-8001-01A-11R-2204-07","TCGA-HZ-8001",10.9251546629695,1,"Basal-like",11.3199157459477,"Low"
"TCGA-IB-AAUS-01A-12R-A38C-07","TCGA-IB-AAUS",10.8910954681918,1,"Basal-like",11.3199157459477,"Low"
"TCGA-IB-AAUR-01A-21R-A38C-07","TCGA-IB-AAUR",11.3416219858329,1,"Basal-like",11.3199157459477,"High"
"TCGA-2L-AAQI-01A-12R-A39D-07","TCGA-2L-AAQI",11.0770706781088,1,"Basal-like",11.3199157459477,"Low"
"TCGA-HZ-A77Q-01A-11R-A36G-07","TCGA-HZ-A77Q",11.4057253535345,1,"Basal-like",11.3199157459477,"High"
"TCGA-HZ-A77O-01A-11R-A33R-07","TCGA-HZ-A77O",11.0270503805226,1,"Basal-like",11.3199157459477,"Low"
"TCGA-2J-AABR-01A-11R-A41B-07","TCGA-2J-AABR",11.2293328282408,1,"Basal-like",11.3199157459477,"Low"
"TCGA-IB-A6UG-01A-32R-A33R-07","TCGA-IB-A6UG",11.5064407305267,1,"Basal-like",11.3199157459477,"High"
"TCGA-2J-AABE-01A-12R-A41B-07","TCGA-2J-AABE",11.4354934875427,1,"Basal-like",11.3199157459477,"High"
"TCGA-XD-AAUL-01A-21R-A39D-07","TCGA-XD-AAUL",11.0467816192231,1,"Basal-like",11.3199157459477,"Low"
"TCGA-XN-A8T5-01A-12R-A36G-07","TCGA-XN-A8T5",11.3199157459477,1,"Basal-like",11.3199157459477,"High"
"TCGA-HZ-8315-01A-11R-2404-07","TCGA-HZ-8315",11.387495460783,1,"Basal-like",11.3199157459477,"High"
"TCGA-F2-A7TX-01A-33R-A38C-07","TCGA-F2-A7TX",11.3865720257039,1,"Basal-like",11.3199157459477,"High"
"TCGA-Q3-A5QY-01A-12R-A32O-07","TCGA-Q3-A5QY",11.0178331169904,1,"Basal-like",11.3199157459477,"Low"
"TCGA-HZ-8005-01A-11R-2204-07","TCGA-HZ-8005",11.2487799793957,1,"Basal-like",11.3199157459477,"Low"
"TCGA-LB-A7SX-01A-11R-A33R-07","TCGA-LB-A7SX",11.1640103813417,1,"Basal-like",11.3199157459477,"Low"
"TCGA-HZ-7925-01A-11R-2156-07","TCGA-HZ-7925",11.5141219767743,1,"Basal-like",11.3199157459477,"High"
"TCGA-FB-AAPZ-01A-11R-A41B-07","TCGA-FB-AAPZ",11.3838324348165,1,"Basal-like",11.3199157459477,"High"
"TCGA-IB-7646-01A-11R-2156-07","TCGA-IB-7646",12.2562010821627,1,"Basal-like",11.3199157459477,"High"
"TCGA-IB-7887-01A-11R-2156-07","TCGA-IB-7887",10.9326379669058,1,"Basal-like",11.3199157459477,"Low"
"TCGA-HZ-A8P1-01A-11R-A37L-07","TCGA-HZ-A8P1",11.3806147679704,2,"Classical-like",11.2043363275436,"High"
"TCGA-3A-A9I7-01A-21R-A38C-07","TCGA-3A-A9I7",11.4534828357335,2,"Classical-like",11.2043363275436,"High"
"TCGA-FB-AAPY-01A-11R-A41B-07","TCGA-FB-AAPY",11.0233225672651,2,"Classical-like",11.2043363275436,"Low"
"TCGA-HZ-8519-01A-11R-2404-07","TCGA-HZ-8519",11.3779733289716,2,"Classical-like",11.2043363275436,"High"
"TCGA-PZ-A5RE-01A-11R-A32O-07","TCGA-PZ-A5RE",11.2595248326939,2,"Classical-like",11.2043363275436,"High"
"TCGA-HZ-A77P-01A-11R-A33R-07","TCGA-HZ-A77P",10.983019458883,2,"Classical-like",11.2043363275436,"Low"
"TCGA-US-A77E-01A-11R-A32O-07","TCGA-US-A77E",11.0344696446201,2,"Classical-like",11.2043363275436,"Low"
