"PIP5K1A","sample","subtype","expr_group"
11.2250569737818,"TCGA-FB-AAPS-01A-12R-A39D-07","Basal-like","Low"
11.1123602501006,"TCGA-IB-AAUN-01A-12R-A38C-07","Basal-like","Low"
11.1712710410881,"TCGA-HZ-8002-01A-11R-2204-07","Basal-like","Low"
12.2420242344835,"TCGA-2J-AAB6-01A-11R-A41B-07","Basal-like","High"
11.636432467029,"TCGA-RB-AA9M-01A-11R-A39D-07","Basal-like","High"
10.9860346067022,"TCGA-2J-AAB9-01A-11R-A41B-07","Basal-like","Low"
11.0313033404446,"TCGA-FB-A4P5-01A-11R-A26U-07","Basal-like","Low"
11.2583876080818,"TCGA-XD-AAUI-01A-42R-A41B-07","Basal-like","Low"
11.3577729766073,"TCGA-IB-A5SS-01A-11R-A32O-07","Basal-like","High"
11.2823617780062,"TCGA-IB-7885-01A-11R-2156-07","Basal-like","Low"
11.6456616663483,"TCGA-FB-A545-01A-11R-A26U-07","Basal-like","High"
11.8291643578309,"TCGA-S4-A8RO-01A-12R-A37L-07","Basal-like","High"
11.9326792361601,"TCGA-IB-A7LX-01A-12R-A36G-07","Basal-like","High"
10.8422049335568,"TCGA-IB-A7M4-01A-11R-A36G-07","Basal-like","Low"
11.9672819868902,"TCGA-3A-A9IU-01A-11R-A39D-07","Basal-like","High"
11.7097010544632,"TCGA-HV-A5A3-01A-11R-A26U-07","Basal-like","High"
10.9352731478067,"TCGA-IB-AAUQ-01A-22R-A41I-07","Basal-like","Low"
11.3107450525204,"TCGA-3A-A9IZ-01A-12R-A41B-07","Basal-like","Low"
11.4686312495716,"TCGA-IB-7897-01A-21R-2204-07","Basal-like","High"
11.0049366835309,"TCGA-3A-A9IB-01A-21R-A39D-07","Basal-like","Low"
11.5368413960034,"TCGA-IB-8127-01A-11R-2404-07","Basal-like","High"
11.6913577201501,"TCGA-2J-AABU-01A-11R-A41B-07","Basal-like","High"
11.0740313718929,"TCGA-HV-AA8V-01A-11R-A41B-07","Basal-like","Low"
11.0618735587876,"TCGA-3A-A9IH-01A-12R-A39D-07","Basal-like","Low"
11.3201444550417,"TCGA-HZ-A4BH-01A-11R-A26U-07","Basal-like","High"
11.5960829800583,"TCGA-IB-A5SQ-01A-11R-A32O-07","Basal-like","High"
11.8636446222384,"TCGA-IB-A6UF-01A-23R-A33R-07","Basal-like","High"
10.9705086791562,"TCGA-F2-A8YN-01A-11R-A37L-07","Basal-like","Low"
11.5512326055109,"TCGA-H6-8124-01A-11R-2404-07","Basal-like","High"
11.2664587726995,"TCGA-3A-A9IX-01A-11R-A41B-07","Basal-like","Low"
11.4133414506837,"TCGA-XD-AAUH-01A-42R-A41B-07","Basal-like","High"
11.4093669024196,"TCGA-XN-A8T3-01A-11R-A36G-07","Basal-like","High"
11.1120687965581,"TCGA-FB-AAQ2-01A-31R-A41B-07","Basal-like","Low"
10.9978993502963,"TCGA-FB-AAQ1-01A-12R-A41B-07","Basal-like","Low"
11.4197238753728,"TCGA-2J-AABO-01A-21R-A41B-07","Basal-like","High"
11.2558234805078,"TCGA-M8-A5N4-01A-11R-A26U-07","Basal-like","Low"
11.6928729655468,"TCGA-2J-AABI-01A-12R-A41B-07","Basal-like","High"
