"gene","n","cutoff_median","n_low","n_high","logrank_p","HR_high_vs_low","CI95_lower","CI95_upper","p_value","p_value_fmt"
"KLK3",70,3.3594744410558,35,35,0.0165591749119424,2.86895783283908,1.16774107194944,7.04858229647424,0.0165591749119424,0.0166
"AURKA",70,8.92899323776887,35,35,0.0469305468734827,2.33049836211929,0.986352095970565,5.50637306700949,0.0469305468734827,0.0469
"CDH1",70,14.2876188274744,35,35,0.0558543090042434,2.22376035824745,0.95904264421049,5.15629848241395,0.0558543090042434,0.0559
"BRCA1",70,8.93308271873274,35,35,0.0841720233052691,2.09630077957332,0.885737039869626,4.96137878470856,0.0841720233052691,0.0842
"FOLH1",70,7.09743745214786,35,35,0.122097622653877,1.96298587814878,0.821451820184568,4.69085765364273,0.122097622653877,0.122
"PTEN",70,12.332002313097,35,35,0.194094673873486,1.73421296769449,0.749331480833455,4.01357035470417,0.194094673873486,0.194
"RB1",70,11.3378775739541,35,35,0.241305396630877,1.64960069663227,0.70956434502286,3.83500450299824,0.241305396630877,0.241
"AR",70,9.00254514170525,35,35,0.249153615832174,1.63367919543442,0.704622594321374,3.78771236560429,0.249153615832174,0.249
"MKI67",70,11.3830412335333,35,35,0.324000683949122,1.51067166205943,0.66134285373082,3.45075002727447,0.324000683949122,0.324
"BRCA2",70,8.07153643377033,35,35,0.3511350374088,1.4799807145418,0.645510886035145,3.3931928381087,0.3511350374088,0.351
"CHGA",70,11.2271734606785,35,35,0.363243364133402,0.684801719461383,0.301229223231445,1.5567991377017,0.363243364133402,0.363
"MYC",70,11.5493351472791,35,35,0.428762279509671,1.39840188028251,0.606795457001442,3.22271334798906,0.428762279509671,0.429
"NKX3-1",70,7.12146751597725,35,35,0.481269364796425,1.34325035595561,0.588988460335613,3.06342422693094,0.481269364796425,0.481
"TFRC",70,12.1258231801433,35,35,0.500960685881129,1.33678357664526,0.572094834379027,3.12359109609538,0.500960685881129,0.501
"NCAM1",70,8.35910418847874,35,35,0.506386539720375,0.75580576405268,0.329801497018737,1.7320793208613,0.506386539720375,0.506
"INSM1",70,6.70494796099848,35,35,0.516750182393873,0.762561729088676,0.335060468127157,1.73550879911631,0.516750182393873,0.517
"SYP",70,8.07360592953532,35,35,0.553547934854674,0.780307214398611,0.342581433278887,1.77732734379346,0.553547934854674,0.554
"SCG2",70,10.14297817679,35,35,0.554940119248631,0.780655142033421,0.342403437111056,1.77983742197529,0.554940119248631,0.555
"TTF1",70,9.54256203023195,35,35,0.618113700087236,1.23042163715995,0.539941147931735,2.80389337058411,0.618113700087236,0.618
"CHGB",70,11.5517226583083,35,35,0.657682038505125,0.830532983854148,0.364843435661303,1.89063299444978,0.657682038505125,0.658
"AMACR",70,5.93094922991405,35,35,0.68670204770639,0.839947010119831,0.359140206680274,1.96444443336117,0.68670204770639,0.687
"TMPRSS2",70,11.7549377142125,35,35,0.782457281042106,1.12291536366705,0.49279726829057,2.55873762923542,0.782457281042106,0.782
"ERG",70,9.56148266234735,35,35,0.920783220599233,0.959224619577507,0.422984432351808,2.17528542525256,0.920783220599233,0.921
"ACP3",70,7.40277915667494,35,35,0.927993303793585,1.04058065159063,0.454476456105333,2.382539464737,0.927993303793585,0.928
"TP53",70,11.0763588670347,35,35,0.943675702765872,0.970942962052044,0.428175611045058,2.2017373508441,0.943675702765872,0.944
"VIM",70,14.4211423220639,35,35,0.999890585597707,0.998216134873289,0.438036127120268,2.27477915685202,0.999890585597707,1
