"gene","n","mean_expr","median_expr","sd_expr","min_expr","max_expr"
"FOLH1",178,7.06213061041746,6.85297316978761,1.34893962899159,4.46805532864338,13.8519389666402
"KLK3",178,4.16979253628255,3.3594744410558,2.29053215094566,2.42960262765864,11.3541729757866
"AR",178,8.78555628999683,8.96496349611424,1.03936883885273,5.06970415883989,10.9405969757055
"NKX3-1",178,7.24638980170146,7.26976204235902,0.955814962349732,3.673309826121,9.99966231447701
"TMPRSS2",178,11.5927369676024,11.8784049340034,1.49979321763185,2.42960262765864,14.7077659152449
"AMACR",178,5.95410769488042,5.91679501534458,0.712192473712514,4.14622586742493,8.82027723850188
"ERG",178,9.53911286628484,9.60736909867691,0.929455710782718,6.79037638162687,11.4603452036066
"MKI67",178,11.0907456158318,11.2608236379503,1.282248062804,5.78018872967153,13.9157036434449
"CDH1",178,14.0294757155107,14.1258291584007,0.892912301112315,6.98543702415223,15.8054941022948
"VIM",178,14.4392243635536,14.5157803931404,0.85760706893224,11.0589893238571,16.6821359427287
"AURKA",178,8.87511722206022,8.88179034519581,0.944369990872712,5.55644494194142,11.6637792325026
"BRCA1",178,8.8571374438228,8.80386280195708,0.620681817496563,5.51385065185955,10.2135565161531
"BRCA2",178,7.95402827697217,7.99175973990664,0.767627076428796,4.56960105184297,9.51181022070399
"MYC",178,11.3637286028585,11.4184259122832,0.844107397908288,7.69989156138446,13.9677922550587
"TP53",178,10.9845988004833,11.0663315154734,0.669397789313129,8.4067328134916,13.0438113396734
"PTEN",178,12.3907721681593,12.3542527449156,0.388757341456562,11.2867029181979,13.8713758253814
"RB1",178,11.2127638345012,11.2288616309068,0.505876522263076,9.41587199364564,12.5309299178649
"TTF1",178,9.48825992079431,9.50533581196195,0.300256610710442,8.40409088943884,10.3379112169318
"INSM1",178,7.13406057335595,7.0633446639897,2.24163724967241,2.42960262765864,13.7824465358412
"NKX2-1",178,3.21478020498771,2.42960262765864,1.25457185242905,2.42960262765864,9.94172126374783
"ACP3",178,7.57828317018966,7.65604958831267,1.1200689012284,3.08486844790597,10.7173143974085
"CHGA",178,11.3351046401707,11.6386075721908,2.93452045821991,3.5964460908502,19.188388063319
"CHGB",178,11.7536972723339,12.0219938479345,2.93698745382622,4.25810462894564,19.9361201991013
"TFRC",178,12.0243868257379,12.0283119688938,0.768426795189224,8.77507918282483,13.7916412267263
"NCAM1",178,8.72552615811016,8.60889081390137,1.68504113608824,4.41416044228837,14.4280264287417
"SCG2",178,10.6757218684927,10.5259612811598,1.98100712590191,6.43956204542402,17.7321457561151
"SYP",178,8.47767680671696,8.3829867604451,1.79353562874867,5.56908595543629,15.3959057710921
"FOLH1",178,7.06213061041746,6.85297316978761,1.34893962899159,4.46805532864338,13.8519389666402
