"gene","method","cor","p.value","p.adj"
"FOLH1","spearman",1,0,0
"VIM","spearman",0.300783357040798,4.51223539567682e-05,0.00060915177841637
"AR","spearman",0.201763111894622,0.00691889162262436,0.0622700246036193
"ERG","spearman",0.166971122286896,0.0259045369055175,0.117603348214403
"AURKA","spearman",0.166717911672052,0.0261340773809785,0.117603348214403
"TTF1","spearman",0.14300973796957,0.0568651700666956,0.141371039422738
"PTEN","spearman",0.142594813012472,0.0575956086537083,0.141371039422738
"BRCA2","spearman",0.119776068192385,0.111274197310009,0.25036694394752
"AMACR","spearman",0.113009599661251,0.133115369762526,0.256722498827729
"TFRC","spearman",0.0955253003152366,0.204658661412552,0.346013912479944
"RB1","spearman",0.0877779066291177,0.243977310368429,0.365965965552643
"MKI67","spearman",0.0778324745805268,0.301760108870482,0.428816996815948
"NCAM1","spearman",0.0473705992686682,0.530067729272067,0.681515651921229
"TP53","spearman",0.0426319434765817,0.572052792697979,0.690756570328243
"NKX3-1","spearman",0.0205983643445409,0.784922966961773,0.847716804318715
"BRCA1","spearman",0.0134531438012871,0.858541679884127,0.891562513725824
"NKX2-1","spearman",-0.00408875528506643,0.956802351437899,0.956802351437899
"KLK3","spearman",-0.0215175646856163,0.775574749261138,0.847716804318715
"ACP3","spearman",-0.0408296796885722,0.588422263612947,0.690756570328243
"SCG2","spearman",-0.0725044125673322,0.33615965528354,0.453815534632779
"TMPRSS2","spearman",-0.0928144572621975,0.217860611561446,0.346013912479944
"MYC","spearman",-0.0932868333672011,0.215517479771219,0.346013912479944
"CDH1","spearman",-0.113086201191792,0.132850923892518,0.256722498827729
"INSM1","spearman",-0.145842642598699,0.0520797652529306,0.141371039422738
"CHGA","spearman",-0.154289313341752,0.039753298584796,0.134167382723686
"CHGB","spearman",-0.158485374959172,0.0346063746539782,0.133481730808201
"SYP","spearman",-0.166903032037526,0.0259660915422732,0.117603348214403
