"gene","rho","p.value"
"RIT1",0.498186081647725,0
"KRAS",0.433947992049613,1.37004183576237e-09
"NF1",0.373651255908298,2.52909481033402e-07
"VEGFA",0.353152236767851,1.19243193489233e-06
"MAP2K1",0.301590176873213,3.81805840430649e-05
"PIK3CA",0.293735338115376,6.14744569487e-05
"MET",0.285450533525889,0.000100158753553124
"FLT1",0.262419493376834,0.000360920125512243
"CCND1",0.255964034154415,0.000507027515429512
"EGFR",0.220145491678867,0.00288009392689279
"NRAS",0.198886070002817,0.00719430516317431
"STK11",-0.179191246214161,0.015604843803792
"BRAF",0.168055927407435,0.0234477854640593
"AKT3",0.153976537003437,0.0380434432782383
"RET",-0.152939443492835,0.0393710608343261
"HRAS",-0.144095285205692,0.0523602886840215
"TSC1",0.122296415657524,0.10000906782267
"ROS1",0.102080183645084,0.170302232819472
"TP53",-0.0892686699225962,0.230527571702685
"AKT1",0.0857473293846811,0.249498300128758
"MMP9",0.0855303558863019,0.250701671417443
"TSC2",-0.0786648366577721,0.290868968160344
"PIK3R1",0.0780397937358358,0.294728316969642
"ALK",-0.0748954187318939,0.314971510951839
"CCNA1",0.0576024826545613,0.439527004673639
"KDR",-0.0288962916442311,0.698324913153351
"ERBB2",0.0212862945405288,0.775271451381505
"EGF",-0.00911591817083803,0.902791573929345
"PTEN",0.00609416848887911,0.934871346104482
"AKT2",0.00190797337794892,0.979596375253839
