"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa03010","Ribosome",170,-0.670411398025479,-4.64772070258413,1e-10,7.73884370139665e-10,1.49531518302741e-10,5675,"tags=72%, list=21%, signal=57%","9349/116832/6228/6192/6235/84545/6208/6139/6223/6181/6133/6227/6136/10240/29088/6222/28998/6188/6217/6234/4736/6176/51023/64975/51187/6206/6128/51318/54148/6161/54948/55173/6134/51253/6207/6169/2197/9801/6203/23521/28973/10573/56945/51373/6173/6210/6125/6164/6146/6147/65008/25873/6194/219927/6124/6154/84311/65993/6166/6138/92259/10884/64969/11224/6224/28977/6189/6204/6202/6191/6167/60488/54534/6160/6193/11222/6175/6156/51263/6122/10399/6229/6141/6230/6155/3921/6130/57129/6205/6171/388524/6168/6159/64983/28957/6135/6129/116540/65005/6143/51258/51081/55168/51650/6170/64960/6201/63931/64979/9045/64965/6209/6233/6152/6165/51649/51642/54460/9553/7818/55052/29074/79590",NA
"hsa03040","Spliceosome",157,-0.645694621461301,-4.26159699887304,1e-10,7.73884370139665e-10,1.49531518302741e-10,7617,"tags=83%, list=29%, signal=59%","10523/26863/26864/26869/26870/26871/6060/6632/144983/26834/6427/440563/6429/84844/6626/84321/51690/23450/6627/6629/9343/5356/22985/84991/1655/649330/10285/56259/4670/58517/6100/220988/26831/56949/6430/57461/25804/6428/10084/9775/6636/6625/6634/4116/26829/10189/11157/8896/8449/3192/57819/51634/26121/11325/6628/11338/51729/3303/55110/26830/23451/343069/6637/153527/51362/3304/22916/9416/6426/10915/26832/7919/1665/55660/9716/9984/23350/4686/10946/10594/3312/8559/5093/9128/6631/10929/22794/9129/23658/3183/51340/6434/7536/10772/27316/83443/24148/3190/7307/10713/25949/10286/8563/51503/84950/10992/51691/22938/10291/57187/10907/6431/80145/9879/51639/9410/55119/988/6432/9939/11017/29896/55696/27258/4809/23020/8683/27339/10465/10450",NA
"hsa04141","Protein processing in endoplasmic reticulum",171,-0.595152614869263,-4.12435364637525,1e-10,7.73884370139665e-10,1.49531518302741e-10,6966,"tags=75%, list=26%, signal=55%","55741/133022/267/56893/7993/55973/7841/29978/201595/64215/3300/9695/6238/55666/7323/5599/8454/7322/2081/10427/1965/9373/5886/4217/4287/3301/7326/80700/79748/55176/7327/200185/9532/823/55757/51619/80331/51128/8720/51009/10802/84447/55968/79139/54788/84061/56605/10113/3303/51360/7353/3304/51726/824/10961/6745/10905/10273/7184/9709/10294/3337/5602/9871/58505/3309/3703/6400/22926/746/10483/3312/6500/29979/64374/5611/56681/1603/10525/9632/3320/22872/7415/29927/10130/55768/100128731/6747/3998/9601/11231/9978/56886/10299/5601/91445/2923/54431/51465/23190/10277/5887/3326/5034/6048/6748/1388/468/55829/23193/81567/811/10952/80267/821/1650/9451/6184/10960/6185/27248/5589/7991/10134/6746/10956/23480/258010",NA
"hsa00190","Oxidative phosphorylation",120,-0.598477778506656,-3.82534901460223,1e-10,7.73884370139665e-10,1.49531518302741e-10,3901,"tags=61%, list=15%, signal=52%","1327/4724/10975/51079/4704/498/528/4714/7385/126328/533/527/506/10476/509/51606/55967/4716/4720/6392/514/4709/7384/1349/27068/539/1350/522/1337/10632/1329/529/9296/535/4698/51382/8992/4700/6391/1340/521/4708/10063/54539/4725/4729/6389/515/4711/4694/29796/1537/4719/4722/9377/6390/1345/4710/4717/4706/4715/4705/1347/4695/4726/537/9550/4697/9551/4702/440567/7388/9167",NA
"hsa03013","Nucleocytoplasmic transport",107,-0.604432286897772,-3.71578241442334,1e-10,7.73884370139665e-10,1.49531518302741e-10,6977,"tags=80%, list=26%, signal=59%","84321/23636/5905/3841/22985/11269/10526/23225/4928/23279/55706/10762/3843/5411/65109/9775/2733/25909/7329/3840/4116/6613/79023/9670/10189/23511/11097/53371/1434/30000/3836/64901/1915/81929/4927/10527/23039/55110/5903/23534/9972/64328/7514/9818/22916/387082/51194/8021/5901/9688/7919/10482/26019/5976/23165/55746/3842/9631/9984/8480/4686/100101267/9883/57510/3837/23633/22794/6612/65110/7175/51808/8563/51068/11260/57187/80145/55161/10073/9939/10250/8086/55705/10284/59343/10921/7341",NA
"hsa05016","Huntington disease",290,-0.493807007096156,-3.71343582593261,1e-10,7.73884370139665e-10,1.49531518302741e-10,6319,"tags=59%, list=24%, signal=46%","25942/10126/5599/3831/2081/7157/9706/1387/7381/5438/5687/203068/4217/56171/7386/4701/4723/22863/4712/9519/293/5434/5688/2876/3708/5439/8678/55860/517/127602/5693/1767/5436/5433/842/29982/23186/291/7019/5704/7802/55062/5289/5713/10671/1327/5978/5431/161/4724/292/10975/5682/51079/1213/4704/498/2776/5700/23236/5430/10121/7416/5602/4714/7385/9821/5691/126328/9861/10488/5717/10213/163/5706/7417/2033/55102/1639/5702/5694/506/11258/7419/5707/5685/10476/509/5686/55967/1173/4716/4720/5708/6908/5690/3064/6392/514/4709/5437/7384/6647/1349/1385/539/1350/5683/64764/522/5435/5332/1337/1329/84516/2475/5601/30849/4698/5709/4700/6391/1340/4708/54539/4725/5432/5689/4729/55081/5701/6389/515/10383/10540/4711/5692/4694/51164/29796/1537/5714/4719/4722/5695/5710/9377/6390/1345/4710/5705/4717/26100/10120/4706/5440/4715/1211/5719/3799/4705/1347/4695/4726/3065/4697/148327/4702/3800/440567/7388/9167",NA
"hsa05012","Parkinson disease",252,-0.505292112938105,-3.59407338433283,1e-10,7.73884370139665e-10,1.49531518302741e-10,6204,"tags=57%, list=23%, signal=44%","5599/3831/2081/1965/7157/7381/5687/203068/4217/7386/4701/4723/7326/817/7327/4128/57181/4712/293/5688/3708/517/5693/842/25828/10131/291/805/5704/5713/1327/4724/292/10975/5682/51079/4704/498/5700/9817/7416/5602/4714/7385/5691/3309/126328/9861/5717/7295/10213/5706/2770/808/7417/22926/25800/5702/5694/506/7419/5707/5685/10476/509/5686/55967/7316/4716/4720/5708/5690/6392/514/4709/55334/7384/6647/1349/7332/539/1350/5683/522/55669/1337/1329/5601/4698/5709/4700/6391/1340/4708/51465/5567/54539/4725/5689/4729/5701/598/6389/515/10383/468/4711/5692/2778/4694/29796/1537/5714/4719/4722/5695/5710/9377/6390/1345/4710/5705/4717/9451/4706/4715/6233/7922/7317/7314/5719/3799/4705/1347/4695/4726/11315/4697/4702/3800/440567/7388/9167",NA
"hsa05014","Amyotrophic lateral sclerosis",348,-0.456962835122425,-3.5112953749844,1e-10,7.73884370139665e-10,1.49531518302741e-10,6590,"tags=57%, list=25%, signal=44%","4707/81631/29978/29110/10013/23225/4928/3710/10126/23279/55706/3831/2081/1965/7157/220988/9706/7381/5687/203068/23064/4217/10762/56171/7386/4701/4723/22863/8878/6428/643246/2733/4712/5603/6311/5688/2876/79023/8678/55860/1432/10189/517/23511/127602/5693/1767/53371/23435/842/29982/81929/4927/9896/79139/5704/7802/55062/5289/5903/9972/5532/5713/10671/1327/9818/4724/10975/5682/51079/8021/4704/498/5700/9688/5861/10121/7416/10482/4714/7385/9821/5691/23165/3309/126328/9861/5717/10213/55746/9782/4218/5706/9631/8480/847/55102/4686/1639/22926/100101267/9883/5702/5694/506/11258/5707/29979/5685/10476/509/5686/3181/55967/4716/25978/4720/5708/5690/310/7175/7415/311/6392/514/4709/5868/7384/57679/6647/1349/80208/539/1350/5683/522/5530/1337/1329/84516/2475/9217/30849/4698/6432/5709/4700/6391/1340/4708/54539/55255/4725/5689/5534/4729/5701/598/6389/515/10383/468/10540/4711/5692/203228/4694/51164/29796/1537/5714/4719/4722/5695/5710/9377/6390/1345/4710/5705/4717/26100/10120/9451/4706/4715/5879/5719/3799/4705/1347/4695/4726/4697/5217/4702/3800/440567/7388/9167",NA
"hsa04120","Ubiquitin mediated proteolysis",142,-0.528225379324813,-3.43753484547779,1e-10,7.73884370139665e-10,1.49531518302741e-10,6512,"tags=61%, list=25%, signal=46%","9063/55284/7323/8453/8454/7322/51434/7326/26091/7327/8450/7329/7337/51619/246184/51366/8065/7320/55958/83737/23327/9820/84447/55236/8925/9039/7319/10273/8452/92912/29945/9817/8924/25898/64326/6921/9320/10055/54926/65264/6923/10054/23759/6500/10401/10075/25906/64682/7316/55070/8697/55120/11060/8881/9690/26272/8945/10393/7332/64750/57448/1642/9978/9354/23291/7324/7334/51465/10277/89910/3093/7328/11059/140739/7325/4591/8916/9040/8451/6233/25847/7317/7314/389898/27339/55585/51433",NA
"hsa04714","Thermogenesis",218,-0.470981117044746,-3.40423558953951,1e-10,7.73884370139665e-10,1.49531518302741e-10,5893,"tags=56%, list=22%, signal=44%","7381/788/4217/84987/7386/4701/4723/79133/6009/6198/1376/4712/5603/51287/1432/517/29078/6655/7249/55471/1386/6654/137682/1327/6598/8289/4724/10975/51079/4704/498/112/388753/6605/4714/7385/4893/126328/1374/10488/6597/57492/6194/6601/506/55818/10476/51780/25915/509/55967/4716/7248/4720/6392/514/4709/7384/1349/116228/86/1385/539/1350/64764/522/1337/10632/1329/27330/2475/23028/6196/2181/4698/5565/6603/4700/6391/1340/521/4708/5567/10063/54539/4725/55744/4729/6389/515/4711/2778/4694/29796/1537/4719/4722/6595/5571/2180/9377/6390/1345/493753/4710/51241/4717/4706/4715/51422/28958/4705/1347/4695/4726/6599/4697/9551/148327/4702/440567/7388/9167",NA
