"gene","rho","p","p.adj"
"FOLH1",1,8.37715316281739e-06,0.00022618313539607
"ACP3",0.664912280701754,0.00246427358718213,0.0332676934269587
"AMACR",0.621052631578947,0.00546969844988235,0.0427420559952084
"KLK3",0.612280701754386,0.00633215644373458,0.0427420559952084
"PTEN",0.501754385964912,0.0302984919618903,0.136343213828506
"TMPRSS2",0.443859649122807,0.0584887755122227,0.197399617353751
"ERG",0.403508771929825,0.0878198135486806,0.263459440646042
"MYC",0.307017543859649,0.200587854890456,0.416605544772485
"RB1",0.307017543859649,0.200587854890456,0.416605544772485
"AR",0.228070175438597,0.346124959172169,0.549727876332268
"NKX3_1",0.147368421052632,0.545792758863444,0.669836567696044
"SCG2",0.0192982456140351,0.939680426743399,0.975821981618145
"CHGB",-0.00526315789473684,0.985626091577674,0.985626091577674
"SYP",-0.0596491228070175,0.809118570344184,0.873848055971718
"CDH1",-0.0631578947368421,0.797947332644059,0.873848055971718
"VIM",-0.108771929824561,0.656953555867899,0.771206348192751
"TTF1",-0.178947368421053,0.461923136429933,0.593901175409913
"NKX2_1",-0.178947368421053,0.461923136429933,0.593901175409913
"CHGA",-0.2,0.410009824397425,0.582645539933183
"TFRC",-0.215789473684211,0.373307535746865,0.559961303620298
"TP53",-0.228070175438597,0.346124959172169,0.549727876332268
"MKI67",-0.264912280701754,0.271900690376329,0.489421242677392
"AURKA",-0.289473684210526,0.228564674820227,0.440803301439009
"INSM1",-0.328070175438597,0.170212011469086,0.416605544772485
"NCAM1",-0.37719298245614,0.11215336728405,0.302814091666936
"BRCA1",-0.468421052631579,0.0447556260178421,0.172628843211677
"BRCA2",-0.510526315789474,0.0271915642681241,0.136343213828506
