"gene","n","cutoff","n_low","n_high","logrank_p","HR_high_vs_low","CI95_lower","CI95_upper"
"BRCA1",9,7.335234441,4,5,0.00265606167130272,1.70650226121469e-10,0,Inf
"KLK3",9,12.9504497,4,5,0.0527127213744392,4.65933506185098,0.86276501477491,25.1625910263152
"AR",9,10.13893685,4,5,0.0837474879369509,0.241575296390834,0.0427333817139529,1.36564487727552
"TFRC",9,7.951676196,4,5,0.0837474879369509,0.241575296390834,0.0427333817139529,1.36564487727552
"TP53",9,9.644794662,4,5,0.107427761240384,0.260171269994957,0.0454344013580145,1.48982021788758
"ACP3",9,9.616662918,4,5,0.132189443682684,3.33606733711533,0.63562003701813,17.5094311532069
"BRCA2",9,5.411074914,4,5,0.14347330266391,0.337931680976667,0.0739266605408371,1.54474475341183
"AURKA",9,7.344410484,4,5,0.184431335908579,0.369674280180968,0.0804561541634431,1.69855339033108
"NCAM1",9,7.082496193,4,5,0.206000459103087,0.389999641398841,0.0860755084195506,1.76704992028462
"NKX3_1",9,10.36953385,4,5,0.213255844571688,2.46003648261716,0.57119072818363,10.5950240387337
"MKI67",9,7.354120354,4,5,0.22264563168781,0.395947919229409,0.085272874029881,1.83850675288794
"RB1",9,6.971794016,4,5,0.265147701670218,2.2493524889737,0.521999499188599,9.6927039729288
"VIM",9,8.957712983,4,5,0.312286735667872,2.09937487534697,0.484048622315932,9.10523171443189
"ERG",9,7.175626925,4,5,0.422555261343092,0.566711364081516,0.139029555877854,2.3100251464609
"TTF1",9,7.878144114,4,5,0.422555261343092,0.566711364081516,0.139029555877854,2.3100251464609
"NKX2_1",9,7.878144114,4,5,0.422555261343092,0.566711364081516,0.139029555877854,2.3100251464609
"CHGA",9,7.082076581,4,5,0.422555261343092,0.566711364081516,0.139029555877854,2.3100251464609
"CHGB",9,6.727227269,4,5,0.422555261343092,0.566711364081516,0.139029555877854,2.3100251464609
"SCG2",9,6.235462975,4,5,0.422555261343092,0.566711364081516,0.139029555877854,2.3100251464609
"SYP",9,7.405883377,4,5,0.422555261343092,0.566711364081516,0.139029555877854,2.3100251464609
"MYC",9,8.195605152,4,5,0.620038049223183,0.703467438274649,0.173942239837317,2.84500439442156
"CDH1",9,11.01572861,4,5,0.729545330015738,1.28858582434838,0.304976822852511,5.44452332862885
"PTEN",9,8.593402749,4,5,0.818968543940353,0.848990211517525,0.208652251805699,3.45447687726744
"AMACR",9,11.2406521,4,5,0.857614528013503,0.879826370298217,0.217057811240983,3.56630538862625
"INSM1",9,9.076692315,4,5,0.889496162544575,1.10832142343235,0.259619489723714,4.73144901003521
"TMPRSS2",9,8.875185577,4,5,0.933463327198868,1.06196254334348,0.258874091776997,4.35642066659974
"FOLH1",9,10.77067393,4,5,0.971014026049952,0.974342474541026,0.239778351140968,3.95925342374467
