"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1251985","Nuclear signaling by ERBB4","2/51","32/11048",0.0625,13.5392156862745,4.83730588603528,0.00948588102919916,1,1,"SPARC/S100B",2
"R-HSA-1236394","Signaling by ERBB4","2/51","58/11048",0.0344827586206897,7.46991210277214,3.36421454148358,0.0292999891574129,1,1,"SPARC/S100B",2
"R-HSA-186797","Signaling by PDGF","2/51","58/11048",0.0344827586206897,7.46991210277214,3.36421454148358,0.0292999891574129,1,1,"PDGFRA/COL9A3",2
"R-HSA-163841","Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation","2/51","60/11048",0.0333333333333333,7.22091503267974,3.29033958225227,0.0311918249641592,1,1,"STS/DRG1",2
"R-HSA-419812","Calcitonin-like ligand receptors","1/51","10/11048",0.1,21.6627450980392,4.45156763063708,0.0452330296021447,1,1,"IAPP",1
"R-HSA-9757110","Prednisone ADME","1/51","10/11048",0.1,21.6627450980392,4.45156763063708,0.0452330296021447,1,1,"ABCB1",1
"R-HSA-9832991","Formation of the posterior neural plate","1/51","10/11048",0.1,21.6627450980392,4.45156763063708,0.0452330296021447,1,1,"ZEB2",1
"R-HSA-3000178","ECM proteoglycans","2/51","76/11048",0.0263157894736842,5.70072239422085,2.80026191271121,0.0479463555659317,1,1,"SPARC/COL9A3",2
"R-HSA-9764790","Positive Regulation of CDH1 Gene Transcription","1/51","11/11048",0.0909090909090909,19.6934046345811,4.22405321244266,0.0496444370573262,1,1,"ZEB2",1
"R-HSA-9754560","SARS-CoV-2 modulates autophagy","1/51","11/11048",0.0909090909090909,19.6934046345811,4.22405321244266,0.0496444370573262,1,1,"VPS45",1
"R-HSA-9690406","Transcriptional regulation of testis differentiation","1/51","11/11048",0.0909090909090909,19.6934046345811,4.22405321244266,0.0496444370573262,1,1,"WT1",1
"R-HSA-9823739","Formation of the anterior neural plate","1/51","11/11048",0.0909090909090909,19.6934046345811,4.22405321244266,0.0496444370573262,1,1,"ZEB2",1
"R-HSA-209822","Glycoprotein hormones","1/51","12/11048",0.0833333333333333,18.0522875816993,4.02473766404855,0.0540358598814699,1,1,"INHBA",1
"R-HSA-1475029","Reversible hydration of carbon dioxide","1/51","12/11048",0.0833333333333333,18.0522875816993,4.02473766404855,0.0540358598814699,1,1,"CA7",1
"R-HSA-9831926","Nephron development","1/51","12/11048",0.0833333333333333,18.0522875816993,4.02473766404855,0.0540358598814699,1,1,"WT1",1
"R-HSA-9673767","Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants","1/51","12/11048",0.0833333333333333,18.0522875816993,4.02473766404855,0.0540358598814699,1,1,"PDGFRA",1
"R-HSA-9673770","Signaling by PDGFRA extracellular domain mutants","1/51","12/11048",0.0833333333333333,18.0522875816993,4.02473766404855,0.0540358598814699,1,1,"PDGFRA",1
"R-HSA-1483213","Synthesis of PE","1/51","13/11048",0.0769230769230769,16.6636500754148,3.84812022820942,0.0584073868066279,1,1,"CHKA",1
"R-HSA-1663150","The activation of arylsulfatases","1/51","13/11048",0.0769230769230769,16.6636500754148,3.84812022820942,0.0584073868066279,1,1,"STS",1
"R-HSA-879415","Advanced glycosylation endproduct receptor signaling","1/51","13/11048",0.0769230769230769,16.6636500754148,3.84812022820942,0.0584073868066279,1,1,"S100B",1
