"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","regulated"
"ENSMUSG00000110631",809.553547699726,-5.15558695950406,0.514344899562268,-10.0235988806183,1.20050181052405e-23,2.09739671316657e-19,NA,NA,NA,"Down_in_KO"
"ENSMUSG00000015222",282.721222305506,-7.18916369289579,0.757342815383839,-9.49261489891095,2.25310067241189e-21,1.9681960923854e-17,"Map2","17756","microtubule-associated protein 2","Down_in_KO"
"ENSMUSG00000023224",1403.06729864973,2.15522612022652,0.274046496219829,7.86445420742647,3.70710162199617e-15,2.15889241459651e-11,"Serping1","12258","serine (or cysteine) peptidase inhibitor, clade G, member 1","Up_in_KO"
"ENSMUSG00000049691",148.024769227032,2.64149062854634,0.356063900009299,7.41858590123107,1.18377390457148e-13,5.17042847169208e-10,"Nkx3-2","12020","NK3 homeobox 2","Up_in_KO"
"ENSMUSG00000026475",2633.96043699357,1.9874747962336,0.271389170714421,7.32333862475668,2.41876421073517e-13,8.45164590515083e-10,"Rgs16","19734","regulator of G-protein signaling 16","Up_in_KO"
"ENSMUSG00000054675",2351.36484830395,1.45495826846399,0.199627789811533,7.28835534289891,3.13761531673801e-13,9.13621286645497e-10,"Tmem119","231633","transmembrane protein 119","Up_in_KO"
"ENSMUSG00000024376",226.617594417197,-3.8985285005031,0.562894803415407,-6.92585626452488,4.33346286847419e-12,1.08157042535875e-08,"Epb41l4a","13824","erythrocyte membrane protein band 4.1 like 4a","Down_in_KO"
"ENSMUSG00000027750",25715.0244604995,2.59463203266482,0.396829296092392,6.53840847491444,6.21769162266411e-11,1.35786612924456e-07,"Postn","50706","periostin, osteoblast specific factor","Up_in_KO"
"ENSMUSG00000020950",133.495681939489,-8.82794507773183,1.36065245039245,-6.48802350312572,8.69697157777223e-11,1.63431614681945e-07,"Foxg1","15228","forkhead box G1","Down_in_KO"
"ENSMUSG00000021133",2752.19503483794,1.74453559246772,0.269341830936738,6.47703175700722,9.3544510721736e-11,1.63431614681945e-07,"Susd6","217684","sushi domain containing 6","Up_in_KO"
"ENSMUSG00000013846",1846.33467520506,1.71677685453689,0.265783486209875,6.45930595244448,1.05184265198255e-10,1.67061299752611e-07,"St3gal1","20442","ST3 beta-galactoside alpha-2,3-sialyltransferase 1","Up_in_KO"
"ENSMUSG00000031871",1618.14267729732,2.66875914544494,0.414796820579542,6.43389489272417,1.24374881814249e-10,1.81079463348062e-07,"Cdh5","12562","cadherin 5","Up_in_KO"
"ENSMUSG00000038963",60.6172849533108,3.4900732298155,0.545679923158446,6.39582488139683,1.59682930344624e-10,2.14601575080841e-07,"Slco4a1","108115","solute carrier organic anion transporter family, member 4a1","Up_in_KO"
"ENSMUSG00000036109",161.025561578598,-3.01081830727636,0.472776271139349,-6.36837864138264,1.91036838444195e-10,2.38400328889895e-07,"Mbnl3","171170","muscleblind like splicing factor 3","Down_in_KO"
"ENSMUSG00000059824",152.456921568553,-2.70763352189761,0.44560369415557,-6.07632646993342,1.22966936790125e-09,1.26373844274134e-06,"Dbp","13170","D site albumin promoter binding protein","Down_in_KO"
"ENSMUSG00000012428",600.419114572726,2.65028667562027,0.436113813063303,6.07705281565015,1.22411453921541e-09,1.26373844274134e-06,"Steap4","117167","STEAP family member 4","Up_in_KO"
"ENSMUSG00000037465",874.441106372013,1.27446070002478,0.209311880093836,6.08881206099449,1.13751554941797e-09,1.26373844274134e-06,"Klf10","21847","Kruppel-like transcription factor 10","Up_in_KO"
"ENSMUSG00000051747",359.228010877379,-4.41530980632818,0.733534026422459,-6.01922971162254,1.75249021941967e-09,1.63986647085071e-06,"Ttn","22138","titin","Down_in_KO"
"ENSMUSG00000003949",335.439731351016,-1.81441491196208,0.301578153313923,-6.01640036595552,1.78338177243223e-09,1.63986647085071e-06,"Hlf","217082","hepatic leukemia factor","Down_in_KO"
"ENSMUSG00000075316",74.1738981577284,-5.32291021193404,0.888407270713652,-5.99152031664281,2.07888347887318e-09,1.81600866296967e-06,"Scn9a","20274","sodium channel, voltage-gated, type IX, alpha","Down_in_KO"
