"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030239","myofibril assembly","13/449","79/18952",0.164556962025316,6.94584308308195,8.2494440452647,3.97047685419607e-08,0.000171718547539298,0.000171718547539298,"Ldb3/Acta1/Adprhl1/Ankrd23/Ttn/Neb/Csrp2/Tcap/Lmod2/Myom3/Csrp3/Tnnt3/Klhl41",13
"GO:0007517","muscle organ development","28/449","365/18952",0.0767123287671233,3.23797785032187,6.72536297396831,5.41869824989894e-08,0.000171718547539298,0.000171718547539298,"Acta1/Rbm24/Dsp/Klhl40/Hlf/Tnnc1/Smtnl1/Ttn/Lrp2/Six1/Actn3/Shox2/Tcap/Mylk2/Ankrd2/Wnt10b/Tnni3/Mkx/Tsc22d3/Myh14/Mylpf/Trim72/Tbx1/Jph1/Csrp3/Myf6/Lbx1/Klhl41",28
"GO:0014706","striated muscle tissue development","31/449","469/18952",0.0660980810234542,2.78995730858909,6.11450105760197,2.9940828510536e-07,0.000388596337512968,0.000388596337512968,"Acta1/Aldh1a2/Adprhl1/Ndufv2/Rbm24/Dsp/Klhl40/Hlf/Tnnc1/Ttn/Hand2/Lrp2/Neb/Six1/Actn3/Shox2/Tcap/Mylk2/Ankrd2/Wnt10b/Eya1/Tnni3/Tsc22d3/Myh14/Mylpf/Tbx1/Adra1b/Csrp3/Myf6/Tsc1/Klhl41",31
"GO:0003009","skeletal muscle contraction","10/449","52/18952",0.192307692307692,8.11718348466678,8.00565911959244,3.27355446953098e-07,0.000388596337512968,0.000388596337512968,"Tnnc1/Stac2/Actn3/Tcap/Mylk2/Tnni3/Myh14/Mb/Tnnt3/Car3",10
"GO:0060537","muscle tissue development","32/449","496/18952",0.0645161290322581,2.72318413679144,6.05789717330793,3.29866899476897e-07,0.000388596337512968,0.000388596337512968,"Acta1/Aldh1a2/Adprhl1/Ndufv2/Rbm24/Dsp/Klhl40/Hlf/Tnnc1/Ttn/Hand2/Lrp2/Neb/Six1/Csrp2/Actn3/Shox2/Tcap/Mylk2/Ankrd2/Wnt10b/Eya1/Tnni3/Tsc22d3/Myh14/Mylpf/Tbx1/Adra1b/Csrp3/Myf6/Tsc1/Klhl41",32
"GO:0010927","cellular component assembly involved in morphogenesis","16/449","147/18952",0.108843537414966,4.59421541445086,6.81466109991063,4.29184973586427e-07,0.000388596337512968,0.000388596337512968,"Ldb3/Epb41l3/Acta1/Adprhl1/Ankrd23/Ttn/Neb/Csrp2/Tcap/Actl9/Lmod2/Myom3/Csrp3/Itgb4/Tnnt3/Klhl41",16
"GO:0032989","cellular anatomical entity morphogenesis","16/449","147/18952",0.108843537414966,4.59421541445086,6.81466109991063,4.29184973586427e-07,0.000388596337512968,0.000388596337512968,"Ldb3/Epb41l3/Acta1/Adprhl1/Ankrd23/Ttn/Neb/Csrp2/Tcap/Actl9/Lmod2/Myom3/Csrp3/Itgb4/Tnnt3/Klhl41",16
"GO:0055002","striated muscle cell development","19/449","207/18952",0.0917874396135266,3.87428854243999,6.47725471683287,5.28618816705579e-07,0.000418798257534995,0.000418798257534995,"Ldb3/Acta1/Adprhl1/Ankrd23/Klhl40/Ttn/Neb/Csrp2/Actn3/Shox2/Tcap/Wnt10b/Lmod2/Myom3/Adra1b/Csrp3/Myf6/Tnnt3/Klhl41",19
"GO:0045214","sarcomere organization","10/449","56/18952",0.178571428571429,7.53738466433344,7.631875467269,6.77003286477111e-07,0.000476760758854659,0.000476760758854659,"Ldb3/Ankrd23/Ttn/Neb/Csrp2/Tcap/Lmod2/Myom3/Csrp3/Tnnt3",10
"GO:0031032","actomyosin structure organization","19/449","222/18952",0.0855855855855856,3.61251228957242,6.09935768597016,1.52959232185531e-06,0.000969455613591896,0.000969455613591896,"Ldb3/Epb41l3/Acta1/Adprhl1/Ankrd23/Ttn/Neb/Csrp2/Epb41l4a/Tcap/Pik3r1/Ccdc88a/Lmod2/Myh14/Myom3/Csrp3/Tsc1/Tnnt3/Klhl41",19
"GO:0050881","musculoskeletal movement","10/449","66/18952",0.151515151515152,6.39535668488898,6.83975110089209,3.24719334763336e-06,0.00179578336251043,0.00179578336251043,"Tnnc1/Stac2/Actn3/Tcap/Mylk2/Tnni3/Myh14/Mb/Tnnt3/Car3",10
"GO:0051146","striated muscle cell differentiation","26/449","398/18952",0.0653266331658292,2.75739499278128,5.51963432158588,3.40003161093801e-06,0.00179578336251043,0.00179578336251043,"Ldb3/Acta1/Adprhl1/Rbm24/Ankrd23/Klhl40/Ttn/Hand2/Neb/Csrp2/Actn3/Shox2/Tcap/Mylk2/Ankrd2/Wnt10b/Lmod2/Myom3/Trim72/Tbx1/Adra1b/Csrp3/Myf6/Tsc1/Tnnt3/Klhl41",26
"GO:0055001","muscle cell development","19/449","242/18952",0.0785123966942149,3.31395755489702,5.64344555463321,5.45680905925804e-06,0.0026604042936598,0.0026604042936598,"Ldb3/Acta1/Adprhl1/Ankrd23/Klhl40/Ttn/Neb/Csrp2/Actn3/Shox2/Tcap/Wnt10b/Lmod2/Myom3/Adra1b/Csrp3/Myf6/Tnnt3/Klhl41",19
"GO:0050879","multicellular organismal movement","10/449","71/18952",0.140845070422535,5.94497945355877,6.50278404624518,6.39476720196661e-06,0.00289500246614745,0.00289500246614745,"Tnnc1/Stac2/Actn3/Tcap/Mylk2/Tnni3/Myh14/Mb/Tnnt3/Car3",10
"GO:0010830","regulation of myotube differentiation","8/449","45/18952",0.177777777777778,7.5038851769364,6.80433946280635,9.31302892995031e-06,0.00393506515720167,0.00393506515720167,"Rbm24/Actn3/Shox2/Ankrd2/Trim72/Tbx1/Csrp3/Myf6",8
"GO:0048644","muscle organ morphogenesis","11/449","92/18952",0.119565217391304,5.0467706013363,6.06107722811293,1.11783692655221e-05,0.00442803152530495,0.00442803152530495,"Dsp/Tnnc1/Smtnl1/Ttn/Lrp2/Shox2/Tcap/Mylk2/Tnni3/Tbx1/Myf6",11
"GO:0007519","skeletal muscle tissue development","16/449","200/18952",0.08,3.37674832962138,5.26371734202041,2.37051328115375e-05,0.00883783127997205,0.00883783127997205,"Acta1/Rbm24/Klhl40/Hlf/Six1/Actn3/Shox2/Mylk2/Ankrd2/Wnt10b/Tsc22d3/Myh14/Mylpf/Tbx1/Myf6/Klhl41",16
"GO:0060415","muscle tissue morphogenesis","10/449","83/18952",0.120481927710843,5.08546435183943,5.81064296742619,2.61581796016864e-05,0.00921058568419381,0.00921058568419381,"Dsp/Tnnc1/Ttn/Lrp2/Shox2/Tcap/Mylk2/Tnni3/Tbx1/Myf6",10
"GO:0060538","skeletal muscle organ development","16/449","213/18952",0.0751173708920188,3.17065570856468,4.96278776347586,5.09893142492208e-05,0.0166815827552099,0.0166815827552099,"Acta1/Rbm24/Klhl40/Hlf/Six1/Actn3/Shox2/Mylk2/Ankrd2/Wnt10b/Tsc22d3/Myh14/Mylpf/Tbx1/Myf6/Klhl41",16
"GO:0099505","regulation of presynaptic membrane potential","7/449","42/18952",0.166666666666667,7.03489235337788,6.09911146604369,5.26398950937516e-05,0.0166815827552099,0.0166815827552099,"Kcnc4/Scn2a/Gabra2/Gria4/Rimbp2/Gabra3/Kcnc2",7
"GO:0055003","cardiac myofibril assembly","5/449","19/18952",0.263157894736842,11.1077247684914,6.86655103998914,6.44907601864837e-05,0.0194639256219969,0.0194639256219969,"Adprhl1/Ttn/Neb/Tcap/Csrp3",5
"GO:0003263","cardioblast proliferation","4/449","11/18952",0.363636363636364,15.3488560437335,7.4153274048064,8.9881396301374e-05,0.0247681865112221,0.0247681865112221,"Hand2/Six1/Eya1/Tbx1",4
"GO:0003264","regulation of cardioblast proliferation","4/449","11/18952",0.363636363636364,15.3488560437335,7.4153274048064,8.9881396301374e-05,0.0247681865112221,0.0247681865112221,"Hand2/Six1/Eya1/Tbx1",4
"GO:0006941","striated muscle contraction","16/449","230/18952",0.0695652173913043,2.93630289532294,4.60234588233005,0.000126200474330014,0.0333274419293178,0.0333274419293178,"Ryr3/Dsp/Tnnc1/Stac2/Ttn/Actn3/Tcap/Mylk2/Tnni3/Myh14/Myl1/Adra1b/Csrp3/Mb/Tnnt3/Car3",16
"GO:0035914","skeletal muscle cell differentiation","9/449","84/18952",0.107142857142857,4.52243079860006,5.04007896639047,0.000165879013203381,0.0420536474273211,0.0420536474273211,"Rbm24/Klhl40/Hlf/Six1/Mylk2/Ankrd2/Tbx1/Myf6/Klhl41",9
"GO:0043586","tongue development","5/449","23/18952",0.217391304347826,9.17594654788419,6.11161921693759,0.000172582045491197,0.0420701924739694,0.0420701924739694,"Sox2/Hand2/Six1/Wnt10b/Tbx1",5
"GO:0008089","anterograde axonal transport","7/449","51/18952",0.137254901960784,5.79344076160531,5.33959384193558,0.000188052477122155,0.044143577777786,0.044143577777786,"Kif2a/Ap3m2/Nefl/Neto1/Hspb1/Hap1/Map2",7
"GO:0003007","heart morphogenesis","18/449","290/18952",0.0620689655172414,2.6198909453959,4.33035844147111,0.00020558842732929,0.0465364090147515,0.0465364090147515,"Aldh1a2/Adprhl1/Cert1/Dsp/Tnnc1/Tfap2a/Ttn/Hand2/Lrp2/Six1/Shox2/Tcap/Mylk2/Cluap1/Eya1/Tnni3/Tbx1/Lbx1",18
"GO:0035994","response to muscle stretch","5/449","24/18952",0.208333333333333,8.79361544172235,5.95128011074604,0.000213783003230464,0.0467226439474029,0.0467226439474029,"Ankrd23/Ttn/Tcap/Ankrd2/Csrp3",5
