"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045765","regulation of angiogenesis","42/509","310/18952",0.135483870967742,5.04457823689714,11.9279829488728,4.51177971422354e-18,2.85956598287488e-14,2.85956598287488e-14,"Spred1/Emp2/Cdh5/Sulf1/Stat3/C5ar1/Itga5/Hmox1/Tie1/Hif1a/Pf4/Mmp9/Pgf/Vash1/C3/Gpr4/Agt/Thbs1/Ccl2/Angpt2/Col4a2/Xbp1/Shc1/Ecscr/Tnfrsf1a/Itgb3/Serpine1/Smad1/Sp1/Sema5a/Zc3h12a/Cldn5/Sema4a/Dll1/Tgm2/Sfrp2/Emilin1/Vegfa/Hk2/Plxnd1/Efna1/Cemip2",42
"GO:1901342","regulation of vasculature development","42/509","317/18952",0.132492113564669,4.933183764789,11.7318997770426,1.03735885803707e-17,3.28739022111949e-14,3.28739022111949e-14,"Spred1/Emp2/Cdh5/Sulf1/Stat3/C5ar1/Itga5/Hmox1/Tie1/Hif1a/Pf4/Mmp9/Pgf/Vash1/C3/Gpr4/Agt/Thbs1/Ccl2/Angpt2/Col4a2/Xbp1/Shc1/Ecscr/Tnfrsf1a/Itgb3/Serpine1/Smad1/Sp1/Sema5a/Zc3h12a/Cldn5/Sema4a/Dll1/Tgm2/Sfrp2/Emilin1/Vegfa/Hk2/Plxnd1/Efna1/Cemip2",42
"GO:0048660","regulation of smooth muscle cell proliferation","32/509","190/18952",0.168421052631579,6.27095439975183,12.13069455551,8.03530866436402e-17,1.69759287715797e-13,1.69759287715797e-13,"Ptgs2/Cdh13/Mdm2/Sulf1/Ereg/Hmox1/Hif1a/Mmp9/Edn1/S1pr1/Agt/Thbs1/Gper1/Apln/Myd88/Notch3/Gna12/Xbp1/Shc1/Tnfaip3/Ptgir/Itgb3/Gja1/Calcrl/Pdgfb/Tgm2/Mef2d/Ppard/Vegfa/Myc/Sod2/Jak2",32
"GO:0048659","smooth muscle cell proliferation","32/509","197/18952",0.16243654822335,6.04812860889771,11.8321635315875,2.38520667673391e-16,3.77935997928488e-13,3.77935997928488e-13,"Ptgs2/Cdh13/Mdm2/Sulf1/Ereg/Hmox1/Hif1a/Mmp9/Edn1/S1pr1/Agt/Thbs1/Gper1/Apln/Myd88/Notch3/Gna12/Xbp1/Shc1/Tnfaip3/Ptgir/Itgb3/Gja1/Calcrl/Pdgfb/Tgm2/Mef2d/Ppard/Vegfa/Myc/Sod2/Jak2",32
"GO:0048661","positive regulation of smooth muscle cell proliferation","25/509","118/18952",0.211864406779661,7.88851520095901,12.4696572285857,7.65581694863505e-16,7.27229931704144e-13,7.27229931704144e-13,"Ptgs2/Cdh13/Mdm2/Sulf1/Ereg/Hmox1/Hif1a/Mmp9/Edn1/S1pr1/Agt/Thbs1/Myd88/Notch3/Xbp1/Shc1/Itgb3/Gja1/Calcrl/Pdgfb/Tgm2/Mef2d/Vegfa/Myc/Jak2",25
"GO:0030198","extracellular matrix organization","41/509","341/18952",0.120234604105572,4.47679021023339,10.7629170927197,8.28100103141538e-16,7.27229931704144e-13,7.27229931704144e-13,"B4galt1/Col4a1/Adamts7/Col18a1/Sulf1/Csgalnact1/Stat3/Tie1/Antxr1/Adamts9/Egflam/Bcl3/Crispld2/Mmp19/Vwa1/Mmp9/Fbln1/Agt/Ptx3/Ero1a/Dpt/Postn/Col4a2/Col28a1/Nfkb2/Mmp10/Tnfrsf1a/Itgb3/Col15a1/Sema5a/Tnfrsf1b/Mmp14/Tgm2/Sh3pxd2b/Sfrp2/Pdpn/Emilin1/Adamts4/Lcp1/Abl2/Col5a3",41
"GO:0043062","extracellular structure organization","41/509","342/18952",0.119883040935673,4.46370018037891,10.7383939508998,9.17929860150387e-16,7.27229931704144e-13,7.27229931704144e-13,"B4galt1/Col4a1/Adamts7/Col18a1/Sulf1/Csgalnact1/Stat3/Tie1/Antxr1/Adamts9/Egflam/Bcl3/Crispld2/Mmp19/Vwa1/Mmp9/Fbln1/Agt/Ptx3/Ero1a/Dpt/Postn/Col4a2/Col28a1/Nfkb2/Mmp10/Tnfrsf1a/Itgb3/Col15a1/Sema5a/Tnfrsf1b/Mmp14/Tgm2/Sh3pxd2b/Sfrp2/Pdpn/Emilin1/Adamts4/Lcp1/Abl2/Col5a3",41
"GO:0045229","external encapsulating structure organization","41/509","342/18952",0.119883040935673,4.46370018037891,10.7383939508998,9.17929860150387e-16,7.27229931704144e-13,7.27229931704144e-13,"B4galt1/Col4a1/Adamts7/Col18a1/Sulf1/Csgalnact1/Stat3/Tie1/Antxr1/Adamts9/Egflam/Bcl3/Crispld2/Mmp19/Vwa1/Mmp9/Fbln1/Agt/Ptx3/Ero1a/Dpt/Postn/Col4a2/Col28a1/Nfkb2/Mmp10/Tnfrsf1a/Itgb3/Col15a1/Sema5a/Tnfrsf1b/Mmp14/Tgm2/Sh3pxd2b/Sfrp2/Pdpn/Emilin1/Adamts4/Lcp1/Abl2/Col5a3",41
"GO:0033002","muscle cell proliferation","36/509","270/18952",0.133333333333333,4.9645055664702,10.8997968593891,1.97507728778039e-15,1.39089331666135e-12,1.39089331666135e-12,"Ptgs2/Cdh13/Mdm2/Sulf1/Ereg/Stat3/Hmox1/Hif1a/Mmp9/Edn1/Ephb1/S1pr1/Agt/Thbs1/Gper1/Apln/Myd88/Notch3/Gna12/Vgll4/Xbp1/Shc1/Tnfaip3/Ptgir/Itgb3/Gja1/Calcrl/Smad1/Pdgfb/Tgm2/Mef2d/Ppard/Vegfa/Myc/Sod2/Jak2",36
"GO:0050727","regulation of inflammatory response","44/509","408/18952",0.107843137254902,4.01540891405678,10.2290137037006,3.92985564839766e-15,2.49074250995444e-12,2.49074250995444e-12,"Ptgs2/Tlr2/Tnip1/Il1r1/Spata2/Zdhhc9/Cdh5/Stat3/Sema7a/Cd276/Il17ra/Ptges/Map3k8/Pf4/Tac1/Ccl7/Adam8/Ptpn2/Tnfsf11/Nfkbiz/C3/Gpr4/Agt/Sbno2/Gper1/Ccr1/Socs3/Myd88/C1qtnf3/Syt11/Nr5a2/Bcr/Ahr/Tnfrsf1a/Tnfaip3/Serpine1/Bcl6/Tnfrsf1b/Cd47/Ppard/Nfkbia/Cd200/Ier3/Jak2",44
