"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",35,0.5643473128777,2.06027763316171,1.43562870389238e-05,0.000208636569985504,0.000208636569985504,4020,"tags=60%, list=17%, signal=50%","20311/50706/22370/16523/56744/20750/94185/22339/20855/21824/12825/12832/18590/108078/18186/14182/19074/16976/12444/14314/16956",0.593325476396405
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING",32,0.450038693465828,1.73610654309902,0.00324280169539189,0.0137819072054155,0.0137819072054155,3329,"tags=34%, list=14%, signal=30%","56198/13388/18131/16848/14362/19015/18128/19165/18129/109689/103583",0.431707695803346
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",41,0.394865148215333,1.48670122257056,0.00267268276046226,0.0137819072054155,0.0137819072054155,5328,"tags=44%, list=23%, signal=34%","13388/14370/17869/18132/14362/19015/11491/18128/19165/27412/19206/12444/19664/16449/103806/16450/15213/59287",0.431707695803346
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",199,-0.555616115046206,-1.33040500117814,2.4545478821824e-05,0.000208636569985504,0.000208636569985504,2043,"tags=18%, list=9%, signal=16%","21955/17884/13346/17928/11464/20391/19293/17885/17897/20190/17883/17907/12862/24131/21953/21957/15464/12391/11472/17189/17901/17878/17906/56642/17930/13009/12715/66402/76722/11459/17879/11937/21393/140781/17882",0.575610261071129
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
