"cell_type","sample","score"
"T cells","T1579KO_MKRN260030400-1A_23M5KWLT4_L1",4.51104128868279
"T cells","T2054WT_MKRN260030401-1A_23M5KWLT4_L2",0
"T cells","T2055KO_MKRN260030402-1A_23M5KWLT4_L1",5.36000895857725
"T cells","T2498WT_MKRN260030403-1A_23M5KWLT4_L1",19.9178669464793
"T cells","T2675KO_MKRN260030405-1A_23M5KWLT4_L1",0.827730505705431
"T cells","T2785WT_MKRN260030406-1A_23M5KWLT4_L3",0
"T cells","T2552WT_MKRN260030404-1A_23M5KWLT4_LX",4.94464938452618
"CD8 T cells","T1579KO_MKRN260030400-1A_23M5KWLT4_L1",0
"CD8 T cells","T2054WT_MKRN260030401-1A_23M5KWLT4_L2",0
"CD8 T cells","T2055KO_MKRN260030402-1A_23M5KWLT4_L1",3.06286226204414
"CD8 T cells","T2498WT_MKRN260030403-1A_23M5KWLT4_L1",1.99178669464793
"CD8 T cells","T2675KO_MKRN260030405-1A_23M5KWLT4_L1",3.31092202282173
"CD8 T cells","T2785WT_MKRN260030406-1A_23M5KWLT4_L3",0
"CD8 T cells","T2552WT_MKRN260030404-1A_23M5KWLT4_LX",11.5375152305611
"NK cells","T1579KO_MKRN260030400-1A_23M5KWLT4_L1",0.751840214780465
"NK cells","T2054WT_MKRN260030401-1A_23M5KWLT4_L2",0
"NK cells","T2055KO_MKRN260030402-1A_23M5KWLT4_L1",0
"NK cells","T2498WT_MKRN260030403-1A_23M5KWLT4_L1",0
"NK cells","T2675KO_MKRN260030405-1A_23M5KWLT4_L1",2.48319151711629
"NK cells","T2785WT_MKRN260030406-1A_23M5KWLT4_L3",0
"NK cells","T2552WT_MKRN260030404-1A_23M5KWLT4_LX",3.29643292301745
"B derived","T1579KO_MKRN260030400-1A_23M5KWLT4_L1",1.50368042956093
"B derived","T2054WT_MKRN260030401-1A_23M5KWLT4_L2",0
"B derived","T2055KO_MKRN260030402-1A_23M5KWLT4_L1",3.06286226204414
"B derived","T2498WT_MKRN260030403-1A_23M5KWLT4_L1",0
"B derived","T2675KO_MKRN260030405-1A_23M5KWLT4_L1",3.31092202282173
"B derived","T2785WT_MKRN260030406-1A_23M5KWLT4_L3",2.3201540919523
"B derived","T2552WT_MKRN260030404-1A_23M5KWLT4_LX",6.5928658460349
"Memory B cells","T1579KO_MKRN260030400-1A_23M5KWLT4_L1",0
"Memory B cells","T2054WT_MKRN260030401-1A_23M5KWLT4_L2",0
"Memory B cells","T2055KO_MKRN260030402-1A_23M5KWLT4_L1",0
"Memory B cells","T2498WT_MKRN260030403-1A_23M5KWLT4_L1",0
"Memory B cells","T2675KO_MKRN260030405-1A_23M5KWLT4_L1",0
"Memory B cells","T2785WT_MKRN260030406-1A_23M5KWLT4_L3",0
"Memory B cells","T2552WT_MKRN260030404-1A_23M5KWLT4_LX",4.94464938452618
"Monocytes / macrophages","T1579KO_MKRN260030400-1A_23M5KWLT4_L1",360.131462879843
