"cell_type","T1579KO_MKRN260030400-1A_23M5KWLT4_L1","T2054WT_MKRN260030401-1A_23M5KWLT4_L2","T2055KO_MKRN260030402-1A_23M5KWLT4_L1","T2498WT_MKRN260030403-1A_23M5KWLT4_L1","T2675KO_MKRN260030405-1A_23M5KWLT4_L1","T2785WT_MKRN260030406-1A_23M5KWLT4_L3","T2552WT_MKRN260030404-1A_23M5KWLT4_LX"
"T cells",4.51104128868279,0,5.36000895857725,19.9178669464793,0.827730505705431,0,4.94464938452618
"CD8 T cells",0,0,3.06286226204414,1.99178669464793,3.31092202282173,0,11.5375152305611
"NK cells",0.751840214780465,0,0,0,2.48319151711629,0,3.29643292301745
"B derived",1.50368042956093,0,3.06286226204414,0,3.31092202282173,2.3201540919523,6.5928658460349
"Memory B cells",0,0,0,0,0,0,4.94464938452618
"Monocytes / macrophages",360.131462879843,109.797948035017,261.874723404774,49.7946673661981,230.10908058611,73.471546245156,215.916356457643
"Monocytes",29.3217683764381,72.9372083375473,37.5200627100407,55.7700274501419,41.3865252852716,18.5612327356184,54.391143229788
"Mast cells",0,0.784271057392982,0,0,0,0,8.24108230754363
"Eosinophils",1.50368042956093,0,0.765715565511035,35.8521605036627,0.827730505705431,2.3201540919523,9.88929876905235
"Basophils",22.5552064434139,42.350637099221,22.9714669653311,11.9507201678876,29.7982982053955,38.6692348658716,51.0947103067705
"Vessels",352.613060732038,207.83183020914,546.720913774879,99.5893347323963,615.003765739135,172.464787501787,237.343170457257
"Lymphatics",45.1104128868279,199.596984106514,39.0514938410628,4.97946673661981,19.8655321369304,158.930555298732,23.8991386918765
"Endothelial cells",23.3070466581944,19.214640906128,42.880071668618,6.97125343126774,55.0440786294112,17.4011556896422,17.3062728458416
"Fibroblasts",143.601481023069,345.079265252912,269.91473684264,313.706404407048,301.293904076777,63.0308528313707,152.460022689557
