"cell_type","group","n","mean_score","median_score","sd_score"
"B derived","WT",4,2.2282549844968,1.16007704597615,3.10851057423954
"B derived","KO",3,2.6258215714756,3.06286226204414,0.97968564754845
"Basophils","WT",4,36.0163256099377,40.5099359825463,16.8688320077947
"Basophils","KO",3,25.1083238713802,22.9714669653311,4.06696602466983
"CD8 T cells","WT",4,3.38232548130225,0.995893347323963,5.51727497008379
"CD8 T cells","KO",3,2.12459476162196,3.06286226204414,1.84412867963785
"Endothelial cells","WT",4,15.2233307182199,17.3537142677419,5.57102342719609
"Endothelial cells","KO",3,40.4103989854079,42.880071668618,16.0120036833981
"Eosinophils","WT",4,12.0154033411668,6.10472643050232,16.4426182843111
"Eosinophils","KO",3,1.03237550025913,0.827730505705431,0.409338143214089
"Fibroblasts","WT",4,218.569136295222,233.083213548303,133.689297798142
"Fibroblasts","KO",3,238.270040647495,269.91473684264,83.4731404111507
"Lymphatics","WT",4,96.8515362084356,91.4148469953044,96.9071052218538
"Lymphatics","KO",3,34.6758129549403,39.0514938410628,13.1789961086579
"Mast cells","WT",4,2.25633834123415,0.392135528696491,4.00692183813127
"Mast cells","KO",3,0,0,0
"Memory B cells","WT",4,1.23616234613154,0,2.47232469226309
"Memory B cells","KO",3,0,0,0
"Monocytes","WT",4,50.4149029382739,55.0805853399649,22.8502253181535
"Monocytes","KO",3,36.0761187905835,37.5200627100407,6.1606266198508
"Monocytes / macrophages","WT",4,112.245129526004,91.6347471400867,73.3874716264555
"Monocytes / macrophages","KO",3,284.038422290242,261.874723404774,67.7855230528515
"NK cells","WT",4,0.824108230754363,0,1.64821646150873
"NK cells","KO",3,1.07834391063225,0.751840214780465,1.27338663618841
"T cells","WT",4,6.21562908275136,2.47232469226309,9.42752709986679
"T cells","KO",3,3.56626025098849,4.51104128868279,2.40932467726572
"Vessels","WT",4,179.307280725145,190.148308855464,59.3958052589496
"Vessels","KO",3,504.779246748684,546.720913774879,136.130628784387
