"gene","group","cor","p.value","n","p.adj"
"AR","KO",1,0,3,0
"ERG","KO",1,0,3,0
"PTEN","KO",1,0,3,0
"TMPRSS2","KO",0.5,0.666666666666667,3,0.666666666666667
"AMACR","KO",0.5,0.666666666666667,3,0.666666666666667
"MKI67","KO",0.5,0.666666666666667,3,0.666666666666667
"CDH1","KO",0.5,0.666666666666667,3,0.666666666666667
"BRCA2","KO",0.5,0.666666666666667,3,0.666666666666667
"RB1","KO",0.5,0.666666666666667,3,0.666666666666667
"CHGA","KO",0.5,0.666666666666667,3,0.666666666666667
"CHGB","KO",0.5,0.666666666666667,3,0.666666666666667
"VIM","KO",-0.5,0.666666666666667,3,0.666666666666667
"BRCA1","KO",-0.5,0.666666666666667,3,0.666666666666667
"MYC","KO",-0.5,0.666666666666667,3,0.666666666666667
"NCAM1","KO",-0.5,0.666666666666667,3,0.666666666666667
"SCG2","KO",-0.866025403784439,0.333333333333333,3,0.666666666666667
"AURKA","KO",-1,0,3,0
"TTF1","KO",-1,0,3,0
"ACP3","KO",-1,0,3,0
"TFRC","KO",-1,0,3,0
"SYP","KO",-1,0,3,0
"NKX3-1","KO",NA,NA,3,NA
"INSM1","KO",NA,NA,3,NA
