"gene","group","cor","p.value","n","p.adj"
"NKX3-1","WT",0.8,0.2,4,0.46
"AMACR","WT",0.8,0.2,4,0.46
"ERG","WT",0.8,0.2,4,0.46
"PTEN","WT",0.8,0.2,4,0.46
"ACP3","WT",0.8,0.2,4,0.46
"RB1","WT",0.4,0.6,4,0.69
"AR","WT",0,1,4,1
"VIM","WT",0,1,4,1
"NCAM1","WT",0,1,4,1
"AURKA","WT",-0.4,0.6,4,0.69
"BRCA1","WT",-0.4,0.6,4,0.69
"TTF1","WT",-0.4,0.6,4,0.69
"CHGA","WT",-0.4,0.6,4,0.69
"CHGB","WT",-0.4,0.6,4,0.69
"TFRC","WT",-0.4,0.6,4,0.69
"SYP","WT",-0.4,0.6,4,0.69
"INSM1","WT",-0.632455532033676,0.367544467966324,4,0.69
"SCG2","WT",-0.774596669241483,0.225403330758516,4,0.47129787340417
"TMPRSS2","WT",-0.8,0.2,4,0.46
"CDH1","WT",-0.8,0.2,4,0.46
"BRCA2","WT",-0.8,0.2,4,0.46
"MKI67","WT",-1,0,4,0
"MYC","WT",-1,0,4,0
