"gene","group","cor","p.value","n","p.adj"
"NKX3-1","WT",0.8,0.2,4,0.46
"AMACR","WT",0.8,0.2,4,0.46
"ERG","WT",0.8,0.2,4,0.46
"PTEN","WT",0.8,0.2,4,0.46
"ACP3","WT",0.8,0.2,4,0.46
"RB1","WT",0.4,0.6,4,0.69
"AR","WT",0,1,4,1
"VIM","WT",0,1,4,1
"NCAM1","WT",0,1,4,1
"AURKA","WT",-0.4,0.6,4,0.69
"BRCA1","WT",-0.4,0.6,4,0.69
"TTF1","WT",-0.4,0.6,4,0.69
"CHGA","WT",-0.4,0.6,4,0.69
"CHGB","WT",-0.4,0.6,4,0.69
"TFRC","WT",-0.4,0.6,4,0.69
"SYP","WT",-0.4,0.6,4,0.69
"INSM1","WT",-0.632455532033676,0.367544467966324,4,0.69
"SCG2","WT",-0.774596669241483,0.225403330758516,4,0.47129787340417
"TMPRSS2","WT",-0.8,0.2,4,0.46
"CDH1","WT",-0.8,0.2,4,0.46
"BRCA2","WT",-0.8,0.2,4,0.46
"MKI67","WT",-1,0,4,0
"MYC","WT",-1,0,4,0
"AR","KO",1,0,3,0
"ERG","KO",1,0,3,0
"PTEN","KO",1,0,3,0
"TMPRSS2","KO",0.5,0.666666666666667,3,0.666666666666667
"AMACR","KO",0.5,0.666666666666667,3,0.666666666666667
"MKI67","KO",0.5,0.666666666666667,3,0.666666666666667
"CDH1","KO",0.5,0.666666666666667,3,0.666666666666667
"BRCA2","KO",0.5,0.666666666666667,3,0.666666666666667
"RB1","KO",0.5,0.666666666666667,3,0.666666666666667
"CHGA","KO",0.5,0.666666666666667,3,0.666666666666667
"CHGB","KO",0.5,0.666666666666667,3,0.666666666666667
"VIM","KO",-0.5,0.666666666666667,3,0.666666666666667
"BRCA1","KO",-0.5,0.666666666666667,3,0.666666666666667
"MYC","KO",-0.5,0.666666666666667,3,0.666666666666667
"NCAM1","KO",-0.5,0.666666666666667,3,0.666666666666667
"SCG2","KO",-0.866025403784439,0.333333333333333,3,0.666666666666667
"AURKA","KO",-1,0,3,0
"TTF1","KO",-1,0,3,0
"ACP3","KO",-1,0,3,0
"TFRC","KO",-1,0,3,0
"SYP","KO",-1,0,3,0
"NKX3-1","KO",NA,NA,3,NA
"INSM1","KO",NA,NA,3,NA
