"sample","group","sample_type","gene","expr"
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","AR",7.98230054870118
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","AR",9.57098766964821
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","AR",8.2983590585954
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","AR",9.04988221102117
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","AR",8.72944830518508
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","AR",9.17477695233023
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","AR",8.68077197716896
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","NKX3-1",6.25358934370314
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","NKX3-1",6.39979454328653
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","NKX3-1",6.25358934370314
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","NKX3-1",6.71777877075606
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","NKX3-1",6.25358934370314
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","NKX3-1",6.25358934370314
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","NKX3-1",6.5529253398135
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","TMPRSS2",6.50133466600378
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","TMPRSS2",6.39979454328653
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","TMPRSS2",6.39805607755618
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","TMPRSS2",6.25358934370314
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","TMPRSS2",6.5135056205549
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","TMPRSS2",6.50485042794502
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","TMPRSS2",6.72562220123136
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","AMACR",8.16594913386412
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","AMACR",8.22198174605149
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","AMACR",8.32784220327428
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","AMACR",8.20036323916618
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","AMACR",8.17436272148402
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","AMACR",7.96552749010454
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","AMACR",8.09287225190727
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","ERG",8.36833070795615
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","ERG",7.71089623431179
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","ERG",8.76412238592814
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","ERG",8.48138527138164
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","ERG",9.17680383070272
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","ERG",7.50498971415486
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","ERG",7.99455647710878
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","MKI67",11.5830075897298
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","MKI67",11.375548266687
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","MKI67",11.1856962090461
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","MKI67",10.5109657004204
