"gene","group","n","mean_expr","median_expr","sd_expr"
"ACP3","WT",4,9.84630611358742,9.9851823151005,0.698041832994721
"ACP3","KO",3,9.96066196884839,9.76020209381226,0.353762821873791
"AMACR","WT",4,8.12018618180737,8.14661774553673,0.117552908814593
"AMACR","KO",3,8.2227180195408,8.17436272148402,0.0911373557789639
"AR","WT",4,9.11910470254214,9.1123295816757,0.367071721794033
"AR","KO",3,8.33670263749389,8.2983590585954,0.375046817126593
"AURKA","WT",4,9.8335616912229,9.79674701198603,0.311445128520312
"AURKA","KO",3,9.85639145184474,9.72510897242494,0.234148505824379
"BRCA1","WT",4,9.25829112614465,9.07141329885598,0.650415871816316
"BRCA1","KO",3,9.09455964718605,9.12982375512067,0.1621577142039
"BRCA2","WT",4,8.9526261130587,8.88778815496601,0.475037024959765
"BRCA2","KO",3,8.97695462055587,8.99749906023378,0.093547481124866
"CDH1","WT",4,6.71214752151787,6.84860161210907,0.30810711161904
"CDH1","KO",3,6.9236601091498,6.94844455999893,0.181785874403708
"CHGA","WT",4,6.47379721108338,6.48271879569598,0.17391910907479
"CHGA","KO",3,6.77451921207635,6.70257254751631,0.315374120139029
"CHGB","WT",4,6.50363983344642,6.54240404042205,0.180845227714652
"CHGB","KO",3,6.53031005183277,6.5135056205549,0.0401108062051271
"ERG","WT",4,7.92295692423927,7.85272635571028,0.422940121759389
"ERG","KO",3,8.76975230819567,8.76412238592814,0.4042659639018
"FOLH1","WT",4,6.9867233169053,6.95331524407244,0.348855379602538
"FOLH1","KO",3,6.44015293398899,6.45781097870494,0.0378119829534034
"INSM1","WT",4,6.38628481630321,6.35692788827475,0.160548006922508
"INSM1","KO",3,6.25358934370314,6.25358934370314,0
"MKI67","WT",4,11.6128691085765,11.5640982524604,0.953715384660007
"MKI67","KO",3,11.5148477521338,11.5830075897298,0.300917905842805
"MYC","WT",4,11.4821616640125,11.7663312568521,0.672684851566933
"MYC","KO",3,13.0649480206984,13.0575110774818,0.203357405962153
"NCAM1","WT",4,10.0104179677112,9.99899318987677,0.157443547034822
"NCAM1","KO",3,9.86343717271394,9.87298226031788,0.137757218439821
"NKX3-1","WT",4,6.48102199938981,6.47635994155002,0.199622453354292
"NKX3-1","KO",3,6.25358934370314,6.25358934370314,0
"PTEN","WT",4,11.5512600476225,11.5340234271457,0.442269088614064
"PTEN","KO",3,11.4120424201065,11.4893406169713,0.206568117767681
"RB1","WT",4,9.19314691806009,9.19353370955953,0.338090898274562
"RB1","KO",3,8.68370991005025,8.68972197917481,0.063417922068497
"SCG2","WT",4,6.31640461476361,6.25358934370314,0.125630542120943
"SCG2","KO",3,6.32104464553217,6.25358934370314,0.116836010007775
"SYP","WT",4,6.59863818424594,6.64593217762428,0.255327008273887
"SYP","KO",3,6.57089767963735,6.54216223643939,0.121926467206161
"TFRC","WT",4,11.0460491312962,11.4104774710011,1.08641947582474
"TFRC","KO",3,11.3215576259951,11.141831062668,0.350428952885239
"TMPRSS2","WT",4,6.47096412904151,6.45232248561578,0.198591643179557
"TMPRSS2","KO",3,6.47096545470495,6.50133466600378,0.0634339498284468
"TTF1","WT",4,8.62977259938547,8.58998237995935,0.123397658545918
"TTF1","KO",3,8.26097137246298,8.27579341808906,0.041845059027656
"VIM","WT",4,15.9081495527663,15.7867647341567,0.702840706570454
"VIM","KO",3,15.7105539681325,15.6959770397959,0.118866120543612
