"gene","group","cor","p.value","n","p.adj"
"PTEN","KO",0.996275956758872,0.0549588134820447,3,0.286746233251167
"ERG","KO",0.909624623969715,0.272738569088749,3,0.818215707266248
"AR","KO",0.875168826025533,0.321500417435621,3,0.843938595768504
"CHGA","KO",0.67508428533983,0.528214491259312,3,0.924375359703796
"CHGB","KO",0.538504036819272,0.637979332172782,3,0.9994660428083
"AMACR","KO",0.446214746499177,0.705543509776784,3,0.9994660428083
"RB1","KO",0.0250478161759398,0.984052397101919,3,0.9994660428083
"VIM","KO",-0.000838737897047906,0.9994660428083,3,0.9994660428083
"CDH1","KO",-0.0111057952074758,0.992929685837432,3,0.9994660428083
"MYC","KO",-0.0754944039190983,0.951892998871632,3,0.9994660428083
"BRCA2","KO",-0.0840159792763771,0.946450641938717,3,0.9994660428083
"MKI67","KO",-0.0900755202947515,0.94257831409552,3,0.9994660428083
"TMPRSS2","KO",-0.31482672977978,0.796107178343717,3,0.9994660428083
"BRCA1","KO",-0.681997526234228,0.522222948042411,3,0.924375359703796
"TTF1","KO",-0.746413557705749,0.463548256424475,3,0.924375359703796
"NCAM1","KO",-0.770683082387149,0.439830347342644,3,0.924375359703796
"SYP","KO",-0.977862149319536,0.134204573110891,3,0.46971600588812
"SCG2","KO",-0.994254995873812,0.0682729126788492,3,0.286746233251167
"ACP3","KO",-0.995340190304995,0.0614820018283005,3,0.286746233251167
"AURKA","KO",-0.995893949714005,0.0577106502351498,3,0.286746233251167
"TFRC","KO",-0.999037228946092,0.0279377536229654,3,0.286746233251167
"NKX3-1","KO",NA,NA,3,NA
"INSM1","KO",NA,NA,3,NA
