"gene","group","cor","p.value","n","p.adj"
"ERG","WT",0.862466515054813,0.137533484945187,4,0.488019893508673
"AMACR","WT",0.854684645480151,0.145315354519848,4,0.488019893508673
"NKX3-1","WT",0.841231711365486,0.158768288634514,4,0.488019893508673
"PTEN","WT",0.811800763206631,0.188199236793369,4,0.488019893508673
"ACP3","WT",0.639289643928372,0.360710356071628,4,0.488019893508673
"RB1","WT",0.487252803827718,0.512747196172282,4,0.595569626596168
"AR","WT",0.105310077729966,0.894689922270034,4,0.894689922270034
"VIM","WT",-0.119486415068525,0.880513584931475,4,0.894689922270034
"NCAM1","WT",-0.386777229048193,0.613222770951807,4,0.671624939613884
"AURKA","WT",-0.482113368177245,0.517886631822755,4,0.595569626596168
"TTF1","WT",-0.503992079342827,0.496007920657173,4,0.595569626596168
"INSM1","WT",-0.642503446850735,0.357496553149265,4,0.488019893508673
"SYP","WT",-0.643426371483887,0.356573628516113,4,0.488019893508673
"CHGA","WT",-0.647580167413453,0.352419832586547,4,0.488019893508673
"BRCA1","WT",-0.651436745608442,0.348563254391558,4,0.488019893508673
"CHGB","WT",-0.687308926509553,0.312691073490447,4,0.488019893508673
"TMPRSS2","WT",-0.720020263185125,0.279979736814875,4,0.488019893508673
"SCG2","WT",-0.722827426548906,0.277172573451093,4,0.488019893508673
"TFRC","WT",-0.791091711678775,0.208908288321225,4,0.488019893508673
"BRCA2","WT",-0.807509904770607,0.192490095229393,4,0.488019893508673
"CDH1","WT",-0.854733120297685,0.145266879702315,4,0.488019893508673
"MYC","WT",-0.919835432933734,0.0801645670662657,4,0.488019893508673
"MKI67","WT",-0.981975972877891,0.0180240271221089,4,0.414552623808506
"PTEN","KO",0.996275956758872,0.0549588134820447,3,0.286746233251167
"ERG","KO",0.909624623969715,0.272738569088749,3,0.818215707266248
"AR","KO",0.875168826025533,0.321500417435621,3,0.843938595768504
"CHGA","KO",0.67508428533983,0.528214491259312,3,0.924375359703796
"CHGB","KO",0.538504036819272,0.637979332172782,3,0.9994660428083
"AMACR","KO",0.446214746499177,0.705543509776784,3,0.9994660428083
"RB1","KO",0.0250478161759398,0.984052397101919,3,0.9994660428083
"VIM","KO",-0.000838737897047906,0.9994660428083,3,0.9994660428083
"CDH1","KO",-0.0111057952074758,0.992929685837432,3,0.9994660428083
"MYC","KO",-0.0754944039190983,0.951892998871632,3,0.9994660428083
"BRCA2","KO",-0.0840159792763771,0.946450641938717,3,0.9994660428083
"MKI67","KO",-0.0900755202947515,0.94257831409552,3,0.9994660428083
"TMPRSS2","KO",-0.31482672977978,0.796107178343717,3,0.9994660428083
"BRCA1","KO",-0.681997526234228,0.522222948042411,3,0.924375359703796
"TTF1","KO",-0.746413557705749,0.463548256424475,3,0.924375359703796
"NCAM1","KO",-0.770683082387149,0.439830347342644,3,0.924375359703796
"SYP","KO",-0.977862149319536,0.134204573110891,3,0.46971600588812
"SCG2","KO",-0.994254995873812,0.0682729126788492,3,0.286746233251167
"ACP3","KO",-0.995340190304995,0.0614820018283005,3,0.286746233251167
"AURKA","KO",-0.995893949714005,0.0577106502351498,3,0.286746233251167
"TFRC","KO",-0.999037228946092,0.0279377536229654,3,0.286746233251167
"NKX3-1","KO",NA,NA,3,NA
"INSM1","KO",NA,NA,3,NA
