"gene","p.value","p.adj"
"AR",0.114285714285714,0.457142857142857
"NKX3-1",0.228571428571429,0.685714285714286
"TMPRSS2",1,1
"AMACR",0.628571428571429,1
"ERG",0.114285714285714,0.457142857142857
"MKI67",1,1
"CDH1",0.4,0.96
"VIM",1,1
"AURKA",0.857142857142857,1
"BRCA1",1,1
"BRCA2",1,1
"MYC",0.0571428571428571,0.342857142857143
"PTEN",0.857142857142857,1
"RB1",0.0571428571428571,0.342857142857143
"TTF1",0.0571428571428571,0.342857142857143
"INSM1",0.571428571428572,1
"ACP3",0.857142857142857,1
"CHGA",0.228571428571429,0.685714285714286
"CHGB",0.857142857142857,1
"TFRC",1,1
"NCAM1",0.4,0.96
"SCG2",1,1
"SYP",0.628571428571429,1
"FOLH1",0.0571428571428571,0.342857142857143
