"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","regulated"
"ENSMUSG00000106106",73147.0045919563,-1.35579328365576,0.245108237631773,-5.53140643805114,3.17673293457442e-08,0.000893170231884945,NA,NA,NA,"Down_in_KO_treated"
"ENSMUSG00000094006",24.3282067535709,-8.82829086642404,1.69092537300315,-5.22098195897591,1.77976880769989e-07,0.0025019989898645,"Igkv4-59","667683","immunoglobulin kappa variable 4-59","Down_in_KO_treated"
"ENSMUSG00000018634",40.2795162840578,2.69327460395378,0.584352839775657,4.60898693499593,4.04635756213315e-06,0.0379224630723119,"Crhr1","12921","corticotropin releasing hormone receptor 1","Up_in_KO_treated"
"ENSMUSG00000115354",38.0420265604057,-1.9004681912053,0.458974807224765,-4.14068084193263,3.46276484560349e-05,0.243397740997469,NA,NA,NA,"Not_significant"
"ENSMUSG00000105471",6.48280305483693,3.70674914213932,0.944570150146628,3.9242708882595,8.69928051734888e-05,0.318114071498341,NA,NA,NA,"Not_significant"
"ENSMUSG00000002265",90.9697038242407,-1.73619611910803,0.447829149561647,-3.87691627668161,0.000105788740408582,0.318114071498341,"Peg3","18616","paternally expressed 3","Not_significant"
"ENSMUSG00000038578",39.3973158577888,-1.42734401858009,0.370307888244238,-3.85447910750063,0.000115976286299989,0.318114071498341,"Susd1","634731","sushi domain containing 1","Not_significant"
"ENSMUSG00000063727",106.071174626115,1.11065445055774,0.284983679431486,3.89725633683088,9.72886270381867e-05,0.318114071498341,"Tnfrsf11b","18383","tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)","Not_significant"
"ENSMUSG00000025128",140.308534473593,1.10968616122292,0.277071724914913,4.00505017812156,6.20043178828545e-05,0.318114071498341,"Bhlhe22","59058","basic helix-loop-helix family, member e22","Not_significant"
"ENSMUSG00000004951",194.232627794257,-0.961544877913136,0.242443329719844,-3.96606035325555,7.30703674142397e-05,0.318114071498341,"Hspb1","15507","heat shock protein 1","Not_significant"
"ENSMUSG00000027261",245.723487235411,0.959191527705062,0.249973358829259,3.83717501815954,0.00012445777445162,0.318114071498341,"Hao1","15112","hydroxyacid oxidase 1, liver","Not_significant"
"ENSMUSG00000070729",1194.78815247618,0.615221183532223,0.165573276456462,3.71570338341402,0.000202639190578973,0.474783623526533,NA,NA,NA,"Not_significant"
"ENSMUSG00000079243",14.9144785960082,-2.82425428383876,0.767455905638089,-3.6800215661779,0.000233214229348172,0.504388559411785,"Xirp1","22437","xin actin-binding repeat containing 1","Not_significant"
"ENSMUSG00000032076",77.2801194565251,-1.31290959773932,0.364209445872668,-3.60482028299268,0.000312369010578908,0.585504473429105,"Cadm1","54725","cell adhesion molecule 1","Not_significant"
"ENSMUSG00000023861",63.0308365696968,0.855468682830936,0.236896203389154,3.61115404380559,0.000304837523472404,0.585504473429105,"Mpc1","55951","mitochondrial pyruvate carrier 1","Not_significant"
"ENSMUSG00000022899",25.309267072282,-1.95484372033589,0.552847231708279,-3.5359564237945,0.000406301707687887,0.615337703431428,"Slc15a2","57738","solute carrier family 15 (H+/peptide transporter), member 2","Not_significant"
"ENSMUSG00000020838",51.1006068163138,1.47513149047147,0.421073842947511,3.50326080609894,0.000459599223647033,0.615337703431428,"Slc6a4","15567","solute carrier family 6 (neurotransmitter transporter, serotonin), member 4","Not_significant"
"ENSMUSG00000002289",893.247001803149,-0.965685240626283,0.275550621468029,-3.50456564199158,0.000457352803135487,0.615337703431428,"Angptl4","57875","angiopoietin-like 4","Not_significant"
"ENSMUSG00000032554",2186.47003241751,-0.554708212312146,0.155444009031856,-3.56854031086181,0.000358975628783205,0.615337703431428,"Trf","22041","transferrin","Not_significant"
"ENSMUSG00000032359",1338.17492747996,-0.426416813449977,0.121624951038616,-3.50599782206358,0.00045489894216667,0.615337703431428,"Ctsh","13036","cathepsin H","Not_significant"
"ENSMUSG00000024795",1272.77918047039,0.338083792724365,0.0958849623070743,3.52593133052128,0.000421996373424687,0.615337703431428,"Kif20b","240641","kinesin family member 20B","Not_significant"
"ENSMUSG00000061048",85.9046044798539,-1.46621822412016,0.423693571875792,-3.46056282522498,0.000539047435238079,0.688902622234266,"Cdh3","12560","cadherin 3","Not_significant"
"ENSMUSG00000027470",10.0029512380138,-3.54197909455186,1.03233778910848,-3.43102725863663,0.0006013001755117,0.719273664421149,"Mylk2","228785","myosin, light polypeptide kinase 2, skeletal muscle","Not_significant"
"ENSMUSG00000028539",219.516480137881,0.703752190339061,0.205453268486485,3.4253638091202,0.000613976666172556,0.719273664421149,"Artn","11876","artemin","Not_significant"
"ENSMUSG00000058626",16.5814063445461,4.11391654507204,1.20503507557564,3.41393925243781,0.000640308507947646,0.72011656037824,"Capn11","268958","calpain 11","Not_significant"
"ENSMUSG00000031722",359.429164235402,-3.94935598579314,1.17164482605261,-3.37077917981247,0.000749559139143098,0.755209383700773,"Hp","15439","haptoglobin","Not_significant"
"ENSMUSG00000002831",51.3661839643826,-2.19277567105943,0.652360771654272,-3.36129296293972,0.000775784925314309,0.755209383700773,"Plin4","57435","perilipin 4","Not_significant"
"ENSMUSG00000047022",318.260603925373,0.632040313296786,0.188624281852604,3.35078976624378,0.000805814536599203,0.755209383700773,"Mipol1","73490","mirror-image polydactyly 1","Not_significant"
"ENSMUSG00000031971",214.633625392916,0.508486158275057,0.15119753323117,3.36305855927966,0.000770840103932668,0.755209383700773,"Ccsap","73420","centriole, cilia and spindle associated protein","Not_significant"
"ENSMUSG00000024248",3039.94252782302,-0.28610537596282,0.0852333452471578,-3.35673057455598,0.000788699274953676,0.755209383700773,"Cox7a2l","20463","cytochrome c oxidase subunit 7A2 like","Not_significant"
"ENSMUSG00000027559",235.92398068497,-2.80999671384537,0.843083888745065,-3.33299776138299,0.000859156336644246,0.779227082615795,"Car3","12350","carbonic anhydrase 3","Not_significant"
"ENSMUSG00000066363",18.9706224474952,-2.08069366233732,0.628858397133118,-3.30868391329897,0.000937355976985232,0.816590230673717,"Serpina3f","238393","serine (or cysteine) peptidase inhibitor, clade A, member 3F","Not_significant"
"ENSMUSG00000030043",38.9297671822767,1.56688320236601,0.475668009186079,3.29406891383577,0.000987482851149039,0.816590230673717,"Tacr1","21336","tachykinin receptor 1","Not_significant"
"ENSMUSG00000037638",101.485000474174,-0.694247146147761,0.210679964782442,-3.2952689491128,0.000983275245369249,0.816590230673717,"Zbtb42","382639","zinc finger and BTB domain containing 42","Not_significant"
"ENSMUSG00000095403",38.0257685881363,1.53437322979553,0.469793443213645,3.26605926915363,0.00109055421304414,0.876057778684259,"Gm21092","100861634","cadherin 11 pseudogene","Not_significant"
"ENSMUSG00000031489",6.23524555213786,-5.70146933781161,1.75388135886098,-3.2507725274612,0.00115091902664534,0.898867759810011,"Adrb3","11556","adrenergic receptor, beta 3","Not_significant"
"ENSMUSG00000050505",16.6716230574869,2.1767690293496,0.676236234878859,3.21894763556931,0.00128661978439028,0.921793873406338,"Pcdh20","219257","protocadherin 20","Not_significant"
"ENSMUSG00000007097",79.126831694592,-1.85193771862157,0.573857847462628,-3.22717154920876,0.00125020481191989,0.921793873406338,"Atp1a2","98660","ATPase, Na+/K+ transporting, alpha 2 polypeptide","Not_significant"
"ENSMUSG00000093738",36.004973385989,1.59853821203142,0.498171480633501,3.20881117080134,0.00133284996066171,0.921793873406338,"AI606473","99686","expressed sequence AI606473","Not_significant"
"ENSMUSG00000053414",137.130246257338,0.714709368466493,0.22253388836827,3.21168777352115,0.00131957703514847,0.921793873406338,"Hunk","26559","hormonally upregulated Neu-associated kinase","Not_significant"
"ENSMUSG00000031165",460.236152674546,-0.406231411484295,0.126969849004879,-3.19943210666246,0.00137698615318915,0.921793873406338,"Was","22376","Wiskott-Aldrich syndrome","Not_significant"
"ENSMUSG00000027602",1511.79165612353,-0.398850564228702,0.124459222757006,-3.20466860866887,0.00135218066389365,0.921793873406338,"Map1lc3a","66734","microtubule-associated protein 1 light chain 3 alpha","Not_significant"
"ENSMUSG00000105175",4.44294520573879,4.67426483839343,1.464676210252,3.19132980086378,0.00141619522278952,0.92599406706861,NA,NA,NA,"Not_significant"
"ENSMUSG00000032238",91.6252667965937,-0.790981800165394,0.249092380861426,-3.17545561783132,0.00149601404437826,0.955952974357705,"Rora","19883","RAR-related orphan receptor alpha","Not_significant"
"ENSMUSG00000102478",13.164300766138,2.2656606716273,0.722389087644406,3.13634398744207,0.00171068426317559,0.991894033523672,NA,NA,NA,"Not_significant"
"ENSMUSG00000059852",17.3619993858707,-1.83636210892882,0.584875055141599,-3.13975111912446,0.00169091422099324,0.991894033523672,"Kcng2","240444","potassium voltage-gated channel, subfamily G, member 2","Not_significant"
"ENSMUSG00000031734",41.1746983014379,-1.15708113801099,0.36928766959789,-3.13327856104949,0.00172865299625338,0.991894033523672,"Irx3","16373","Iroquois related homeobox 3","Not_significant"
"ENSMUSG00000073412",282.169868043506,-0.826739658399226,0.263215670224395,-3.14092112257002,0.00168417384539865,0.991894033523672,"Lst1","16988","leukocyte specific transcript 1","Not_significant"
"ENSMUSG00000055782",186.627461909569,-0.534177192344284,0.170094629859647,-3.14047064733942,0.00168676609609981,0.991894033523672,"Abcd2","26874","ATP-binding cassette, sub-family D member 2","Not_significant"
"ENSMUSG00000108518",5.73572872307181,2.8662015910693,0.926229251991368,3.09448398968942,0.00197155575243892,0.992688184328495,NA,NA,NA,"Not_significant"
