"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007389","pattern specification process","25/292","496/25615",0.0504032258064516,4.42150215422006,8.26283411393628,6.68032547648401e-10,4.27394185819108e-06,4.27394185819108e-06,"Msx2/Fgf10/Bmp2/Foxg1/Ednra/Sema3a/Msx1/Hoxc6/Wnt7b/Dsp/Sim2/Meox1/Tbx20/Fgf2/Nkx2-5/Ext1/Tbx2/Chrdl1/Irx1/Gata4/Ar/Hoxc8/Hoxc4/Hoxb3/Pax3",25
"GO:0042476","odontogenesis","14/292","148/25615",0.0945945945945946,8.29808404294706,9.56144155354807,1.72131599755045e-09,4.27394185819108e-06,4.27394185819108e-06,"Msx2/Fgf10/Bmp2/Dlx3/Odaph/Pax9/Ednra/Msx1/Phex/Wnt7b/Wdr72/Lhx8/Aqp3/Dmp1",14
"GO:0003002","regionalization","23/292","448/25615",0.0513392857142857,4.50361576565558,8.03363886741003,2.3344321926659e-09,4.27394185819108e-06,4.27394185819108e-06,"Msx2/Fgf10/Bmp2/Foxg1/Ednra/Sema3a/Msx1/Hoxc6/Wnt7b/Dsp/Meox1/Tbx20/Fgf2/Nkx2-5/Ext1/Tbx2/Irx1/Gata4/Ar/Hoxc8/Hoxc4/Hoxb3/Pax3",23
"GO:0035270","endocrine system development","14/292","153/25615",0.0915032679738562,8.02690482585728,9.36129822140995,2.66123403374289e-09,4.27394185819108e-06,4.27394185819108e-06,"Fgf10/Bmp2/Rap1gap/Ednra/Cdh2/Sox9/Sox2/Pde3b/Clu/Fgf2/Stra6/Nkx2-5/Crhr1/Hoxb3",14
"GO:1903522","regulation of blood circulation","18/292","288/25615",0.0625,5.48266267123288,8.21510234177541,6.68967775740233e-09,7.56060374186856e-06,7.56060374186856e-06,"Mmp2/Ptgs1/Kcnh2/Cx3cl1/Ednra/Sema3a/Glp1r/Dsp/Agt/F2r/Gnao1/Ptger3/Nkx2-5/Tbx2/Gata4/Adm2/Dsc2/Adra1d",18
"GO:0060541","respiratory system development","18/292","289/25615",0.0622837370242214,5.46369152012134,8.19468651390995,7.06158506401173e-09,7.56060374186856e-06,7.56060374186856e-06,"Adamts2/Fgf10/Aldh1a3/Bmp2/Msx1/Phex/Itga3/Wnt7b/Sox9/Sox2/Sim2/Ano1/Fgf2/Stra6/Ext1/Tbx2/Gata4/Hsd11b1",18
"GO:0035265","organ growth","16/292","231/25615",0.0692640692640693,6.07602443218882,8.32189467732124,1.10846488728054e-08,1.01725406227003e-05,1.01725406227003e-05,"Msx2/Fgf10/Lepr/Comp/Sox9/Agt/Tbx20/Fgf2/Nkx2-5/Ext1/Tbx2/Gata4/Ang2/Nppc/Ar/Slc6a4",16
"GO:0051216","cartilage development","16/292","241/25615",0.0663900414937759,5.82390723583243,8.07951984559091,2.01714515632937e-08,1.61976756053248e-05,1.61976756053248e-05,"Msx2/Bmp2/Comp/Msx1/Wnt7b/Lum/Sox9/Fgf2/Prkg2/Ext1/Nppc/Hoxc4/Sox5/Hoxb3/Acan/Col10a1",16
"GO:0060485","mesenchyme development","18/292","327/25615",0.055045871559633,4.82876712328767,7.48252433316084,4.72049268536526e-08,3.36938277897627e-05,3.36938277897627e-05,"Msx2/Fgf10/Bmp2/Ednra/Sema3a/Msx1/Wnt7b/Cdh2/Sox9/Agt/Meox1/Tbx20/Tiam1/Nkx2-5/Ext1/Tbx2/Gata4/Pax3",18
"GO:0032526","response to retinoic acid","11/292","110/25615",0.1,8.7722602739726,8.77209982234483,5.49233187703356e-08,3.52827399780636e-05,3.52827399780636e-05,"Mmp2/Krt13/Brinp1/Rorb/Igfbp2/Sox9/Sox2/Aqp3/Tbx2/Gata4/Slc6a4",11
"GO:0141156","cAMP/PKA signal transduction","10/292","89/25615",0.112359550561798,9.85647221794675,8.98745929249889,7.30690770734012e-08,4.26723410108663e-05,4.26723410108663e-05,"Lrrk2/Ednra/Glp1r/Pde3b/Adcy8/Pde3a/Ptger3/Ezr/Crhr1/Pde1a",10
"GO:0045104","intermediate filament cytoskeleton organization","10/292","97/25615",0.103092783505155,9.04356729275526,8.52282950922297,1.66799784880075e-07,8.43853458299663e-05,8.43853458299663e-05,"Nefl/Krt13/Krt18/Dsp/Fam83h/Nefm/Pkp1/Krt19/Ppl/Evpl",10
"GO:0033002","muscle cell proliferation","16/292","282/25615",0.0567375886524823,4.97716894977169,7.21153695871012,1.7692415911701e-07,8.43853458299663e-05,8.43853458299663e-05,"Mmp2/Spon2/Bmp2/Cx3cl1/Ednra/Megf10/Agt/Tbx20/Fgf2/Nkx2-5/Tbx2/Gata4/Ang2/Tafa5/Nppc/Pde1a",16
"GO:0045103","intermediate filament-based process","10/292","98/25615",0.102040816326531,8.9512859938496,8.46853245778824,1.83903306603289e-07,8.43853458299663e-05,8.43853458299663e-05,"Nefl/Krt13/Krt18/Dsp/Fam83h/Nefm/Pkp1/Krt19/Ppl/Evpl",10
"GO:0003207","cardiac chamber formation","5/292","13/25615",0.384615384615385,33.7394625922023,12.6788197208122,2.22161538627545e-07,9.1844118945273e-05,9.1844118945273e-05,"Bmp2/Ednra/Tbx20/Nkx2-5/Tbx2",5
"GO:0001763","morphogenesis of a branching structure","15/292","254/25615",0.0590551181102362,5.18046866573185,7.19003814910814,2.58181694862299e-07,9.1844118945273e-05,9.1844118945273e-05,"Msx2/Fgf10/Bmp2/Lrrk2/Ednra/Sema3a/Sox9/Sox2/Agt/Tbx20/Fgf2/Cpe/Ext1/Tbx2/Ar",15
"GO:0030324","lung development","15/292","254/25615",0.0590551181102362,5.18046866573185,7.19003814910814,2.58181694862299e-07,9.1844118945273e-05,9.1844118945273e-05,"Adamts2/Fgf10/Bmp2/Phex/Itga3/Wnt7b/Sox9/Sox2/Sim2/Fgf2/Stra6/Ext1/Tbx2/Gata4/Hsd11b1",15
"GO:0060047","heart contraction","15/292","256/25615",0.05859375,5.13999625428082,7.14868926497009,2.85524050674792e-07,9.1844118945273e-05,9.1844118945273e-05,"Kcnh2/Ednra/Sema3a/Glp1r/Dsp/Agt/Gnao1/Nkx2-5/Ext1/Tbx2/Gata4/Adm2/Dsc2/Adra1d/Gsn",15
"GO:0042475","odontogenesis of dentin-containing tooth","10/292","103/25615",0.0970873786407767,8.51675754754621,8.20822877601282,2.94642974501368e-07,9.1844118945273e-05,9.1844118945273e-05,"Msx2/Fgf10/Bmp2/Dlx3/Odaph/Msx1/Wnt7b/Wdr72/Lhx8/Dmp1",10
"GO:0030323","respiratory tube development","15/292","257/25615",0.0583657587548638,5.1199962688556,7.12817636515255,3.00153398301123e-07,9.1844118945273e-05,9.1844118945273e-05,"Adamts2/Fgf10/Bmp2/Phex/Itga3/Wnt7b/Sox9/Sox2/Sim2/Fgf2/Stra6/Ext1/Tbx2/Gata4/Hsd11b1",15
"GO:0043524","negative regulation of neuron apoptotic process","14/292","223/25615",0.062780269058296,5.50724860249401,7.2591879395999,3.10547057880772e-07,9.1844118945273e-05,9.1844118945273e-05,"Nefl/Xrcc4/Cx3cl1/Glp1r/Gbe1/Fzd9/Agt/Clu/F2r/Fgf2/Cpe/Nppc/Rad21/Crhr1",14
"GO:0110110","positive regulation of animal organ morphogenesis","7/292","40/25615",0.175,15.3514554794521,9.75417792786962,3.14534653922168e-07,9.1844118945273e-05,9.1844118945273e-05,"Fgf10/Bmp2/Ednra/Msx1/Sox9/Fgf2/Ar",7
"GO:0003015","heart process","15/292","264/25615",0.0568181818181818,4.98423879202989,6.98750813059905,4.23032939550908e-07,0.000118154939290219,0.000118154939290219,"Kcnh2/Ednra/Sema3a/Glp1r/Dsp/Agt/Gnao1/Nkx2-5/Ext1/Tbx2/Gata4/Adm2/Dsc2/Adra1d/Gsn",15
"GO:0031214","biomineral tissue development","13/292","197/25615",0.065989847715736,5.78880119602253,7.24539028088938,4.67772190000858e-07,0.000125207022856896,0.000125207022856896,"Msx2/Bmp2/Spp1/Comp/Odaph/Phex/Otop1/Fzd9/Sox9/Wdr72/Fam83h/Phospho1/Dmp1",13
"GO:0048562","embryonic organ morphogenesis","17/292","345/25615",0.0492753623188406,4.32256303355172,6.67194882074058,5.34747620653927e-07,0.000137408748603233,0.000137408748603233,"Fgf10/Aldh1a3/Foxg1/Ednra/Msx1/Otop1/Sox9/Sox2/Tbx20/Stra6/Nkx2-5/Tbx2/Eya4/Gata4/Clic5/Hoxc4/Hoxb3",17
"GO:0045165","cell fate commitment","16/292","312/25615",0.0512820512820513,4.49859501229364,6.67663312424357,6.85497614280187e-07,0.00016937064131292,0.00016937064131292,"Fgf10/Bmp2/Foxg1/Ednra/Wnt7b/Sox9/Sox2/Tbx20/Fgf2/Nkx2-5/Ext1/Tbx2/Chrdl1/Gata4/Sox5/Pax3",16
"GO:0048863","stem cell differentiation","15/292","277/25615",0.0541516245487365,4.7503214479996,6.73898924203747,7.77162141754775e-07,0.000184907022171581,0.000184907022171581,"Msx2/Ednra/Sema3a/Msx1/Wnt7b/Cdh2/Sox9/Sox2/Meox1/Fgf2/Nkx2-5/Ext1/Tbx2/Sox5/Pax3",15
"GO:0042310","vasoconstriction","10/292","116/25615",0.0862068965517241,7.56229333963155,7.60668812937154,8.94518484176882e-07,0.000202997759001477,0.000202997759001477,"Mmp2/Ptgs1/Comp/Cx3cl1/Ednra/Agt/F2r/Ptger3/Adra1d/Slc6a4",10
"GO:0003014","renal system process","11/292","145/25615",0.0758620689655172,6.65481813887577,7.33264604913555,9.16397106326717e-07,0.000202997759001477,0.000202997759001477,"Xpnpep3/Ednra/Itga3/Agt/Aqp3/F2r/Ptger3/Btc/Ang2/Adm2/Gsn",11
"GO:0015695","organic cation transport","11/292","147/25615",0.0748299319727891,6.5642763954897,7.26511498485254,1.04990352831174e-06,0.00022481934219582,0.00022481934219582,"Ptgs1/Slc5a7/Slc38a4/Slc6a17/Agt/Ptger3/Slc35f2/Slc47a1/Slc25a17/Crhr1/Slc7a3",11
"GO:0008016","regulation of heart contraction","13/292","214/25615",0.0607476635514019,5.32894315708616,6.82866666296649,1.19355743785575e-06,0.000247335902605979,0.000247335902605979,"Kcnh2/Ednra/Sema3a/Glp1r/Dsp/Agt/Gnao1/Nkx2-5/Tbx2/Gata4/Adm2/Dsc2/Adra1d",13
