"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP",107,0.530551451460317,1.65789041190214,0.000233229384745999,0.590653416869242,0.590653416869242,6563,"tags=64%, list=32%, signal=44%","319554/17750/233406/76464/16647/15366/19348/66442/208628/12189/17865/52033/14211/229841/18005/23834/18817/17279/72107/12236/72155/21973/17218/16551/17216/56419/70247/11799/72119/70218/108907/66131/107823/19361/110033/12367/76131/20878/15201/67052/110695/17121/14156/19362/16881/21877/56193/20133/26934/17220/69270/71819/67629/54141/78523/56150/67141/18968/12544/73804/18655/12235/19366/107995/14200/20460/66570/12534/20135",0.518848077743792
"GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP",106,0.539824948617856,1.6491882775611,0.000218608084869142,0.590653416869242,0.590653416869242,5716,"tags=62%, list=28%, signal=45%","17750/108000/76464/16571/15366/19348/108961/66442/17865/52033/14211/229841/18005/240641/68743/23834/18817/17279/18973/17345/12236/72155/21973/12428/72151/11799/16398/72119/12449/70218/107272/20775/75786/19301/13605/19361/110033/17219/16563/12035/26909/21781/13007/12419/76131/20878/16319/22350/17121/14156/19362/208084/16881/21877/71805/20133/26934/71819/67629/54141/97165/56150/26413/18968/12544/14793",0.518848077743792
"GSE36826_WT_VS_IL1R_KO_SKIN_UP","GSE36826_WT_VS_IL1R_KO_SKIN_UP",88,-0.609179752434972,-1.61519587215851,0.000621715547306838,0.787247311777284,0.787247311777284,4757,"tags=38%, list=23%, signal=29%","71706/20148/20229/18636/50878/14964/12524/12767/12577/20044/14999/14998/13170/11816/14969/14960/15018/11433/104086/22371/15013/15006/16531/11770/100504404/17393/11812/14990/19074/15007/16621/15235/11537",0.477270815362862
"HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP","HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP",44,0.600003029840689,1.61045452250291,0.00423495844421277,1,1,6836,"tags=77%, list=33%, signal=52%","108000/76464/19348/108961/12190/17865/229841/68743/17345/12236/21973/242705/12428/11799/72119/209737/70218/108907/218977/52696/21877/71819/73804/68988/12235/13555/107995/22171/17217/66570/12534/20135/12447/66929",0.407017918923954
"GSE3982_CTRL_VS_LPS_1H_NEUTROPHIL_DN","GSE3982_CTRL_VS_LPS_1H_NEUTROPHIL_DN",75,-0.612858253103796,-1.60865454870569,0.00178031774804069,1,1,3653,"tags=29%, list=18%, signal=24%","380713/20266/17988/12518/94332/227659/12652/17929/16572/21942/16149/12266/54634/12032/16175/14555/14161/19692/16426/170761/20273/104158",0.45505986738723
"GSE13522_WT_VS_IFNG_KO_SKING_T_CRUZI_Y_STRAIN_INF_UP","GSE13522_WT_VS_IFNG_KO_SKING_T_CRUZI_Y_STRAIN_INF_UP",21,0.682397426962397,1.60740381289509,0.0155149749707495,1,1,1907,"tags=24%, list=9%, signal=22%","12630/15484/242653/13655/17910",0.380730400722792
"ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP","ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP",57,0.557503608631676,1.59629687379676,0.00414841324437409,1,1,4040,"tags=49%, list=20%, signal=40%","15061/246727/231655/15959/22169/667373/24110/58185/17750/99899/15945/234311/67775/54123/15958/672511/327959/67138/100038882/246730/71586/19106/209086/230073/243771/547253/17858/80285",0.407017918923954
"GSE46025_WT_VS_FOXO1_KO_KLRG1_LOW_CD8_EFFECTOR_TCELL_UP","GSE46025_WT_VS_FOXO1_KO_KLRG1_LOW_CD8_EFFECTOR_TCELL_UP",57,-0.622173577172445,-1.58767874579871,0.00341218680829331,1,1,2316,"tags=19%, list=11%, signal=17%","17472/23792/17751/76074/12862/15465/58991/20511/626578/15494/20342",0.431707695803346
"GSE34156_UNTREATED_VS_24H_NOD2_AND_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_DN","GSE34156_UNTREATED_VS_24H_NOD2_AND_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_DN",32,-0.691232275190301,-1.57821887910384,0.00560237568333,1,1,4349,"tags=44%, list=21%, signal=35%","17349/21990/12363/20522/20266/14293/12556/53422/64706/13828/53604/20254/13615/12561",0.407017918923954
"GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP","GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP",109,0.515294538287196,1.57778258809849,0.000499634420712418,0.787247311777284,0.787247311777284,6852,"tags=67%, list=33%, signal=45%","17750/233406/108000/76464/16571/15366/14938/108961/66442/12190/12189/52033/14211/229841/68298/23834/18817/18973/17345/12236/72155/21973/17218/16551/12428/11799/72119/209737/66131/13605/19361/218977/21781/50493/12419/76131/20878/66471/15201/67052/16319/56452/19362/11845/16881/21877/20133/26934/17220/69270/11746/73699/71819/67629/54141/97165/56150/67141/12544/14793/12321/12235/19366/14200/17217/12534/19082/20135/12447/110611/12306/66929/67103",0.477270815362862
