"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060485","mesenchyme development","40/769","327/25615",0.122324159021407,4.07455570004335,9.84402328462589,5.33833732238793e-14,3.429347895902e-10,3.429347895902e-10,"Radil/Has2/Il1b/Msx2/Tsc2/Fgf10/Bmp2/Sox9/Plaur/Tmem100/Pax3/Nkx2-5/Jag1/Myc/Cdh2/Kbtbd8/Ednra/Arb2a/Thbs1/Isl1/Acvr1/Pdpn/Tbx20/Tbx2/Nfatc1/Epha4/Vegfa/Sema3a/Agt/Tiam1/Smad7/Frzb/Msx1/Foxf1/Gata4/Dlg5/Rock2/Sema7a/Il6/Ext1",40
"GO:2001233","regulation of apoptotic signaling pathway","46/769","444/25615",0.103603603603604,3.45098349324617,9.16548115236777,3.16082821157613e-13,8.55877476669414e-10,8.55877476669414e-10,"Mmp2/Serpine1/Il1b/Tnfaip3/Ackr3/Fgf10/Sh3rf1/Plaur/Cd44/Ier3/Hgf/Tnfrsf22/Myc/Atf3/Ghitm/Pparg/Thbs1/Acvr1/Cpe/Fgf2/Skil/Hspa1b/Vegfa/Tnfrsf12a/Bdkrb2/Cth/Mapk8ip1/Nr4a2/Agt/Cx3cl1/Hspa1a/Itprip/Bdnf/Lrrk2/Rps7/Hspb1/Agap2/Msx1/Ptgs2/Plagl2/Eya4/Unc5b/Ar/Gata4/Klf4/Tnfsf11",46
"GO:2001234","negative regulation of apoptotic signaling pathway","34/769","256/25615",0.1328125,4.42391701885566,9.68614092901037,3.99693715754707e-13,8.55877476669414e-10,8.55877476669414e-10,"Serpine1/Il1b/Tnfaip3/Ackr3/Fgf10/Sh3rf1/Plaur/Cd44/Ier3/Hgf/Tnfrsf22/Ghitm/Acvr1/Cpe/Fgf2/Hspa1b/Vegfa/Bdkrb2/Cth/Mapk8ip1/Nr4a2/Cx3cl1/Hspa1a/Itprip/Bdnf/Lrrk2/Hspb1/Agap2/Ptgs2/Eya4/Unc5b/Ar/Gata4/Klf4",34
"GO:0050767","regulation of neurogenesis","47/769","469/25615",0.100213219616205,3.33805152206643,8.99041366765571,5.83970018019094e-13,9.37855848938664e-10,9.37855848938664e-10,"Rest/Il1b/Caprin2/Tsc2/Nefl/Bmp2/Map2/Sgk1/Bhlhe40/Flt1/Myc/Brinp1/Cdh2/Id4/Prl2c2/Runx2/Cers2/Pparg/Map1b/Obsl1/Lif/Ifrd1/Il6st/Skil/Epha4/Vegfa/Zfp365/Bhlhe41/Tnfrsf12a/Foxg1/Plxna3/Prune1/Sema3a/Cx3cl1/Tiam1/Bdnf/Egr2/Lpar3/Clcf1/Kctd11/Slit2/Man2a1/Ngf/Sema7a/Il6/Jade2/Star",47
"GO:0048762","mesenchymal cell differentiation","34/769","262/25615",0.129770992366412,4.32260594208797,9.51017343002692,7.8301091042119e-13,1.00601241770915e-09,1.00601241770915e-09,"Radil/Has2/Il1b/Msx2/Tsc2/Fgf10/Bmp2/Sox9/Plaur/Tmem100/Pax3/Jag1/Cdh2/Kbtbd8/Ednra/Arb2a/Isl1/Acvr1/Pdpn/Tbx20/Nfatc1/Epha4/Vegfa/Sema3a/Agt/Tiam1/Smad7/Frzb/Msx1/Dlg5/Rock2/Sema7a/Il6/Ext1",34
"GO:0048511","rhythmic process","40/769","357/25615",0.112044817927171,3.73215606138424,9.14563286388537,9.49083769190504e-13,1.01615235554663e-09,1.01615235554663e-09,"Mmp2/Has2/Tnfaip6/Noct/Bhlhe40/Nmu/Clock/Mmp19/Lepr/Rorb/Id4/Cdk5r1/Klf9/Pparg/Sik1/Nppc/Prkg2/Per1/Bhlhe41/Ptx3/Agt/Egr1/Bdnf/Crem/Scn9a/Ereg/Has1/Ptger3/Ntrk1/Prokr2/Nrip1/Nfil3/Ngf/Gpr149/Rock2/Adamts1/Il6/Adcy1/Star/Afp",40
"GO:0033002","muscle cell proliferation","35/769","282/25615",0.124113475177305,4.13415691374079,9.31055587117431,1.34128607233658e-12,1.23091738981288e-09,1.23091738981288e-09,"Mmp2/Tnfaip3/Bmp2/Cxadr/Flt1/Megf10/Nkx2-5/Myc/Ednra/Hbegf/Tafa5/Npr3/Pparg/Nr4a3/Thbs1/Nppc/Fgf2/Tbx20/Tbx2/Vegfa/Hmgcr/Agt/Cx3cl1/Egr1/Trib1/Ereg/Ptgs2/Ang2/Cdkn1a/Pde1a/Sav1/Gata4/Adamts1/Il6/Klf4",35
"GO:0001763","morphogenesis of a branching structure","33/769","254/25615",0.12992125984252,4.32761127550864,9.37648127269048,1.64979417267133e-12,1.32478472065507e-09,1.32478472065507e-09,"Il1b/Msx2/Fgf10/Bmp2/Socs3/Sox9/Cd44/Flt1/Hgf/Myc/Rspo3/Ednra/Fgf7/Acvr1/Cpe/Fgf2/Tbx20/Tbx2/Nfatc1/Vegfa/Vdr/Ddr1/Areg/Sema3a/Agt/Lrrk2/Slit2/Foxf1/Epha2/Ar/Dlg5/Il6/Ext1",33
"GO:0048771","tissue remodeling","31/769","236/25615",0.13135593220339,4.37539948425206,9.16468537928906,5.85223972705109e-12,4.17719866739736e-09,4.17719866739735e-09,"Mmp2/Cd38/Tsc2/Klf6/Fgf10/Ltbp3/F2r/Jag1/Lepr/Rspo3/Ednra/Npr3/Pparg/Ptk2b/Nppc/Lif/Spp1/Vegfa/Vdr/Fosl2/Agt/Pdk4/Gpr137b/Timp1/Epha2/Gata4/Rock2/Il6/Dusp18/Ext1/Tnfsf11",31
"GO:0050673","epithelial cell proliferation","46/769","485/25615",0.0948453608247423,3.15925086804392,8.44600550035067,7.10761220682113e-12,4.5659300816619e-09,4.5659300816619e-09,"Has2/Tsc2/Tnfaip3/Fgf10/Sox9/Cxadr/Flt1/Hgf/Myc/Tgfa/Egr3/Ednra/Klf9/Pparg/Nr4a3/Bmper/Thbs1/Fgf7/Isl1/Fgf2/Tbx2/Vegfa/Vdr/Areg/Nr4a1/Prkd1/Rap1gap/Klk8/Ereg/Col8a1/Ptprk/Zfp36/Prkx/Agap2/Ang2/Epha2/Slurp1/Cdkn1a/Nr2f2/Ar/Fap/Sav1/Cebpb/Il6/Errfi1/Tnfsf11",46
