"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035456","response to interferon-beta","26/688","77/25615",0.337662337662338,12.5715418302628,16.894333605599,5.76872812170592e-22,3.70583094538388e-18,3.70583094538388e-18,"Shfl/Ifi211/Igtp/Bst2/Ifit3/Ifi47/Irgm1/Ifi204/Ifi203/Gbp3/Irgm2/Mndal/Oas1a/Ifi209/Oas1g/Ifi206/Xaf1/Ifi208/Oas1b/Stat1/Oas1c/Gm5431/Gbp7/Ifi213/Ifit1/Irf1",26
"GO:0035458","cellular response to interferon-beta","23/688","67/25615",0.343283582089552,12.7808269698022,16.0410443605532,9.01666687366198e-20,2.89615339982023e-16,2.89615339982023e-16,"Ifi211/Igtp/Ifit3/Ifi47/Irgm1/Ifi204/Ifi203/Gbp3/Irgm2/Mndal/Oas1a/Ifi209/Oas1g/Ifi206/Ifi208/Oas1b/Stat1/Oas1c/Gm5431/Gbp7/Ifi213/Ifit1/Irf1",23
"GO:0009615","response to virus","51/688","443/25615",0.115124153498871,4.28619940679301,11.5913716146536,2.09069453026344e-18,4.47687388747079e-15,4.47687388747079e-15,"Lgals9/Ifi44/Rtp4/Shfl/Parp9/Igtp/Map3k14/Trim12c/Bst2/Slfn9/Rnf26/Mapk11/Ifit3/Oasl2/Ifit2/Oasl1/Tnfsf4/Rigi/Irgm1/Ccl5/Ifit3b/Cxcl10/Zbp1/Mx2/Irf7/Trim30a/Acta2/Gli2/Ncr1/Mx1/Isg20/Irgm2/Oas1a/Apobec3/Ifi27l2a/Dtx3l/Rnase6/Oas1g/Rsad2/Isg15/Oas1b/Usp18/Stat1/Oas1c/Dhx58/Oas2/Stat2/Gbp7/Ifit1/Oas3/Irf1",51
"GO:0051607","defense response to virus","43/688","349/25615",0.123209169054441,4.58721346704871,11.2098449017444,8.77836442144863e-17,1.40980532608465e-13,1.40980532608465e-13,"Rtp4/Shfl/Parp9/Igtp/Map3k14/Trim12c/Bst2/Slfn9/Rnf26/Ifit3/Oasl2/Ifit2/Oasl1/Rigi/Irgm1/Ccl5/Ifit3b/Cxcl10/Zbp1/Mx2/Irf7/Trim30a/Ncr1/Isg20/Irgm2/Oas1a/Apobec3/Dtx3l/Rnase6/Oas1g/Rsad2/Isg15/Oas1b/Usp18/Stat1/Oas1c/Dhx58/Oas2/Stat2/Gbp7/Ifit1/Oas3/Irf1",43
"GO:0002218","activation of innate immune response","42/688","377/25615",0.111405835543767,4.1477623218802,10.2292326135001,7.26917339872144e-15,8.99983167819023e-12,8.99983167819023e-12,"Tasl/Tlr6/Ifi211/Igtp/Trim12c/Mapk11/Tspan6/Oasl1/Letmd1/Cav1/Rigi/Irgm1/Ifi204/Gsdmd/Nlrx1/Ifi203/Zbp1/Irf7/Trim30a/Masp1/Rnf144a/Tril/Gbp3/Irgm2/Mndal/Oas1a/Nlrc4/Ifi209/Oas1g/Ifi206/Ifi208/Rsad2/Oas1b/Oas1c/Dhx58/Ipo5/Ffar2/Gbp7/Ifi213/Inava/Oas3/Irf1",42
"GO:0002833","positive regulation of response to biotic stimulus","48/688","485/25615",0.0989690721649484,3.68472788300168,9.91682873985684,8.40582037190868e-15,8.99983167819023e-12,8.99983167819023e-12,"Lgals9/Emilin1/Tasl/Tlr6/Parp9/Mr1/Ifi211/Igtp/Trim12c/Mapk11/Tspan6/Oasl1/Letmd1/Cav1/Gzmb/Rigi/Irgm1/Ifi204/Gsdmd/Nlrx1/Ifi203/Zbp1/Gzmc/Irf7/Trim30a/Masp1/Rnf144a/Tril/Gbp3/Irgm2/Mndal/Oas1a/Nlrc4/Ifi209/Oas1g/Ifi206/Ifi208/Rsad2/Oas1b/Oas1c/Dhx58/Ipo5/Ffar2/Gbp7/Ifi213/Inava/Oas3/Irf1",48
"GO:0045071","negative regulation of viral genome replication","17/688","53/25615",0.320754716981132,11.9420524352786,13.2476005963296,2.12840949282905e-14,1.95327179741912e-11,1.95327179741912e-11,"Shfl/Bst2/Oasl2/Oasl1/Ccl5/Mx2/Isg20/Oas1a/Apobec3/Prox1/Oas1g/Rsad2/Isg15/Oas1b/Oas1c/Oas2/Oas3",17
"GO:0048525","negative regulation of viral process","20/688","82/25615",0.24390243902439,9.08075723199092,12.1760375289958,3.7999337743313e-14,3.05134682078803e-11,3.05134682078803e-11,"Shfl/Bst2/Oasl2/Oasl1/Ccl5/Mx2/Isg20/Oas1a/Apobec3/Prox1/Sp100/Oas1g/Rsad2/Isg15/Oas1b/Stat1/Oas1c/Oas2/Ifit1/Oas3",20
"GO:0045089","positive regulation of innate immune response","44/688","454/25615",0.0969162995594714,3.60830089130212,9.31578768897916,2.37279635381081e-13,1.69364930854229e-10,1.69364930854229e-10,"Lgals9/Tasl/Tlr6/Parp9/Ifi211/Igtp/Trim12c/Mapk11/Tspan6/Oasl1/Letmd1/Cav1/Rigi/Irgm1/Ifi204/Gsdmd/Nlrx1/Ifi203/Zbp1/Irf7/Trim30a/Masp1/Rnf144a/Tril/Gbp3/Irgm2/Mndal/Oas1a/Nlrc4/Ifi209/Oas1g/Ifi206/Ifi208/Rsad2/Oas1b/Oas1c/Dhx58/Ipo5/Ffar2/Gbp7/Ifi213/Inava/Oas3/Irf1",44
"GO:0050792","regulation of viral process","24/688","157/25615",0.152866242038217,5.69137905495482,9.79571462675962,5.9512633319348e-12,3.82309156443491e-09,3.82309156443491e-09,"Cd209a/Shfl/Trim12c/Bst2/Oasl2/Oasl1/Ccl5/Mx2/Trim30a/Isg20/Oas1a/Apobec3/Prox1/Sp100/Oas1g/Rsad2/Isg15/Oas1b/Stat1/Oas1c/Oas2/Gbp7/Ifit1/Oas3",24
"GO:0045069","regulation of viral genome replication","18/688","85/25615",0.211764705882353,7.88423392612859,10.5617914927792,9.56457321158848e-12,5.58571075556767e-09,5.58571075556767e-09,"Shfl/Bst2/Oasl2/Oasl1/Ccl5/Mx2/Isg20/Oas1a/Apobec3/Prox1/Oas1g/Rsad2/Isg15/Oas1b/Oas1c/Oas2/Gbp7/Oas3",18
"GO:1903900","regulation of viral life cycle","21/688","124/25615",0.169354838709677,6.30526772318079,9.83835809375312,1.69316444343619e-11,9.06407365386172e-09,9.06407365386172e-09,"Cd209a/Shfl/Trim12c/Bst2/Oasl2/Oasl1/Ccl5/Mx2/Trim30a/Isg20/Oas1a/Apobec3/Prox1/Oas1g/Rsad2/Isg15/Oas1b/Oas1c/Oas2/Gbp7/Oas3",21
"GO:0070106","interleukin-27-mediated signaling pathway","9/688","15/25615",0.6,22.3386627906977,13.7338013764559,2.99318948933139e-11,1.47909609842037e-08,1.47909609842037e-08,"Oasl2/Oasl1/Oas1a/Oas1g/Oas1b/Stat1/Oas1c/Oas2/Oas3",9
"GO:0140374","antiviral innate immune response","18/688","93/25615",0.193548387096774,7.20602025506377,9.96082306301264,4.72559751522235e-11,2.16837417412774e-08,2.16837417412774e-08,"Ifit3/Oasl2/Ifit2/Oasl1/Rigi/Ifit3b/Cxcl10/Zbp1/Oas1a/Apobec3/Oas1g/Oas1b/Usp18/Oas1c/Dhx58/Oas2/Ifit1/Oas3",18
"GO:0140888","interferon-mediated signaling pathway","20/688","122/25615",0.163934426229508,6.10345977887915,9.38711316773171,9.46167534725335e-11,4.05212016205037e-08,4.05212016205037e-08,"Parp9/Igtp/Oasl2/Oasl1/Irgm1/Zbp1/Irf7/Irgm2/Oas1a/Oas1g/Isg15/Oas1b/Usp18/Parp14/Stat1/Oas1c/Oas2/Stat2/Oas3/Irf1",20
"GO:0019079","viral genome replication","18/688","110/25615",0.163636363636364,6.09236257928118,8.89202984374425,8.45729092841406e-10,3.39560230775825e-07,3.39560230775825e-07,"Shfl/Bst2/Oasl2/Oasl1/Ccl5/Mx2/Isg20/Oas1a/Apobec3/Prox1/Oas1g/Rsad2/Isg15/Oas1b/Oas1c/Oas2/Gbp7/Oas3",18
"GO:0034340","response to type I interferon","17/688","109/25615",0.155963302752294,5.80668604651163,8.35479393578515,5.30480689356689e-09,2.00459291083963e-06,2.00459291083963e-06,"Shfl/Oasl2/Oasl1/Zbp1/Mx2/Irf7/Oas1a/Sp100/Oas1g/Isg15/Oas1b/Usp18/Stat1/Oas1c/Oas2/Stat2/Oas3",17
