"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP","GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP",75,-0.7091131742006,-2.18592695915841,1.33357234351206e-09,3.37727195994429e-06,3.37727195994429e-06,2594,"tags=57%, list=13%, signal=50%","216850/20971/20893/54199/18030/21929/14284/15200/11504/15936/12795/50778/12608/211770/14281/13537/16477/16600/15937/19252/13653/12227/22695/19225/330122/12609/16175/17750/16193/193740/11910/18227/16878/319520/14825/20310/20393/18787/240672/13654/15370/14282/18124",0.788186810800237
"GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP","GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP",73,-0.694075838434633,-2.15893386735445,2.08775575745897e-08,2.64362072788243e-05,2.64362072788243e-05,2807,"tags=51%, list=14%, signal=44%","11541/20515/216850/54199/14823/14284/15200/11504/15936/50778/12608/211770/14281/12156/16477/15937/19252/13653/12227/22695/19225/12609/16175/21930/193740/11910/18227/171180/20393/18787/240672/20339/13654/15370/14282/18124/13655",0.73376198835648
"GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP","GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP",69,-0.693010334039656,-2.15077279129999,8.45791726814445e-08,4.75992788479463e-05,4.75992788479462e-05,3286,"tags=61%, list=16%, signal=51%","21664/17872/18263/384783/21928/56696/216850/20971/54199/18030/21929/14284/11504/15936/12795/26556/12608/14281/15937/13653/12227/22695/19225/330122/12609/21930/16193/193740/11910/18227/11839/16878/319520/14825/20310/18787/240672/13654/15370/14282/18124/13655",0.704975715167238
"NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_DN","NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_DN",112,-0.658143890109392,-2.14911015761745,1.90799074817077e-10,9.66397313948494e-07,9.66397313948494e-07,4764,"tags=50%, list=23%, signal=39%","319554/170742/170768/216799/231207/17210/17261/14182/12703/56200/225363/21815/229055/18024/338523/76073/16658/56190/17872/27362/11852/231070/18413/18793/12575/18030/16176/14284/15200/50778/17691/211770/14281/16477/12702/16600/19252/13653/21825/12227/19288/22695/19225/12522/22339/11910/18227/11839/14825/15006/240672/13654/15370/14282/18124/13655",0.826657301178302
"GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN","GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN",97,0.65197035042069,2.08920962067671,4.32996047377497e-08,4.16359655847948e-05,4.16359655847948e-05,3837,"tags=54%, list=19%, signal=44%","99899/22169/209588/246727/15959/67775/54123/231655/24110/100038882/17858/58185/71939/246728/667373/246730/547253/67138/23960/327959/209086/22035/80861/19039/18710/230073/20847/80285/234311/140781/15945/15958/74153/672511/58203/20846/667823/16362/319236/57444/21354/68810/74157/15061/229003/14345/26377/16909/11596/108670/20821/12370",0.719512826338911
"GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP","GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP",97,-0.645389392928392,-2.08314330093506,1.92542166436846e-08,2.64362072788243e-05,2.64362072788243e-05,3395,"tags=46%, list=16%, signal=39%","12476/56221/17872/17869/330192/14579/12778/18793/52118/216850/20971/54199/14284/15200/11504/12795/26556/12608/17691/14281/15476/56277/16477/15937/19252/13653/21825/12227/18626/22695/19225/12263/12609/16175/11910/18227/14825/20393/18787/240672/13654/15370/14282/15360/18124",0.73376198835648
"HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_3DY_POSITIVE","HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_3DY_POSITIVE",116,-0.615479332207634,-2.05495080009388,4.93219730520768e-08,4.16359655847948e-05,4.16359655847948e-05,5653,"tags=57%, list=27%, signal=42%","110920/16179/21847/67665/23872/20527/13709/12454/56442/16151/14081/107939/170768/11820/26419/80859/17713/110157/264064/67452/12703/15251/56200/20539/229055/11622/11774/75788/11984/230738/223775/17872/20482/14579/18035/384783/14283/268903/12457/12575/27279/20893/18030/16176/21929/14284/15200/15936/12608/17691/12702/16600/15937/13653/18626/22695/16175/108078/20649/21930/16193/22339/14042/22113/18124/12672",0.719512826338911
"GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_UP",109,0.620862840678245,2.01519448098439,6.51161037750566e-08,4.26044762508704e-05,4.26044762508704e-05,4077,"tags=56%, list=20%, signal=45%","12630/99899/22169/13206/209588/246727/15959/67775/54123/231655/24110/100038882/17858/58185/246728/667373/246730/55932/667034/547253/67138/23960/327959/209086/22035/80861/230073/20847/14939/80285/12515/15945/15958/14460/27007/74153/672511/58203/20846/243771/667823/16362/319236/16912/236573/57444/15018/21354/16913/74157/56791/56720/15061/229003/12642/14469/20191/20821/15040/142980/71529",0.704975715167238
"GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP","GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP",94,-0.615623330817924,-1.97911431635007,1.77078541947354e-06,0.000689925242279499,0.000689925242279499,4152,"tags=44%, list=20%, signal=35%","52187/225363/21815/14066/16323/24056/112407/29810/21664/14579/14283/71839/16956/18793/192657/76650/12575/15200/69065/20750/26556/50778/12608/19016/211770/17748/13537/21824/19252/13653/19225/326623/11910/18227/319520/14825/20393/240672/13654/15370/13655",0.643551836150722
"GSE45365_NK_CELL_VS_CD11B_DC_DN","GSE45365_NK_CELL_VS_CD11B_DC_DN",112,-0.595595556641147,-1.94486415485306,3.17861115535011e-07,0.000160996655018483,0.000160996655018483,4294,"tags=45%, list=21%, signal=36%","17112/64292/12700/12524/20539/66681/16658/99929/18049/18578/12985/21664/21857/18035/12505/14283/18413/20515/21928/216850/20971/12457/18030/16176/21929/13340/14284/15200/12608/12475/14281/16477/15937/19252/13653/12227/19288/22695/330122/108078/14313/16193/20202/16878/15116/14825/20310/18787/240672/20339",0.674962860011025
