"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050727","regulation of inflammatory response","24/215","434/25615",0.0552995391705069,6.5883613760583,10.8027402790803,3.45984859983357e-13,2.22260674053309e-09,2.22260674053309e-09,"Tnfaip6/Tnfaip3/Cd44/Osm/Hgf/Ier3/Serpine1/Sema7a/Il6/Hpse/Nlrp12/Nr4a3/Il1rl1/Lrrk2/Zfp36/Nfkbia/Clcf1/Tac1/Nfkbiz/Nlrp3/Ptgs2/Agt/Il1b/Socs3",24
"GO:0060326","cell chemotaxis","20/215","330/25615",0.0606060606060606,7.22057787174066,10.463989527342,6.7887878268211e-12,2.00446230155106e-08,2.00446230155106e-08,"Tnfaip6/Cxcl2/Hbegf/Trem1/F2rl1/Hgf/Padi2/Egr3/Serpine1/Gpr35/Dusp1/Pip5k1a/Thbs1/Tiam1/Nr4a1/Cxcl1/Pde4d/Vegfa/Il1b/Ptk2b",20
"GO:0050878","regulation of body fluid levels","21/215","385/25615",0.0545454545454545,6.4985200845666,10.0013500849641,1.44812841712648e-11,2.00446230155106e-08,2.00446230155106e-08,"Has2/F2rl1/Aqp5/Vdr/Serpine1/Il6/Hpse/Ano1/Btc/Thbs1/Prl2c2/Ext1/Aqp3/Thbd/Tfpi2/Slc22a4/Hk2/Vegfa/Sytl2/Plaur/Fosl2",21
"GO:0006935","chemotaxis","23/215","476/25615",0.0483193277310924,5.75674223177643,9.63785014222115,1.72106775308886e-11,2.00446230155106e-08,2.00446230155106e-08,"Tnfaip6/Cxcl2/Hbegf/Trem1/F2rl1/Hgf/Padi2/Egr3/Serpine1/Gpr35/Sema7a/Dusp1/Sema3a/Pip5k1a/Ccn1/Thbs1/Tiam1/Nr4a1/Cxcl1/Pde4d/Vegfa/Il1b/Ptk2b",23
"GO:0042327","positive regulation of phosphorylation","23/215","476/25615",0.0483193277310924,5.75674223177643,9.63785014222115,1.72106775308886e-11,2.00446230155106e-08,2.00446230155106e-08,"Sox9/Hbegf/Osm/Ereg/Sema7a/Il6/Il11/Tom1l1/Lif/Thbs1/Areg/Tiam1/Il1rn/Rasa1/Sdc4/Cdkn1a/Pde4d/Cd80/Vegfa/Agt/Il1b/Plaur/Ptk2b",23
"GO:0042330","taxis","23/215","478/25615",0.0481171548117155,5.73265544419578,9.60955301896704,1.87216279721457e-11,2.00446230155106e-08,2.00446230155106e-08,"Tnfaip6/Cxcl2/Hbegf/Trem1/F2rl1/Hgf/Padi2/Egr3/Serpine1/Gpr35/Sema7a/Dusp1/Sema3a/Pip5k1a/Ccn1/Thbs1/Tiam1/Nr4a1/Cxcl1/Pde4d/Vegfa/Il1b/Ptk2b",23
"GO:0070371","ERK1 and ERK2 cascade","20/215","356/25615",0.0561797752808989,6.69323229683825,9.95214972539443,2.67160616081015e-11,2.43289922254342e-08,2.43289922254342e-08,"Sox9/Hmgcr/Cd44/F2rl1/Atf3/Klf4/Sema7a/Il6/Dusp1/Nlrp12/Ccn1/Lif/Clcf1/Tiam1/Dusp4/Errfi1/Vegfa/Agt/Il1b/Ptk2b",20
"GO:0001934","positive regulation of protein phosphorylation","22/215","446/25615",0.0493273542600897,5.87683804359162,9.55903070072267,3.2676736014939e-11,2.43289922254342e-08,2.43289922254342e-08,"Sox9/Hbegf/Osm/Ereg/Sema7a/Il6/Il11/Tom1l1/Lif/Areg/Tiam1/Il1rn/Rasa1/Sdc4/Cdkn1a/Pde4d/Cd80/Vegfa/Agt/Il1b/Plaur/Ptk2b",22
"GO:0033002","muscle cell proliferation","18/215","282/25615",0.0638297872340425,7.6046511627907,10.260586862498,3.40848272149608e-11,2.43289922254342e-08,2.43289922254342e-08,"Hmgcr/Hbegf/Tnfaip3/Megf10/Ereg/Klf4/Il6/Nr4a3/Trib1/Thbs1/Egr1/Tbx20/Fos/Cdkn1a/Ptgs2/Pde4d/Vegfa/Agt",18
"GO:0007160","cell-matrix adhesion","17/215","252/25615",0.0674603174603175,8.03719084533038,10.3285739388567,5.14015178947598e-11,3.30203350955937e-08,3.30203350955937e-08,"Trem1/Arhgap6/Jag1/Serpine1/Hpse/Pip5k1a/Thbs1/Fmn1/Tiam1/Rasa1/Sdc4/Itga3/Vegfa/Agt/Itgb4/Plaur/Ptk2b",17
