"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP","GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP",75,0.772897543146737,2.37477068712969,1e-10,1.28960141109058e-07,1.28960141109058e-07,2193,"tags=63%, list=11%, signal=56%","20310/14282/18124/15370/14825/18787/16193/240672/13654/330122/16878/11910/20393/22695/18227/319520/13653/16153/193740/14281/50778/19225/17750/211770/12227/19252/15937/16477/15200/16600/20893/13537/16175/54199/12795/21929/80859/15936/14284/18030/216850/12519/11504/12477/12609/21664/12608",NA
"NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_DN","NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_DN",112,0.692866660649224,2.30683000735878,1e-10,1.28960141109058e-07,1.28960141109058e-07,3357,"tags=42%, list=16%, signal=35%","14282/18124/15370/13655/14825/15006/240672/13654/11910/22695/18227/11839/13653/14281/50778/18413/19225/211770/21825/16176/12227/19252/22339/12522/12702/16477/15200/16600/12575/17691/19288/14284/18030/18793/319554/216799/231207/110168/170768/231070/16658/225363/18024/17872/338523/59069/229055",NA
"GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP","GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP",69,0.749859636716326,2.27078258719433,2.1401433571354e-10,2.07562309294901e-07,2.07562309294901e-07,2193,"tags=57%, list=11%, signal=51%","20310/14282/18124/15370/13655/14825/18787/16193/240672/13654/330122/16878/11910/22695/18227/11839/319520/13653/21930/193740/14281/19225/12227/15937/54199/26556/12795/21929/80859/56696/15936/14284/18030/216850/11504/12477/12609/21664/12608",0.826657301178302
"GSE45365_NK_CELL_VS_CD11B_DC_DN","GSE45365_NK_CELL_VS_CD11B_DC_DN",112,0.671955313524473,2.23720777586554,2.45878352570466e-10,2.07562309294901e-07,2.07562309294901e-07,2798,"tags=40%, list=14%, signal=35%","20310/14825/18787/16193/240672/330122/16878/22695/15116/13653/14281/18413/16176/12227/19252/15937/12457/16477/20339/15200/108078/20202/12475/20303/19288/12985/21929/80859/20515/14284/14313/18030/216850/21664/21857/12608/12505/18035/14283/20971/13340/18578/99929/21928/16658",0.814035837847908
"GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP","GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP",115,0.679503556649406,2.23620105650949,1e-10,1.28960141109058e-07,1.28960141109058e-07,2699,"tags=46%, list=13%, signal=40%","20310/18124/15370/58860/13655/14825/16193/240672/330122/13874/18227/11839/15116/13653/21930/16153/74155/50778/19225/16176/12227/19252/15937/12522/12457/12702/13537/20303/19288/56708/16175/12985/54199/12795/21929/80859/22113/21926/192657/18793/56193/18035/216799/230738/14283/16323/20971/18578/64008/60533/83814/170768/19696",NA
"GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP","GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP",73,0.72210327204835,2.23012870604666,3.84591859778183e-09,1.9479577697765e-06,1.9479577697765e-06,2193,"tags=48%, list=11%, signal=43%","14282/18124/15370/13655/18787/240672/13654/11910/20393/22695/18227/13653/21930/193740/14281/50778/19225/211770/12227/19252/15937/16477/20339/15200/16175/54199/20515/15936/14284/11541/216850/11504/12609/21664/12608",0.761460801445585
"GSE27434_WT_VS_DNMT1_KO_TREG_DN","GSE27434_WT_VS_DNMT1_KO_TREG_DN",128,0.645597806607583,2.15845950749421,1.01844139079217e-10,1.28960141109058e-07,1.28960141109058e-07,3142,"tags=39%, list=15%, signal=33%","20310/15370/14825/18787/13654/18788/20393/22695/13653/16153/14281/74155/19225/16176/12227/19252/12522/12702/16477/17329/20893/13537/12475/12575/16175/80859/20515/17082/15936/17123/21926/20344/15982/21664/50790/18793/19073/18035/20292/16323/22330/20524/231207/22235/21928/225363/17869/14115/20306/18024",0.839088935621274
"GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP","GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP",94,0.668745134455463,2.15243618317638,1.69669156259911e-08,5.72916184304299e-06,5.72916184304299e-06,4216,"tags=48%, list=20%, signal=38%","15370/13655/14825/240672/13654/11910/20393/18227/319520/13653/50778/19225/211770/19252/15200/13537/12575/17748/26556/76650/21926/192657/21664/12608/18793/21824/14283/16323/20750/29810/108143/225363/19016/22217/20527/69065/16476/22271/14066/14579/19267/218952/21847/21815/23872",0.73376198835648
"GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_DN","GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_DN",106,0.656648731034649,2.15164399339391,3.44317520984755e-09,1.93774249309754e-06,1.93774249309754e-06,2236,"tags=31%, list=11%, signal=28%","14282/18124/15370/18787/16193/240672/11910/22695/16153/14281/19225/12227/19252/15937/16477/16600/20893/12475/16175/54199/12795/21929/52118/80859/15936/14284/18030/216850/11504/12609/18626/12608/18793",0.774939030136436
"GSE46606_UNSTIM_VS_CD40L_IL2_IL5_1DAY_STIMULATED_IRF4HIGH_SORTED_BCELL_DN","GSE46606_UNSTIM_VS_CD40L_IL2_IL5_1DAY_STIMULATED_IRF4HIGH_SORTED_BCELL_DN",106,0.649790202206784,2.1291706196424,7.31821139132254e-09,2.76008026274941e-06,2.76008026274941e-06,3942,"tags=55%, list=19%, signal=45%","20310/18124/16193/240672/18788/16878/22695/11839/13653/74155/50778/11847/19225/211770/16176/19252/15937/12702/13537/12575/20303/56708/54199/21929/80859/16992/16008/11541/216850/21926/15982/21664/56193/19073/319554/18035/230738/14283/18578/15258/18263/21928/12569/54483/17872/384783/13836/12675/22390/14782/17210/16476/17246/105675/15939/13204/14579/67035",0.761460801445585
