"cell_type","WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1_WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1","WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1_WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1","WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1_WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1","WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1_WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1","WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1_WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1","WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1_WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1","WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1_WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1","KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1_KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1","KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1_KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1","KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1_KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1","KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1_KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1","KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1_KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1","KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1_KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1","KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1_KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1"
"T cells",19.2203441297928,10.9769750587953,26.0299331282938,28.8431615915867,18.3675510243062,12.6792526204878,14.4889895796554,44.1910617776527,26.6360047055602,37.9846505013265,45.5665729413361,11.0216438765518,45.9834086545733,11.1672572777661
"CD8 T cells",28.2652119555776,8.98116141174163,20.9918815550757,33.6503551901845,5.80027927083353,6.33962631024388,7.67064154217051,17.4708848888394,17.0470430115585,28.4884878759948,22.7832864706681,27.0531258788091,43.793722528165,8.37544295832459
"NK cells",3.95712967378087,3.49267388234397,3.35870104881211,11.5372646366347,5.31692266493074,3.69811534764226,2.98302726639964,3.59694688887871,14.3834425410025,4.74808131266581,10.8963543990152,5.51082193827592,9.30616603723507,5.11832625230947
"B derived",3.39182543466931,4.98953411763424,5.87772683542118,3.84575487887823,4.83356605902795,3.16981315512194,4.26146752342806,8.22159288886562,8.52352150577926,8.44103344473921,4.95288836318871,14.0275467519751,9.85358756883713,6.51423341203024
"Monocytes / macrophages",1105.7350917022,706.518031057008,1026.9228456743,1363.32010456233,1005.38174027781,1192.90635071089,1144.63017679278,1473.72052532916,1232.71429777333,1412.81797281323,1282.79808606588,1399.74877232208,1433.1495697342,1169.770199846
"Monocytes",4.52243391289242,10.9769750587953,8.39675262203026,16.3444582352325,0.966713211805589,15.8490657756097,17.8981635983979,13.3600884444066,20.2433635762257,9.49616262533161,12.8775097442906,5.00983812570539,7.66390144242888,11.1672572777661
"Mast cells",0,6.98534776468793,4.19837631101513,2.88431615915867,16.434124600695,0,2.55688051405684,8.22159288886562,7.45808131755685,1.0551291805924,21.7927087980303,3.00590287542323,8.75874450563301,6.51423341203024
"Eosinophils",5.65304239111552,2.99372047058054,0,1.92287743943911,1.93342642361118,0,3.40917401874245,11.3046902221902,4.26176075288963,13.7166793477012,9.90577672637742,0,8.75874450563301,0
"Basophils",52.0079899982628,44.9058070587081,29.3886341771059,44.2261811070996,28.0346831423621,34.8679447063413,14.4889895796554,30.8309733332461,40.4867271524515,47.4808131266581,26.745597161219,25.0491906285269,13.1381167584495,29.7793527407097
"Vessels",574.349106937337,369.225524704934,582.7346319689,370.153907092029,435.987658524321,435.321006636746,550.581604026906,527.209643998508,877.922715095264,989.711171395673,613.167579362762,796.564261987156,598.879155572657,619.78277891602
"Lymphatics",4.52243391289242,6.98534776468793,9.6562655153348,10.5758259169151,30.4514661718761,23.2452964708942,10.6536688085702,22.0955308888263,18.6452032938921,10.0237272156278,38.6325292328719,19.538368690251,20.8020182008784,18.1467930763699
"Endothelial cells",66.7059002151632,50.8932479998692,117.134699077322,67.3007103803689,72.5034908854192,60.2264499473168,87.7862309826181,68.3419908886954,116.665700610354,168.293104304488,104.505944463282,141.778418957462,74.4493282978805,93.5257797012913
"Fibroblasts",162.807620864127,135.715327999651,124.691776437149,137.005017560037,163.857889401047,125.207619627317,125.287145188785,87.3544244441972,153.956107198138,135.056535115827,129.765675115544,175.845318212259,114.958521636433,74.4483818517741
