"cell_type","group","n","mean_score","median_score","sd_score"
"B derived","WT_control",4,4.53564339324978,4.547516791228,1.12998680339077
"B derived","WT_treated",3,4.07570481039393,3.84575487887823,0.823301880939448
"B derived","KO_control",4,9.31876403218503,9.14731050678817,3.75455067257599
"B derived","KO_treated",3,7.75311593555837,8.22159288886562,1.08347249746148
"Basophils","WT_control",4,26.6950629013662,28.711658659734,8.65706130933296
"Basophils","WT_treated",3,47.0466593880235,44.9058070587081,4.31005497953311
"Basophils","KO_control",4,28.1034294187134,25.897393894873,14.2666939105427
"Basophils","KO_treated",3,33.6990177421357,30.8309733332461,5.90179851797978
"CD8 T cells","WT_control",4,10.2006071695809,7.00513392620719,7.23699725373202
"CD8 T cells","WT_treated",3,23.6322428525012,28.2652119555776,12.9707587462005
"CD8 T cells","KO_control",4,30.5296556884093,27.770806877402,9.16868457927221
"CD8 T cells","KO_treated",3,14.2977902862409,17.0470430115585,5.13327954514382
"Endothelial cells","WT_control",4,84.4127177231691,80.1448609340186,24.5554738517466
"Endothelial cells","WT_treated",3,61.6332861984671,66.7059002151632,9.30589948170861
"Endothelial cells","KO_control",4,122.256699005778,123.142181710372,41.2354303301153
"Endothelial cells","KO_treated",3,92.8444904001135,93.5257797012913,24.1690576284988
"Eosinophils","WT_control",4,1.33565011058841,0.966713211805589,1.65577377218097
"Eosinophils","WT_treated",3,3.52321343371173,2.99372047058054,1.92062613232843
"Eosinophils","KO_control",4,8.09530014492791,9.33226061600521,5.79803910673171
"Eosinophils","KO_treated",3,5.18881699169328,4.26176075288963,5.70907875294687
"Fibroblasts","WT_control",4,134.761107663575,125.247382408051,19.3996498031815
"Fibroblasts","WT_treated",3,145.175988807938,137.005017560037,15.2830514464278
"Fibroblasts","KO_control",4,138.906512520016,132.411105115686,26.0535273862434
"Fibroblasts","KO_treated",3,105.252971164703,87.3544244441972,42.6689357550408
"Lymphatics","WT_control",4,18.5016742416688,16.9494826397322,10.0851693729406
"Lymphatics","WT_treated",3,7.36120253149849,6.98534776468793,3.04414828694204
"Lymphatics","KO_control",4,22.2491608349073,20.1701934455647,11.9348034908776
"Lymphatics","KO_treated",3,19.6291757530295,18.6452032938921,2.15041482698951
"Mast cells","WT_control",4,5.79734535644175,3.37762841253598,7.29857520971956
"Mast cells","WT_treated",3,3.28988797461553,2.88431615915867,3.51029019050098
"Mast cells","KO_control",4,8.65312133991974,5.88232369052812,9.35023129948171
"Mast cells","KO_treated",3,7.3979692061509,7.45808131755685,0.855265570006274
"Monocytes","WT_control",4,10.7776738019608,12.12290919882,7.71025561310335
"Monocytes","WT_treated",3,10.6146224023067,10.9769750587953,5.9193360569618
"Monocytes","KO_control",4,8.76185298443913,8.58003203388025,3.30459045886075
"Monocytes","KO_treated",3,14.9235697661328,13.3600884444066,4.73574511220512
"Monocytes / macrophages","WT_control",4,1092.46027836395,1085.77651123354,90.7173975059725
"Monocytes / macrophages","WT_treated",3,1058.52440910718,1105.7350917022,330.936364507647
"Monocytes / macrophages","KO_control",4,1382.12860023385,1406.28337256766,67.6313498001348
"Monocytes / macrophages","KO_treated",3,1292.06834098283,1232.71429777333,160.432624251792
"NK cells","WT_control",4,3.83919158194619,3.52840819822718,1.02753428899004
"NK cells","WT_treated",3,6.32902273091984,3.95712967378087,4.51644413304127
"NK cells","KO_control",4,7.61535592179799,7.4084939877555,2.95939840879522
"NK cells","KO_treated",3,7.69957189406356,5.11832625230947,5.83817128137118
"T cells","WT_control",4,17.8914315881858,16.4282703019808,5.92186114462107
"T cells","WT_treated",3,19.6801602600583,19.2203441297928,8.94196446321294
"T cells","KO_control",4,35.1390689934469,41.7756117213313,16.4932316386263
"T cells","KO_treated",3,27.3314412536597,26.6360047055602,16.5228823122967
"Vessels","WT_control",4,501.156225289218,493.284631275613,76.7661440327466
"Vessels","WT_treated",3,437.909512911433,370.153907092029,118.16106629059
"Vessels","KO_control",4,749.580542079562,704.865920674959,183.656920519743
"Vessels","KO_treated",3,674.97171266993,619.78277891602,181.753344855603
