"gene","group","cor","p.value","n","p.adj"
"AMACR","KO_treated",1,0,3,0
"VIM","KO_treated",1,0,3,0
"RB1","KO_treated",1,0,3,0
"CHGA","KO_treated",1,0,3,0
"TMPRSS2","KO_treated",0.866025403784439,0.333333333333333,3,0.701754385964912
"AR","KO_treated",0.5,0.666666666666667,3,0.701754385964912
"ERG","KO_treated",0.5,0.666666666666667,3,0.701754385964912
"MKI67","KO_treated",0.5,0.666666666666667,3,0.701754385964912
"CDH1","KO_treated",0.5,0.666666666666667,3,0.701754385964912
"BRCA2","KO_treated",0.5,0.666666666666667,3,0.701754385964912
"TTF1","KO_treated",0.5,0.666666666666667,3,0.701754385964912
"NCAM1","KO_treated",0.5,0.666666666666667,3,0.701754385964912
"SYP","KO_treated",0.5,0.666666666666667,3,0.701754385964912
"INSM1","KO_treated",0,1,3,1
"AURKA","KO_treated",-0.5,0.666666666666667,3,0.701754385964912
"MYC","KO_treated",-0.5,0.666666666666667,3,0.701754385964912
"PTEN","KO_treated",-0.5,0.666666666666667,3,0.701754385964912
"TFRC","KO_treated",-0.5,0.666666666666667,3,0.701754385964912
"BRCA1","KO_treated",-1,0,3,0
"ACP3","KO_treated",-1,0,3,0
"CHGB","KO_treated",NA,NA,3,NA
"SCG2","KO_treated",NA,NA,3,NA
