"gene","group","cor","p.value","n","p.adj"
"VIM","WT_control",1,0,4,0
"INSM1","WT_control",1,0,4,0
"MKI67","WT_control",0.8,0.2,4,0.42
"MYC","WT_control",0.8,0.2,4,0.42
"RB1","WT_control",0.8,0.2,4,0.42
"TMPRSS2","WT_control",0.632455532033676,0.367544467966324,4,0.701675802481164
"AR","WT_control",0.4,0.6,4,0.7875
"TFRC","WT_control",0.4,0.6,4,0.7875
"NCAM1","WT_control",0.4,0.6,4,0.7875
"CDH1","WT_control",0.2,0.8,4,0.84
"TTF1","WT_control",0.2,0.8,4,0.84
"SYP","WT_control",0,1,4,1
"AMACR","WT_control",-0.2,0.8,4,0.84
"CHGB","WT_control",-0.258198889747161,0.741801110252839,4,0.84
"BRCA2","WT_control",-0.4,0.6,4,0.7875
"CHGA","WT_control",-0.4,0.6,4,0.7875
"AURKA","WT_control",-0.8,0.2,4,0.42
"PTEN","WT_control",-0.8,0.2,4,0.42
"ERG","WT_control",-1,0,4,0
"BRCA1","WT_control",-1,0,4,0
"ACP3","WT_control",-1,0,4,0
"SCG2","WT_control",NA,NA,4,NA
