"gene","group","cor","p.value","n","p.adj"
"AURKA","WT_treated",1,0,3,0
"BRCA1","WT_treated",1,0,3,0
"BRCA2","WT_treated",1,0,3,0
"MYC","WT_treated",1,0,3,0
"PTEN","WT_treated",1,0,3,0
"TTF1","WT_treated",1,0,3,0
"ACP3","WT_treated",1,0,3,0
"TFRC","WT_treated",1,0,3,0
"NCAM1","WT_treated",1,0,3,0
"AR","WT_treated",0.5,0.666666666666667,3,0.7
"AMACR","WT_treated",0.5,0.666666666666667,3,0.7
"MKI67","WT_treated",0.5,0.666666666666667,3,0.7
"RB1","WT_treated",0.5,0.666666666666667,3,0.7
"SCG2","WT_treated",0,1,3,1
"ERG","WT_treated",-0.5,0.666666666666667,3,0.7
"CHGB","WT_treated",-0.5,0.666666666666667,3,0.7
"SYP","WT_treated",-0.5,0.666666666666667,3,0.7
"INSM1","WT_treated",-0.866025403784439,0.333333333333333,3,0.538461538461538
"CDH1","WT_treated",-1,0,3,0
"VIM","WT_treated",-1,0,3,0
"CHGA","WT_treated",-1,0,3,0
"TMPRSS2","WT_treated",NA,NA,3,NA
