"gene","group","cor","p.value","n","p.adj"
"VIM","WT_control",1,0,4,0
"INSM1","WT_control",1,0,4,0
"MKI67","WT_control",0.8,0.2,4,0.42
"MYC","WT_control",0.8,0.2,4,0.42
"RB1","WT_control",0.8,0.2,4,0.42
"TMPRSS2","WT_control",0.632455532033676,0.367544467966324,4,0.701675802481164
"AR","WT_control",0.4,0.6,4,0.7875
"TFRC","WT_control",0.4,0.6,4,0.7875
"NCAM1","WT_control",0.4,0.6,4,0.7875
"CDH1","WT_control",0.2,0.8,4,0.84
"TTF1","WT_control",0.2,0.8,4,0.84
"SYP","WT_control",0,1,4,1
"AMACR","WT_control",-0.2,0.8,4,0.84
"CHGB","WT_control",-0.258198889747161,0.741801110252839,4,0.84
"BRCA2","WT_control",-0.4,0.6,4,0.7875
"CHGA","WT_control",-0.4,0.6,4,0.7875
"AURKA","WT_control",-0.8,0.2,4,0.42
"PTEN","WT_control",-0.8,0.2,4,0.42
"ERG","WT_control",-1,0,4,0
"BRCA1","WT_control",-1,0,4,0
"ACP3","WT_control",-1,0,4,0
"SCG2","WT_control",NA,NA,4,NA
"AURKA","WT_treated",1,0,3,0
"BRCA1","WT_treated",1,0,3,0
"BRCA2","WT_treated",1,0,3,0
"MYC","WT_treated",1,0,3,0
"PTEN","WT_treated",1,0,3,0
"TTF1","WT_treated",1,0,3,0
"ACP3","WT_treated",1,0,3,0
"TFRC","WT_treated",1,0,3,0
"NCAM1","WT_treated",1,0,3,0
"AR","WT_treated",0.5,0.666666666666667,3,0.7
"AMACR","WT_treated",0.5,0.666666666666667,3,0.7
"MKI67","WT_treated",0.5,0.666666666666667,3,0.7
"RB1","WT_treated",0.5,0.666666666666667,3,0.7
"SCG2","WT_treated",0,1,3,1
"ERG","WT_treated",-0.5,0.666666666666667,3,0.7
"CHGB","WT_treated",-0.5,0.666666666666667,3,0.7
"SYP","WT_treated",-0.5,0.666666666666667,3,0.7
"INSM1","WT_treated",-0.866025403784439,0.333333333333333,3,0.538461538461538
"CDH1","WT_treated",-1,0,3,0
"VIM","WT_treated",-1,0,3,0
"CHGA","WT_treated",-1,0,3,0
"TMPRSS2","WT_treated",NA,NA,3,NA
"AR","KO_control",0.774596669241483,0.225403330758516,4,0.430315449629895
"MKI67","KO_control",0.774596669241483,0.225403330758516,4,0.430315449629895
"CDH1","KO_control",0.774596669241483,0.225403330758516,4,0.430315449629895
"AURKA","KO_control",0.774596669241483,0.225403330758516,4,0.430315449629895
"BRCA2","KO_control",0.774596669241483,0.225403330758516,4,0.430315449629895
"TTF1","KO_control",0.774596669241483,0.225403330758516,4,0.430315449629895
"SYP","KO_control",0.774596669241483,0.225403330758516,4,0.430315449629895
"ERG","KO_control",0.258198889747161,0.741801110252839,4,0.741801110252839
"PTEN","KO_control",0.258198889747161,0.741801110252839,4,0.741801110252839
"NCAM1","KO_control",0.258198889747161,0.741801110252839,4,0.741801110252839
"VIM","KO_control",-0.258198889747161,0.741801110252839,4,0.741801110252839
"BRCA1","KO_control",-0.258198889747161,0.741801110252839,4,0.741801110252839
"MYC","KO_control",-0.258198889747161,0.741801110252839,4,0.741801110252839
"INSM1","KO_control",-0.258198889747161,0.741801110252839,4,0.741801110252839
"CHGA","KO_control",-0.258198889747161,0.741801110252839,4,0.741801110252839
"TFRC","KO_control",-0.258198889747161,0.741801110252839,4,0.741801110252839
"SCG2","KO_control",-0.333333333333333,0.666666666666667,4,0.741801110252839
"AMACR","KO_control",-0.774596669241483,0.225403330758516,4,0.430315449629895
"RB1","KO_control",-0.774596669241483,0.225403330758516,4,0.430315449629895
"ACP3","KO_control",-0.774596669241483,0.225403330758516,4,0.430315449629895
"CHGB","KO_control",-0.774596669241483,0.225403330758516,4,0.430315449629895
"TMPRSS2","KO_control",NA,NA,4,NA
"AMACR","KO_treated",1,0,3,0
"VIM","KO_treated",1,0,3,0
"RB1","KO_treated",1,0,3,0
"CHGA","KO_treated",1,0,3,0
"TMPRSS2","KO_treated",0.866025403784439,0.333333333333333,3,0.701754385964912
"AR","KO_treated",0.5,0.666666666666667,3,0.701754385964912
"ERG","KO_treated",0.5,0.666666666666667,3,0.701754385964912
"MKI67","KO_treated",0.5,0.666666666666667,3,0.701754385964912
"CDH1","KO_treated",0.5,0.666666666666667,3,0.701754385964912
"BRCA2","KO_treated",0.5,0.666666666666667,3,0.701754385964912
"TTF1","KO_treated",0.5,0.666666666666667,3,0.701754385964912
"NCAM1","KO_treated",0.5,0.666666666666667,3,0.701754385964912
"SYP","KO_treated",0.5,0.666666666666667,3,0.701754385964912
"INSM1","KO_treated",0,1,3,1
"AURKA","KO_treated",-0.5,0.666666666666667,3,0.701754385964912
"MYC","KO_treated",-0.5,0.666666666666667,3,0.701754385964912
"PTEN","KO_treated",-0.5,0.666666666666667,3,0.701754385964912
"TFRC","KO_treated",-0.5,0.666666666666667,3,0.701754385964912
"BRCA1","KO_treated",-1,0,3,0
"ACP3","KO_treated",-1,0,3,0
"CHGB","KO_treated",NA,NA,3,NA
"SCG2","KO_treated",NA,NA,3,NA
