"sample","sample_short","sample_short10","wtko","condition","group","gene","expr"
"WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1_WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1","WT2888P","WT2888P_OE","WT","treated","WT_treated","AR",10.1211841297023
"WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1_WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1","WT2896P","WT2896P_OE","WT","treated","WT_treated","AR",10.5387481650343
"WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1_WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1","WT2898C","WT2898C_OE","WT","control","WT_control","AR",9.55214156637082
"WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1_WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1","WT2909P","WT2909P_OE","WT","treated","WT_treated","AR",10.3351114957477
"WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1_WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1","WT2910C","WT2910C_OE","WT","control","WT_control","AR",9.44656305674123
"WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1_WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1","WT2921C","WT2921C_OE","WT","control","WT_control","AR",10.0861881176942
"WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1_WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1","WT2965C","WT2965C_OE","WT","control","WT_control","AR",9.40171077249923
"KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1_KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1","KO2897P","KO2897P_OE","KO","treated","KO_treated","AR",8.8882041044528
"KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1_KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1","KO2908P","KO2908P_OE","KO","treated","KO_treated","AR",8.98569743511659
"KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1_KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1","KO2912C","KO2912C_OE","KO","control","KO_control","AR",8.70500737815069
"KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1_KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1","KO2913C","KO2913C_OE","KO","control","KO_control","AR",9.09173328653949
"KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1_KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1","KO2918C","KO2918C_OE","KO","control","KO_control","AR",9.23677077610935
"KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1_KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1","KO2960C","KO2960C_OE","KO","control","KO_control","AR",8.9573299958971
"KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1_KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1","KO2966P","KO2966P_OE","KO","treated","KO_treated","AR",8.90718256524206
"WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1_WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1","WT2888P","WT2888P_OE","WT","treated","WT_treated","TMPRSS2",5.81500810717005
"WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1_WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1","WT2896P","WT2896P_OE","WT","treated","WT_treated","TMPRSS2",5.81500810717005
"WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1_WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1","WT2898C","WT2898C_OE","WT","control","WT_control","TMPRSS2",5.81500810717005
"WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1_WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1","WT2909P","WT2909P_OE","WT","treated","WT_treated","TMPRSS2",5.81500810717005
"WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1_WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1","WT2910C","WT2910C_OE","WT","control","WT_control","TMPRSS2",5.81500810717005
"WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1_WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1","WT2921C","WT2921C_OE","WT","control","WT_control","TMPRSS2",6.094084366444
"WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1_WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1","WT2965C","WT2965C_OE","WT","control","WT_control","TMPRSS2",6.06572974089086
"KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1_KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1","KO2897P","KO2897P_OE","KO","treated","KO_treated","TMPRSS2",5.81500810717005
"KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1_KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1","KO2908P","KO2908P_OE","KO","treated","KO_treated","TMPRSS2",6.1579588084358
"KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1_KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1","KO2912C","KO2912C_OE","KO","control","KO_control","TMPRSS2",5.81500810717005
