"gene","group","wtko","condition","n","mean_expr","median_expr","sd_expr"
"ACP3","WT_control","WT","control",4,9.80174334600018,9.86776238872559,0.41573180565111
"ACP3","WT_treated","WT","treated",3,9.89066216984663,9.88553661372026,0.363800503452675
"ACP3","KO_control","KO","control",4,9.81947185215174,9.80528538943996,0.0686729950866284
"ACP3","KO_treated","KO","treated",3,9.73719705051959,9.88695099322585,0.284096081303064
"AMACR","WT_control","WT","control",4,9.042091438305,9.0079676791289,0.188836000807529
"AMACR","WT_treated","WT","treated",3,8.69111020755279,8.69452030263408,0.0462551074235767
"AMACR","KO_control","KO","control",4,9.23677973800076,9.22081201778951,0.130253564403441
"AMACR","KO_treated","KO","treated",3,9.16584029383492,9.21778769691094,0.131541849063744
"AR","WT_control","WT","control",4,9.62165087832636,9.49935231155602,0.316046297571875
"AR","WT_treated","WT","treated",3,10.3316812634948,10.3351114957477,0.208803150768015
"AR","KO_control","KO","control",4,8.99771035917416,9.02453164121829,0.226049996427036
"AR","KO_treated","KO","treated",3,8.92702803493715,8.90718256524206,0.0516877101596123
"AURKA","WT_control","WT","control",4,10.0145100107669,10.0713107544556,0.242583023075435
"AURKA","WT_treated","WT","treated",3,10.1802178341671,10.2926029148787,0.279999420973504
"AURKA","KO_control","KO","control",4,9.87440828436525,9.94205094017583,0.177413144531811
"AURKA","KO_treated","KO","treated",3,10.0462274903141,10.0933027076631,0.173766424520954
"BRCA1","WT_control","WT","control",4,9.08882588459905,9.02146713526025,0.201915125254885
"BRCA1","WT_treated","WT","treated",3,9.23376846933241,9.07919054724222,0.42856749255022
"BRCA1","KO_control","KO","control",4,9.00582849267695,9.02326547053797,0.0741362391655504
"BRCA1","KO_treated","KO","treated",3,9.30297721243245,9.43194140638039,0.243550215350084
"BRCA2","WT_control","WT","control",4,8.76167981570984,8.81122142443289,0.14819200730416
"BRCA2","WT_treated","WT","treated",3,8.66040995946312,8.57471531488035,0.200173604928162
"BRCA2","KO_control","KO","control",4,8.39308568988964,8.38610452174602,0.0663194728990559
"BRCA2","KO_treated","KO","treated",3,8.64618073233807,8.46769299070773,0.380829944225382
"CDH1","WT_control","WT","control",4,7.08554881061986,6.9939577218688,0.203617690604346
"CDH1","WT_treated","WT","treated",3,6.94313864576578,6.95924964009953,0.273647501966649
"CDH1","KO_control","KO","control",4,7.15579564642993,7.12632806044418,0.124733613779382
"CDH1","KO_treated","KO","treated",3,7.0925783696384,7.10316157795626,0.292495669195238
"CHGA","WT_control","WT","control",4,7.50525095747148,7.35465413261492,0.727122114645453
"CHGA","WT_treated","WT","treated",3,6.69250103794868,6.62223246673448,0.345562130178498
"CHGA","KO_control","KO","control",4,8.48849712380131,8.53494590503486,0.479728953513318
"CHGA","KO_treated","KO","treated",3,7.96563184821964,7.73338341864447,0.895774962212328
"CHGB","WT_control","WT","control",4,5.8593576997277,5.81500810717005,0.0886991851152916
"CHGB","WT_treated","WT","treated",3,6.03960494883677,6.08125728249513,0.206938820906412
"CHGB","KO_control","KO","control",4,5.98316997326354,6.00929918033336,0.119855802576538
"CHGB","KO_treated","KO","treated",3,5.81500810717005,5.81500810717005,0
"ERG","WT_control","WT","control",4,8.39920187222639,8.43742686458101,0.363650568553695
"ERG","WT_treated","WT","treated",3,8.14649648946007,8.10378520308441,0.100842998370885
"ERG","KO_control","KO","control",4,8.8954508177989,8.91074265176484,0.374069454052872
"ERG","KO_treated","KO","treated",3,8.59992190118284,8.52466479966066,0.387044478903704
"FOLH1","WT_control","WT","control",4,6.05822216790644,6.07385713999475,0.0462379202463893
"FOLH1","WT_treated","WT","treated",3,6.2123239838013,6.1682409712577,0.157796093817075
"FOLH1","KO_control","KO","control",4,5.93235115784593,5.81500810717005,0.234686101351754
"FOLH1","KO_treated","KO","treated",3,5.94603724595683,6.00978248186393,0.11348835600796
"INSM1","WT_control","WT","control",4,6.22993536558502,6.17906274480013,0.387655150147047
"INSM1","WT_treated","WT","treated",3,5.94034233611651,5.81500810717005,0.217085252462737
"INSM1","KO_control","KO","control",4,6.11998927700392,6.09293418579566,0.114429990223917
"INSM1","KO_treated","KO","treated",3,5.87993289873468,5.81500810717005,0.112453037660752
"MKI67","WT_control","WT","control",4,12.3631560637556,12.3064780348891,0.166665922918679
"MKI67","WT_treated","WT","treated",3,12.2224514371883,12.2749010549379,0.102910591278814
"MKI67","KO_control","KO","control",4,12.5416212815085,12.545507878376,0.0890293215552196
"MKI67","KO_treated","KO","treated",3,12.8309093526574,12.8108953295152,0.14592566750049
"MYC","WT_control","WT","control",4,13.9898408675371,13.9948216752452,0.205195028641993
"MYC","WT_treated","WT","treated",3,14.394893509253,14.235466931449,0.498289591890117
"MYC","KO_control","KO","control",4,13.7816914911942,13.7912057358206,0.141512419922956
"MYC","KO_treated","KO","treated",3,13.7902856305262,13.8273731682282,0.0687147915895097
"NCAM1","WT_control","WT","control",4,10.2569562542051,10.2273032766835,0.0937399126255667
"NCAM1","WT_treated","WT","treated",3,10.0491036027381,10.0161164040341,0.115003494142855
"NCAM1","KO_control","KO","control",4,10.2812396273371,10.2853203814423,0.0837527158251828
"NCAM1","KO_treated","KO","treated",3,10.3308175561481,10.3338795793001,0.0469811911784035
"PTEN","WT_control","WT","control",4,11.175386589539,11.1164595239648,0.134793484152804
"PTEN","WT_treated","WT","treated",3,11.3473568439641,11.254209490809,0.391947486776737
"PTEN","KO_control","KO","control",4,11.0134563001524,10.9875201623533,0.203775208186434
"PTEN","KO_treated","KO","treated",3,11.0577670628379,11.0238197535138,0.147708043244369
"RB1","WT_control","WT","control",4,9.28569744015866,9.17832555131029,0.43408902168534
"RB1","WT_treated","WT","treated",3,9.29581686849488,9.25779719351363,0.117760910688306
"RB1","KO_control","KO","control",4,9.17769390399171,9.19456937787893,0.0916963944094257
"RB1","KO_treated","KO","treated",3,9.24587709158382,9.16140478208323,0.203874482204709
"SCG2","WT_control","WT","control",4,5.81500810717005,5.81500810717005,0
"SCG2","WT_treated","WT","treated",3,5.8831008346774,5.81500810717005,0.117940063668668
"SCG2","KO_control","KO","control",4,5.90191516459065,5.81500810717005,0.173814114841189
"SCG2","KO_treated","KO","treated",3,5.81500810717005,5.81500810717005,0
"SYP","WT_control","WT","control",4,6.47160551879272,6.4702720293093,0.132264012605112
"SYP","WT_treated","WT","treated",3,6.25721797859039,6.31137011384067,0.0954902237492398
"SYP","KO_control","KO","control",4,6.38863229119076,6.39966798579164,0.185072303621561
"SYP","KO_treated","KO","treated",3,6.57408810939066,6.59251532863917,0.0822152628597107
"TFRC","WT_control","WT","control",4,11.3184294574421,11.309656536294,0.156771492201759
"TFRC","WT_treated","WT","treated",3,11.2232429961935,11.0774313990578,0.278810773686509
"TFRC","KO_control","KO","control",4,11.3060211492844,11.2380672621869,0.26009734366023
"TFRC","KO_treated","KO","treated",3,11.5478840737318,11.6389389887682,0.405788570134969
"TMPRSS2","WT_control","WT","control",4,5.94745758041874,5.94036892403046,0.153376925959706
"TMPRSS2","WT_treated","WT","treated",3,5.81500810717005,5.81500810717005,0
"TMPRSS2","KO_control","KO","control",4,5.81500810717005,5.81500810717005,0
"TMPRSS2","KO_treated","KO","treated",3,5.92932500759197,5.81500810717005,0.198002679694549
"TTF1","WT_control","WT","control",4,8.84743535902468,8.86433157969815,0.0960892701929292
"TTF1","WT_treated","WT","treated",3,8.88065514314093,8.90066864131163,0.066276591079929
"TTF1","KO_control","KO","control",4,8.74239520313635,8.77353356005626,0.179653835706134
"TTF1","KO_treated","KO","treated",3,8.69220468498006,8.66644101923007,0.0458847703722406
"VIM","WT_control","WT","control",4,17.2017647654747,17.1420044579531,0.286462796133125
"VIM","WT_treated","WT","treated",3,17.1510609403876,17.2354777589129,0.169371756886131
"VIM","KO_control","KO","control",4,17.2574223438076,17.2639573648373,0.131479023600731
"VIM","KO_treated","KO","treated",3,17.1734163553047,17.0619758095021,0.248009916812554
