"gene","comparison","group1","group2","estimate","statistic","p","p.adj","p.signif","p.adj.signif","method"
"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"TMPRSS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"AMACR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"ERG",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"MKI67",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"CDH1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"VIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"AURKA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"BRCA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"BRCA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"MYC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"PTEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"RB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"TTF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"INSM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"ACP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"CHGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"CHGB",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"TFRC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"NCAM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"SCG2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"SYP",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
"FOLH1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunn test"
