"gene","test","p.value"
"AR","Kruskal-Wallis",0.0110263134103946
"TMPRSS2","Kruskal-Wallis",0.314380132059669
"AMACR","Kruskal-Wallis",0.0460117056892314
"ERG","Kruskal-Wallis",0.0833163055112019
"MKI67","Kruskal-Wallis",0.0215290074660805
"CDH1","Kruskal-Wallis",0.608737297511597
"VIM","Kruskal-Wallis",0.848327712781425
"AURKA","Kruskal-Wallis",0.367329948813844
"BRCA1","Kruskal-Wallis",0.431398966563019
"BRCA2","Kruskal-Wallis",0.0833163055112019
"MYC","Kruskal-Wallis",0.0684876066933801
"PTEN","Kruskal-Wallis",0.384341369059526
"RB1","Kruskal-Wallis",0.705534731204092
"TTF1","Kruskal-Wallis",0.151411682491012
"INSM1","Kruskal-Wallis",0.191713040635976
"ACP3","Kruskal-Wallis",0.966170616810334
"CHGA","Kruskal-Wallis",0.0429652212543568
"CHGB","Kruskal-Wallis",0.130580453817947
"TFRC","Kruskal-Wallis",0.471858585097423
"NCAM1","Kruskal-Wallis",0.0564674339148192
"SCG2","Kruskal-Wallis",0.536635163930907
"SYP","Kruskal-Wallis",0.073897281578126
"FOLH1","Kruskal-Wallis",0.135716874384662
