"gene_id","WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1_WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1","WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1_WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1","WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1_WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1","WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1_WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1","WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1_WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1","WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1_WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1","WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1_WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1","KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1_KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1","KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1_KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1","KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1_KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1","KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1_KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1","KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1_KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1","KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1_KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1","KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1_KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1"
"ENSMUSG00000000001",12.6601985876947,13.0107266203404,12.686659984971,12.5745737722097,12.4641206322081,12.5981081125043,12.6578865237968,12.5973753705756,12.4778937431327,12.6845780321559,12.3654659252733,12.5607425410398,12.308850881951,12.5300113675805
"ENSMUSG00000000028",9.86812569759676,9.92856077683507,10.1215364016246,9.84492879882527,10.2117360518504,9.90029200400378,10.1605153215573,10.1814038069778,10.1221315607675,10.040112846507,9.98140470788213,10.0422686614488,10.2515674439676,10.2963552878705
"ENSMUSG00000000031",15.2767972584734,15.2171946720886,15.1721350434986,14.4885310667834,15.6626227613373,14.3993490463872,15.3435728314836,14.3329191510814,15.3572700661132,15.2799887736607,14.9764711284064,15.2248115782441,15.0890846176482,14.7954969616012
"ENSMUSG00000000037",7.02302124163477,6.99650951578433,6.96615357876492,7.31289692198585,6.72595347780627,7.02889606319903,6.89795403068629,6.84282246018168,6.59919541748358,6.40344038909091,6.79069313260737,7.05332267413139,6.87447683014069,6.39759989163688
"ENSMUSG00000000049",6.10366077122763,5.81500810717005,5.99109002519228,5.81500810717005,6.23623965097422,6.01249840882801,6.12188583862603,5.81500810717005,6.01332114883651,5.81500810717005,6.08525027789526,6.08679494637393,6.01603458168856,5.81500810717005
"ENSMUSG00000000056",8.96823459055022,9.13701586039941,9.05394834300169,8.85006094474696,8.85318298651083,8.7139569677403,8.78534101664641,8.65377343251227,8.54140595361808,8.89893892997452,8.6934879340474,8.87828603646282,8.57045913710118,8.64949300284449
"ENSMUSG00000000058",11.3647766204557,11.2315016777643,11.1275022498871,11.2169031743244,10.9160609068975,11.6251788759364,11.032887597987,11.2257013151777,11.3869712968746,11.3509604307472,11.243344910452,11.1372431019311,11.1133863132354,11.2071664525577
"ENSMUSG00000000078",13.0048881947374,13.6346866718038,12.3080809631641,12.56201168868,12.0520523346877,12.4356182597278,12.0351026293873,12.2718200749307,12.2763498405015,12.1519132566693,12.112060242501,12.0991075005994,11.9984408009956,12.0882897068999
"ENSMUSG00000000085",9.66319251719943,9.70264447508463,9.88245202268557,9.71838064214859,10.1650138237052,9.52962630944723,9.76495613199205,9.9900151138841,9.98131410933103,9.91283308295674,10.1698398474696,9.79532469806063,10.0512459053545,9.98453870488434
"ENSMUSG00000000088",10.3993061161579,10.3757502707785,10.4855408116381,10.0635450081262,10.3594653042768,10.3335652562519,10.3853541663359,10.6865972619227,10.4929859997345,10.660367619364,10.4013452554458,10.2325504512412,10.6901869820192,10.6970922534154
