"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0045109","intermediate filament organization",57,-0.760711979084775,-2.15927849892902,1.00813019564247e-08,5.57641893146529e-05,5.57641893146529e-05,727,"tags=39%, list=4%, signal=37%","14246/75706/110308/16664/16679/332131/16682/16666/406219/105866/101202683/16667/406220/223915/70843/107993/16687/16688/109052/16675/56735/70810",0.747739663149885
"GO:0045104","intermediate filament cytoskeleton organization",76,-0.709263645958464,-2.0951447604407,1.73666114340246e-08,5.57641893146529e-05,5.57641893146529e-05,727,"tags=29%, list=4%, signal=28%","14246/75706/110308/16664/16679/332131/16682/16666/406219/105866/101202683/16667/406220/223915/70843/107993/16687/16688/109052/16675/56735/70810",0.73376198835648
"GO:0045103","intermediate filament-based process",77,-0.704953630811697,-2.06533709901734,6.57108448999099e-08,0.000105498761486805,0.000105498761486805,727,"tags=29%, list=4%, signal=28%","14246/75706/110308/16664/16679/332131/16682/16666/406219/105866/101202683/16667/406220/223915/70843/107993/16687/16688/109052/16675/56735/70810",0.704975715167238
"GO:0042269","regulation of natural killer cell mediated cytotoxicity",64,-0.679743064157423,-1.99861576406222,4.58962448416228e-06,0.00245621403644085,0.00245621403644085,2805,"tags=44%, list=14%, signal=38%","16002/14991/16643/27007/83408/71740/16642/16641/320407/80782/225825/54698/667281/16768/20707/17059/26904/21354/93806/54725/17057/20709/232408/58179/100043861/60505/16846/545378",0.610526878385931
"GO:0002715","regulation of natural killer cell mediated immunity",69,-0.688702004575035,-1.99270320537993,6.11463901377024e-07,0.000490852646830406,0.000490852646830406,2805,"tags=46%, list=14%, signal=40%","16002/14991/16643/27007/83408/71740/16642/16641/320407/80782/225825/54698/667281/16768/215900/20707/17059/26904/21354/13482/93806/54725/27278/84544/17057/20709/232408/58179/100043861/60505/16846/545378",0.659444398037935
"GO:0002228","natural killer cell mediated immunity",95,-0.65289705953259,-1.97784282644779,2.02288998129576e-07,0.000218259246458772,0.000218259246458772,3881,"tags=51%, list=20%, signal=41%","21355/74769/19419/19294/54215/246256/70450/16859/80859/75234/14939/16002/14991/16643/27007/83408/71740/16642/74732/16641/320407/80782/225825/54698/72310/19368/667281/16768/215900/20707/17059/26904/21354/12481/13482/93806/54725/27278/84544/17057/20709/232408/670558/58179/100043861/60505/16846/545378",0.690132458796796
"GO:0042267","natural killer cell mediated cytotoxicity",89,-0.647412768358276,-1.97189332037703,1.50012789656113e-06,0.000963382135171559,0.000963382135171559,3881,"tags=49%, list=20%, signal=40%","21355/74769/19419/19294/54215/246256/70450/16859/80859/75234/14939/16002/14991/16643/27007/83408/71740/16642/74732/16641/320407/80782/225825/54698/72310/19368/667281/16768/20707/17059/26904/21354/12481/93806/54725/17057/20709/232408/670558/58179/100043861/60505/16846/545378",0.643551836150722
"GO:0031424","keratinization",53,-0.707465586398829,-1.97136058285858,2.81513126035626e-06,0.00164352481400072,0.00164352481400072,1615,"tags=47%, list=8%, signal=43%","12560/223917/20759/20754/545548/72383/20758/110308/16679/68723/332131/16682/16666/21818/406219/105866/16667/406220/74591/223915/66203/16687/16688/109052/56735",0.627256739718528
"GO:0002717","positive regulation of natural killer cell mediated immunity",40,-0.710027422045505,-1.88955249592251,8.98551966062627e-05,0.028852503630271,0.028852503630271,2803,"tags=48%, list=14%, signal=41%","14991/16643/27007/83408/16642/16641/320407/225825/54698/667281/16768/17059/26904/13482/54725/27278/58179/60505/545378",0.538434096309916
"GO:0045954","positive regulation of natural killer cell mediated cytotoxicity",37,-0.713329284075443,-1.87199009701378,0.000139970562422716,0.0408586796308493,0.0408586796308493,4020,"tags=57%, list=20%, signal=45%","503550/19419/19294/54215/14991/16643/27007/83408/16642/16641/320407/225825/54698/667281/16768/17059/26904/54725/58179/60505/545378",0.518848077743792
"GO:0030216","keratinocyte differentiation",144,-0.579590443045642,-1.8646036655066,9.82112523036325e-07,0.000700791846993253,0.000700791846993254,1428,"tags=23%, list=7%, signal=21%","223917/20759/268885/19143/20861/22061/20754/433016/408196/545548/72383/20758/110308/16664/16679/68723/332131/16682/16666/100034684/21818/406219/105866/16667/406220/74591/223915/66203/16687/16688/11688/109052/56735",0.643551836150722
"GO:0001910","regulation of leukocyte mediated cytotoxicity",114,-0.585107561348118,-1.83778036334306,5.17122049016936e-06,0.00255458292214366,0.00255458292214366,2822,"tags=39%, list=14%, signal=34%","11596/16002/14991/16643/27007/14964/83408/71740/16642/16641/320407/80782/225825/54698/19368/667281/16768/14972/20707/17059/26904/13421/15015/21354/93806/54725/18976/16197/83430/15018/17057/110557/15007/20709/16963/224756/14825/232408/15013/670558/58179/100043861/60505/16846/545378",0.610526878385931
"GO:0035458","cellular response to interferon-beta",61,-0.645388723847592,-1.82501483232357,6.98895171050421e-05,0.0236226567815042,0.0236226567815042,3634,"tags=48%, list=18%, signal=39%","15950/16365/23960/20846/15951/236312/620913/55932/246730/240327/15953/60440/15944/23961/623121/111266/102639543/100702/226695/54396/225594/16145/21822/100039796/15957/100033459/15959/545384/15977",0.538434096309916
