"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP",127,-0.650525603187552,-2.05027343051914,3.57736875932483e-09,1.81193727659802e-05,1.81193727659802e-05,3927,"tags=46%, list=20%, signal=37%","56791/16391/236573/13178/71586/246728/23960/19264/16186/80285/20846/20343/55932/246730/20821/16912/217069/75234/547253/240832/20847/14939/14696/76074/14991/21939/59027/16913/27007/74481/16168/20304/17472/54123/327959/11605/60533/80861/99899/69550/67775/16153/75345/21354/15958/22035/667034/100038882/231655/667373/17858/15959/15945/15018/24110/22169/15007/626578/58185",0.774939030136436
"GSE19888_CTRL_VS_TCELL_MEMBRANES_ACT_MAST_CELL_PRETREAT_A3R_INH_DN","GSE19888_CTRL_VS_TCELL_MEMBRANES_ACT_MAST_CELL_PRETREAT_A3R_INH_DN",114,-0.633815432433961,-1.9927219676577,4.03892487889017e-08,7.70121641085482e-05,7.70121641085482e-05,3726,"tags=44%, list=19%, signal=36%","13178/71586/246728/23960/16186/434341/17119/80285/19734/246730/20821/217069/547253/240832/20847/14939/21954/14696/14991/21939/16421/12227/16428/27007/74481/16168/20354/54123/231507/19288/11605/16408/50778/60533/69550/67775/75345/14938/15958/110168/667373/15945/15018/54199/24110/16193/22169/15007/58185/15977",0.719512826338911
"GSE22886_CTRL_VS_LPS_24H_DC_DN","GSE22886_CTRL_VS_LPS_24H_DC_DN",129,-0.629135523164018,-1.97981732193216,4.56143124038785e-08,7.70121641085482e-05,7.70121641085482e-05,4026,"tags=43%, list=20%, signal=35%","19252/56791/16391/230738/52668/17750/19419/71586/246728/20846/18124/13537/21985/16184/18412/16906/16912/14991/16913/14964/20304/17872/17681/15939/54123/327959/27218/12522/18578/58801/80861/99899/14962/69550/67775/75345/21354/12767/15958/50498/22035/100038882/70789/231655/22634/667373/193740/15959/14373/15018/24110/15007/217845/20297/15013/58185",0.719512826338911
"GSE35825_IFNA_VS_IFNG_STIM_MACROPHAGE_UP","GSE35825_IFNA_VS_IFNG_STIM_MACROPHAGE_UP",91,-0.632379389547218,-1.92687955687971,3.40552566214753e-06,0.00156808977079793,0.00156808977079793,4273,"tags=48%, list=22%, signal=38%","22695/13614/11988/17386/71982/20918/19252/230738/236573/19419/246728/23871/69241/20846/18641/55932/13685/12703/547253/16477/240832/20847/76074/21939/60406/17472/54123/14962/12515/20525/67775/12176/21354/15958/667373/17858/15945/54199/11910/22169/626578/14825/20310/58185",0.627256739718528
"GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_UP",109,-0.621293106460952,-1.92100916225029,9.90158165999957e-07,0.000933601021163121,0.000933601021163121,3927,"tags=51%, list=20%, signal=41%","56791/16391/20292/236573/13178/71586/71529/246728/23960/20957/22271/80285/20846/55932/246730/20821/16912/547253/20847/14939/14696/76074/14991/21939/16913/27007/74481/16168/14190/17472/54123/327959/60533/80861/99899/56720/12515/67775/16153/21354/15958/22035/667034/100038882/231655/667373/17858/15959/14460/15945/15018/24110/22169/15007/626578/58185",0.643551836150722
"GSE26030_TH1_VS_TH17_DAY5_POST_POLARIZATION_UP","GSE26030_TH1_VS_TH17_DAY5_POST_POLARIZATION_UP",103,-0.626345685087064,-1.91883460656313,9.98946414239233e-07,0.000933601021163121,0.000933601021163121,3914,"tags=44%, list=20%, signal=35%","16391/236573/71586/246728/23960/434341/80285/20846/246730/20821/547253/240832/20847/76074/59027/16168/17472/170768/54123/327959/231507/80861/99899/21908/12515/69550/67775/320007/13482/15958/22035/100038882/231655/667373/17858/15959/15945/15018/54199/24110/22169/15007/626578/58185/12715",0.643551836150722
"HOWARD_NEUTROPHIL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP","HOWARD_NEUTROPHIL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP",63,-0.654510205667249,-1.90149283915752,2.82318062393455e-05,0.00625831709332773,0.00625831709332773,3826,"tags=44%, list=19%, signal=36%","236573/17750/71586/246728/23960/55932/246730/547253/76074/74481/17472/327959/74735/60533/80861/99899/69550/67775/15958/100038882/231655/667373/17858/15959/24110/22169/626578/58185",0.575610261071129
"GSE37534_UNTREATED_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_DN","GSE37534_UNTREATED_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_DN",130,-0.592313745222152,-1.89417411123844,1.10594395399383e-06,0.000933601021163121,0.000933601021163121,4101,"tags=42%, list=21%, signal=33%","74747/224530/74646/72075/56791/16391/21355/52668/246728/23960/20846/107686/23897/246730/20821/16912/12703/15903/217069/75234/20847/14991/16913/50908/14313/17681/54123/327959/74735/17988/99899/17873/69550/67775/101488143/71939/21354/13482/15958/100038882/54725/231655/667373/17858/15959/15945/15018/24110/16193/11910/15007/217845/15013/58185",0.643551836150722
"HOWARD_MONOCYTE_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP","HOWARD_MONOCYTE_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP",110,-0.612846263395282,-1.88770340124898,1.52950571528305e-06,0.00104617567570262,0.00104617567570262,3951,"tags=45%, list=20%, signal=36%","12759/56791/21355/17750/12702/246728/434341/80285/20846/21817/55932/16906/16912/17829/547253/20847/21939/59027/74481/18952/170768/18712/54123/327959/231507/60533/99899/14962/12515/67775/71939/75345/21354/15958/15002/22035/100038882/11535/231655/667373/233079/15959/15945/13346/22169/12516/58185/14411/11688",0.643551836150722
"GSE42724_NAIVE_BCELL_VS_PLASMABLAST_UP","GSE42724_NAIVE_BCELL_VS_PLASMABLAST_UP",117,-0.604738975140287,-1.88280636323445,1.85894986798096e-06,0.00104617567570262,0.00104617567570262,3927,"tags=39%, list=20%, signal=32%","56791/16391/21355/52668/71586/246728/23960/434341/80285/20846/18412/55932/246730/20821/16912/13198/217069/547253/20847/14991/16421/74481/54123/327959/104001/80861/99899/14962/69550/67775/71939/21354/15958/22035/100038882/231655/667373/17858/15959/15945/24110/22169/217845/16427/15013/58185",0.643551836150722
"ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP","ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP",57,-0.675980369128091,-1.88257867935778,1.41030211298672e-05,0.00420187070722219,0.00420187070722219,3927,"tags=51%, list=20%, signal=41%","56791/52668/17750/71586/16658/246728/23960/80285/246730/547253/20847/54123/327959/74735/99899/67775/71939/15958/22035/100038882/231655/667373/17858/15959/15945/24110/22169/217845/58185",0.593325476396405
"GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN","GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN",111,-0.599643296119676,-1.8790819259614,6.33717276301548e-06,0.00229269857461953,0.00229269857461953,3843,"tags=47%, list=20%, signal=38%","13011/236573/74769/20266/12525/434341/17119/22271/16184/21817/99586/18796/16912/12703/16162/18566/217069/75234/18035/14696/76074/12142/16913/27007/74481/17472/20354/327959/74735/16408/99899/21838/12515/16818/12265/75345/14938/12501/13982/15958/22035/100038882/54167/17858/15959/15945/84544/54199/24110/12500/14945/626578",0.610526878385931
"GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_24H_ACT_CD4_TCELL_DN","GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_24H_ACT_CD4_TCELL_DN",61,-0.656647967313365,-1.8626869293366,5.80534018828676e-05,0.0101393269150595,0.0101393269150595,3839,"tags=59%, list=19%, signal=48%","52668/71586/14367/246728/23960/13733/246730/17748/17829/16162/14939/17384/327959/18578/80861/99899/16878/69550/75345/15958/14419/22035/100038882/231655/667373/17858/15959/15945/24110/11910/217845/16427/20297/241035/20310/20303",0.557332238758646
