"gene","group","cor","p.value","n","p.adj"
"SCG2","control",1,0,3,0
"NKX3-1","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"MKI67","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"CDH1","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"AURKA","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"BRCA1","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"TTF1","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"INSM1","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"ACP3","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"CHGA","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"TFRC","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"SYP","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"BRCA2","control",0,1,3,1
"PTEN","control",0,1,3,1
"RB1","control",0,1,3,1
"CHGB","control",0,1,3,1
"AR","control",-0.866025403784439,0.333333333333333,3,0.407407407407407
"AMACR","control",-0.866025403784439,0.333333333333333,3,0.407407407407407
"ERG","control",-0.866025403784439,0.333333333333333,3,0.407407407407407
"VIM","control",-0.866025403784439,0.333333333333333,3,0.407407407407407
"MYC","control",-0.866025403784439,0.333333333333333,3,0.407407407407407
"NCAM1","control",-0.866025403784439,0.333333333333333,3,0.407407407407407
"TMPRSS2","control",NA,NA,3,NA
"VIM","treated",1,0,3,0
"AMACR","treated",0.5,0.666666666666667,3,0.766666666666667
"ERG","treated",0.5,0.666666666666667,3,0.766666666666667
"MKI67","treated",0.5,0.666666666666667,3,0.766666666666667
"CDH1","treated",0.5,0.666666666666667,3,0.766666666666667
"AURKA","treated",0.5,0.666666666666667,3,0.766666666666667
"BRCA2","treated",0.5,0.666666666666667,3,0.766666666666667
"MYC","treated",0.5,0.666666666666667,3,0.766666666666667
"RB1","treated",0.5,0.666666666666667,3,0.766666666666667
"INSM1","treated",0.5,0.666666666666667,3,0.766666666666667
"ACP3","treated",0.5,0.666666666666667,3,0.766666666666667
"CHGA","treated",0.5,0.666666666666667,3,0.766666666666667
"TMPRSS2","treated",0,1,3,1
"CHGB","treated",0,1,3,1
"SCG2","treated",0,1,3,1
"AR","treated",-0.5,0.666666666666667,3,0.766666666666667
"BRCA1","treated",-0.5,0.666666666666667,3,0.766666666666667
"TTF1","treated",-0.5,0.666666666666667,3,0.766666666666667
"TFRC","treated",-0.5,0.666666666666667,3,0.766666666666667
"NCAM1","treated",-0.5,0.666666666666667,3,0.766666666666667
"NKX3-1","treated",-0.866025403784439,0.333333333333333,3,0.766666666666667
"PTEN","treated",-1,0,3,0
"SYP","treated",-1,0,3,0
