"gene","group","cor","p.value","n","p.adj"
"SCG2","control",1,0,3,0
"NKX3-1","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"MKI67","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"CDH1","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"AURKA","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"BRCA1","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"TTF1","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"INSM1","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"ACP3","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"CHGA","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"TFRC","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"SYP","control",0.866025403784439,0.333333333333333,3,0.407407407407407
"BRCA2","control",0,1,3,1
"PTEN","control",0,1,3,1
"RB1","control",0,1,3,1
"CHGB","control",0,1,3,1
"AR","control",-0.866025403784439,0.333333333333333,3,0.407407407407407
"AMACR","control",-0.866025403784439,0.333333333333333,3,0.407407407407407
"ERG","control",-0.866025403784439,0.333333333333333,3,0.407407407407407
"VIM","control",-0.866025403784439,0.333333333333333,3,0.407407407407407
"MYC","control",-0.866025403784439,0.333333333333333,3,0.407407407407407
"NCAM1","control",-0.866025403784439,0.333333333333333,3,0.407407407407407
"TMPRSS2","control",NA,NA,3,NA
